address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
16/6-garnet-street-brunswick-vic-3056,273900,01-Apr-2021,1,1,1,-1,None,Villa,https://www.domain.com.au/16-6-garnet-street-brunswick-vic-3056-2016870936,,0.8-1.5-0.9,3,
94-lydia-street-brunswick-vic-3056,990000,17-Oct-2020,1,1,-1,-1,None,House,https://www.domain.com.au/94-lydia-street-brunswick-vic-3056-2016535371,,0.9-1-1.9,3,Oct/2020/990000.0/SOLD-Feb/2017/895000.0/SOLD
4/171-albert-street-brunswick-vic-3056,502500,26-Oct-2019,1,1,1,-1,None,Villa,https://www.domain.com.au/4-171-albert-street-brunswick-vic-3056-2015712532,,0.9-1.2-1.9,3,
6-hodgson-street-brunswick-vic-3056,926000,26-Oct-2019,1,1,1,312,m2,House,https://www.domain.com.au/6-hodgson-street-brunswick-vic-3056-2015738315,,0.6-1-1.2,3,Oct/2019/926000.0/SOLD-Jul/2011/803000.0/SOLD-Oct/1999/265000.0/SOLD
m05/288-albert-street-brunswick-vic-3056,398000,08-Aug-2019,1,1,-1,-1,None,House,https://www.domain.com.au/m05-288-albert-street-brunswick-vic-3056-2015469490,,0.4-1.1-1.3,3,
10-cliff-street-brunswick-vic-3056,835000,26-Jul-2019,1,1,-1,-1,None,House,https://www.domain.com.au/10-cliff-street-brunswick-vic-3056-2015457685,,0.8-0.8-1.1,3,Jul/2019/835000.0/SOLD-Aug/2016/772000.0/SOLD-Apr/2012/555000.0/SOLD
17/6-garnet-street-brunswick-vic-3056,250000,13-Feb-2018,1,1,1,-1,None,Villa,https://www.domain.com.au/17-6-garnet-street-brunswick-vic-3056-2014107842,,0.8-1.5-0.9,3,
286-barkly-street-brunswick-vic-3056,1200000,22-Apr-2017,1,1,-1,225,m2,House,https://www.domain.com.au/286-barkly-street-brunswick-vic-3056-2013482027,,0.6-0.9-1,3,
4/287-albion-street-brunswick-vic-3056,412000,08-Apr-2017,1,1,1,-1,None,Villa,https://www.domain.com.au/4-287-albion-street-brunswick-vic-3056-2013467239,,0.8-1.2-1.1,3,
10-cliff-street-brunswick-vic-3056,772000,24-Aug-2016,1,1,-1,-1,None,House,https://www.domain.com.au/10-cliff-street-brunswick-vic-3056-2012964704,,0.8-0.8-1.1,3,Jul/2019/835000.0/SOLD-Aug/2016/772000.0/SOLD-Apr/2012/555000.0/SOLD
6-lux-way-brunswick-vic-3056,915000,25-Jun-2016,1,1,3,-1,None,House,https://www.domain.com.au/6-lux-way-brunswick-vic-3056-2012824926,,0.8-0.9-1,3,
23-percy-street-brunswick-vic-3056,610000,29-Jun-2015,1,1,-1,-1,None,House,https://www.domain.com.au/23-percy-street-brunswick-vic-3056-2012023317,,0.7-0.8-1.1,3,Jun/2015/610000.0/SOLD-Mar/2002/261200.0/SOLD
10-cliff-street-brunswick-vic-3056,555000,04-Apr-2012,1,2,-1,-1,None,House,https://www.domain.com.au/10-cliff-street-brunswick-vic-3056-2009497289,,0.8-0.8-1.1,3,Jul/2019/835000.0/SOLD-Aug/2016/772000.0/SOLD-Apr/2012/555000.0/SOLD
367a-barkly-street-brunswick-vic-3056,404000,13-Aug-2011,1,1,1,-1,None,House,https://www.domain.com.au/367a-barkly-street-brunswick-vic-3056-2009155075,,0.5-1.2-1.2,3,Aug/2011/440.0/SOLD-Mar/2008/404000.0/SOLD
3/11-pitt-street-brunswick-vic-3056,365000,29-Nov-2008,1,1,1,-1,None,Villa,https://www.domain.com.au/3-11-pitt-street-brunswick-vic-3056-2007325066,"Close to shops-""Close to transport""",0.8-1.2-1.7,3,
