"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
5-dunstan-avenue-brunswick-vic-3056,1350000,09-Dec-2021,4,2,-1,-1,None,House,https://www.domain.com.au/5-dunstan-avenue-brunswick-vic-3056-2017421011,nan,0.7-1.3-1.8,3,Nov/1994/142000.0/SOLD
130-glenlyon-road-brunswick-vic-3056,1500000,04-Dec-2021,4,1,2,371,m2,House,https://www.domain.com.au/130-glenlyon-road-brunswick-vic-3056-2017399337,nan,0.7-1.3-1.8,3,Dec/2021/1500000.0/SOLD
93-blyth-street-brunswick-vic-3056,1712000,02-Dec-2021,4,1,1,193,m2,House,https://www.domain.com.au/93-blyth-street-brunswick-vic-3056-2017418154,ROW,0.9-1.3-1.5,3,Dec/2021/1712000.0/SOLD-Sep/2019/1338000.0/SOLD-Mar/2016/1100000.0/SOLD
161-victoria-street-brunswick-vic-3056,2400000,25-Nov-2021,4,3,2,-1,None,House,https://www.domain.com.au/161-victoria-street-brunswick-vic-3056-2017400623,nan,0.9-1.2-1.6,3,Dec/2021/2400000.0/SOLD-Oct/2019/1037500.0000000001/SOLD
16-fourth-avenue-brunswick-vic-3056,1370000,09-Nov-2021,4,1,2,388,m2,House,https://www.domain.com.au/16-fourth-avenue-brunswick-vic-3056-2017365286,nan,1.2-1.7-0.8,3,Nov/2021/1370000.0/SOLD
22-bishop-street-brunswick-vic-3056,1650000,19-Oct-2021,4,1,1,-1,None,House,https://www.domain.com.au/22-bishop-street-brunswick-vic-3056-2017301785,nan,0.6-1.5-1.8,3,Oct/2021/1650000.0/SOLD
66-&-66a-union-street-brunswick-vic-3056,1850000,16-Oct-2021,4,3,2,-1,None,House,https://www.domain.com.au/66-66a-union-street-brunswick-vic-3056-2017136930,Secure Parking,0.3-1.2-1.3,3,
18-bennie-street-brunswick-vic-3056,1600000,05-Oct-2021,4,2,-1,-1,None,House,https://www.domain.com.au/18-bennie-street-brunswick-vic-3056-2017271947,nan,1-1.2-1.9,3,Oct/2021/1600000.0/SOLD-Mar/2019/692500.0/SOLD
149-weston-street-brunswick-vic-3056,1800000,08-Sep-2021,4,2,2,-1,None,House,https://www.domain.com.au/149-weston-street-brunswick-vic-3056-2017173121,nan,0.4-1-2,3,Sep/2021/1800000.0/SOLD
35-donald-street-brunswick-vic-3056,1730000,21-Aug-2021,4,1,2,624,m2,House,https://www.domain.com.au/35-donald-street-brunswick-vic-3056-2017141760,nan,0.3-1.7-1.9,3,Aug/2021/1730000.0/SOLD
191-barkly-street-brunswick-vic-3056,1343500,14-Aug-2021,4,1,2,-1,None,House,https://www.domain.com.au/191-barkly-street-brunswick-vic-3056-2017115322,nan,0.5-0.8-2.2,3,Aug/2021/1343500.0/SOLD
104-albion-street-brunswick-vic-3056,1200000,14-Jul-2021,4,1,1,-1,None,House,https://www.domain.com.au/104-albion-street-brunswick-vic-3056-2017105073,nan,0.8-1.5-1.6,3,Jul/2021/1200000.0/SOLD
34-denman-street-brunswick-vic-3056,1590000,05-Jul-2021,4,2,3,-1,None,House,https://www.domain.com.au/34-denman-street-brunswick-vic-3056-2017031545,Internal Laundry*-Dishwasher*-Solar panels*,1-1.6-0.8,3,Jul/2021/1590000.0/SOLD
25-victoria-grove-brunswick-vic-3056,1722000,22-May-2021,4,1,2,-1,None,House,https://www.domain.com.au/25-victoria-grove-brunswick-vic-3056-2016968853,nan,0.9-1.5-1.5,3,May/2021/1722000.0/SOLD
25-hanover-street-brunswick-vic-3056,1750000,15-May-2021,4,1,2,-1,None,House,https://www.domain.com.au/25-hanover-street-brunswick-vic-3056-2016957883,nan,0.5-1.1-0.9,3,May/2021/1750000.0/SOLD
10-laura-street-brunswick-vic-3056,1750000,13-May-2021,4,2,1,-1,None,House,https://www.domain.com.au/10-laura-street-brunswick-vic-3056-2016966850,nan,0.8-1.1-2.1,3,May/2021/1750000.0/SOLD
63-donald-street-brunswick-vic-3056,1700000,08-May-2021,4,1,1,-1,None,House,https://www.domain.com.au/63-donald-street-brunswick-vic-3056-2016905226,nan,0.4-1.7-1.8,3,May/2021/1700000.0/SOLD
338-brunswick-road-brunswick-vic-3056,1466000,20-Mar-2021,4,2,2,378,m2,House,https://www.domain.com.au/338-brunswick-road-brunswick-vic-3056-2016821575,nan,0.7-0.9-1.2,3,Mar/2021/925.0/SOLD
34-ewing-street-brunswick-vic-3056,1630000,20-Mar-2021,4,1,1,-1,None,House,https://www.domain.com.au/34-ewing-street-brunswick-vic-3056-2016823467,nan,0.7-1.1-2,3,Mar/2021/1630000.0/SOLD-Aug/1992/110000.0/SOLD
