address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
117-119-sydney-road-brunswick-vic-3056,2300000,14-May-2021,5,1,1,-1,None,House,https://www.domain.com.au/117-119-sydney-road-brunswick-vic-3056-2016938721,,0.5-1-1.2,3,
62-union-street-brunswick-vic-3056,1840000,30-Mar-2021,5,2,-1,324,m2,House,https://www.domain.com.au/62-union-street-brunswick-vic-3056-2016805561,"Internal Laundry*-""Garden*""",0.3-1.2-1.3,3,Mar/2021/1840000.0/SOLD-Oct/1990/10000.0/SOLD
11-davison-street-brunswick-vic-3056,1505000,27-Mar-2021,5,1,2,-1,None,House,https://www.domain.com.au/11-davison-street-brunswick-vic-3056-2016913553,,0.7-0.9-1.1,3,Mar/2021/1505000.0/SOLD-Jun/2011/775000.0/SOLD
93-union-street-brunswick-vic-3056,945000,26-Nov-2020,6,2,-1,-1,None,House,https://www.domain.com.au/93-union-street-brunswick-vic-3056-2016598017,Study,0.4-1-1.4,3,Nov/2020/945000.0/SOLD-Jun/2011/660000.0/SOLD
37-gray-street-brunswick-vic-3056,1492500,01-Aug-2020,5,2,2,-1,None,House,https://www.domain.com.au/37-gray-street-brunswick-vic-3056-2016360628,,0.5-0.9-1.4,3,Aug/2020/1492500.0/SOLD
32-denman-street-brunswick-vic-3056,2110000,30-May-2020,5,3,3,-1,None,House,https://www.domain.com.au/32-denman-street-brunswick-vic-3056-2016089909,,1-1.6-0.8,3,May/2020/2110000.0/SOLD-Oct/2017/1210500.0/SOLD
27-overend-street-brunswick-vic-3056,1855000,14-Mar-2020,5,3,1,-1,None,House,https://www.domain.com.au/27-overend-street-brunswick-vic-3056-2016086809,,0.7-1.4-1.5,3,Sep/1995/228500.0/SOLD
4-ogrady-street-brunswick-vic-3056,2000000,21-Nov-2019,5,3,2,-1,None,House,https://www.domain.com.au/4-ogrady-street-brunswick-vic-3056-2015836930,,0.5-0.7-1.3,3,Nov/2019/2000000.0/SOLD-Feb/2016/880000.0/SOLD
655-park-street-brunswick-vic-3056,2801000,12-Oct-2019,5,2,6,630,m2,House,https://www.domain.com.au/655-park-street-brunswick-vic-3056-2015671272,"Air conditioning-""Floorboards""-""Secure Parking""-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""",0.4-0.6-2.6,3,Oct/2019/2801000.0/SOLD-Aug/1996/305000.0/SOLD
777-park-street-brunswick-vic-3056,1790000,21-Sep-2019,5,5,1,452,m2,House,https://www.domain.com.au/777-park-street-brunswick-vic-3056-2015473450,,0.7-1.2-1,3,
97-blyth-street-brunswick-vic-3056,1300000,11-Sep-2019,5,1,-1,-1,None,House,https://www.domain.com.au/97-blyth-street-brunswick-vic-3056-2015486118,,0.8-1.3-1.5,3,Sep/2019/1300000.0/SOLD
1-stewart-street-brunswick-vic-3056,1715000,24-Jul-2019,6,1,5,576,m2,House,https://www.domain.com.au/1-stewart-street-brunswick-vic-3056-2015311381,,1-1-2.1,3,
1-second-avenue-brunswick-vic-3056,1215500,20-Mar-2019,5,3,3,468,m2,House,https://www.domain.com.au/1-second-avenue-brunswick-vic-3056-2014951681,,1.2-1.6-0.9,3,Mar/2019/1215500.0/SOLD
10-eveline-street-brunswick-vic-3056,1965000,16-Mar-2019,5,3,2,-1,None,House,https://www.domain.com.au/10-eveline-street-brunswick-vic-3056-2014955706,,0.6-1.2-2.2,3,Mar/2019/1965000.0/SOLD-Jun/2009/647500.0/SOLD
9-percy-street-brunswick-vic-3056,1076000,02-Mar-2019,5,2,-1,-1,None,House,https://www.domain.com.au/9-percy-street-brunswick-vic-3056-2014927079,,0.6-0.8-1.1,3,Mar/2019/1076000.0/SOLD-Nov/1997/260.0/SOLD
5-west-street-brunswick-vic-3056,1300000,26-Nov-2018,5,1,1,244,m2,House,https://www.domain.com.au/5-west-street-brunswick-vic-3056-2014622655,,1-1-0.8,3,Nov/2018/1300000.0/SOLD-Jun/2012/600.0/SOLD
