"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
53-settlement-road-bundoora-vic-3083,660000,12-Oct-2021,2,1,1,585,m2,House,https://www.domain.com.au/53-settlement-road-bundoora-vic-3083-2017080937,nan,1-1.3-0.3,3,Oct/2021/660000.0/SOLD-Jun/2019/445000.0/SOLD-Aug/1993/91000.0/SOLD
6/40-linacre-drive-bundoora-vic-3083,531500,27-Mar-2021,2,1,1,-1,None,House,https://www.domain.com.au/6-40-linacre-drive-bundoora-vic-3083-2016840715,Bath*-Heating*-Balcony / Deck*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Security Alarm-Garden,1.6-2.7-1,3,
273-greenwood-drive-bundoora-vic-3083,850000,20-Mar-2021,2,1,1,676,m2,House,https://www.domain.com.au/273-greenwood-drive-bundoora-vic-3083-2016398178,nan,0.9-1.3-0.7,3,Mar/2021/850000.0/SOLD
13-silverash-drive-bundoora-vic-3083,405000,05-Aug-2020,2,2,2,-1,None,House,https://www.domain.com.au/13-silverash-drive-bundoora-vic-3083-2016331466,nan,0.9-1.7-3.9,3,Aug/2020/405000.0/SOLD-Jun/2011/399000.0/SOLD-Nov/2010/438900.0/SOLD
25/117-plenty-road-bundoora-vic-3083,573500,24-Nov-2019,2,1,2,227,m2,House,https://www.domain.com.au/25-117-plenty-road-bundoora-vic-3083-2015856558,nan,1.5-1.7-0.5,3,
20-doidge-street-bundoora-vic-3083,630000,21-Sep-2019,2,1,-1,333,m2,House,https://www.domain.com.au/20-doidge-street-bundoora-vic-3083-2015538702,nan,0.7-0.7-0.4,3,Sep/2019/370.0/SOLD
18-silverash-drive-bundoora-vic-3083,390000,30-Aug-2019,2,2,2,-1,None,House,https://www.domain.com.au/18-silverash-drive-bundoora-vic-3083-2015278514,nan,0.8-1.6-3.9,3,Aug/2019/390000.0/SOLD
23-silverash-drive-bundoora-vic-3083,410000,24-Jul-2019,2,2,1,-1,None,House,https://www.domain.com.au/23-silverash-drive-bundoora-vic-3083-2015375558,nan,0.9-1.7-3.8,3,Jul/2019/410000.0/SOLD
65-settlement-road-bundoora-vic-3083,655000,11-May-2019,2,1,1,660,m2,House,https://www.domain.com.au/65-settlement-road-bundoora-vic-3083-2015094476,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining,0.9-1.4-0.3,3,May/2019/655000.0/SOLD
4/60-nickson-street-bundoora-vic-3083,442500,29-Apr-2019,2,1,2,144,m2,House,https://www.domain.com.au/4-60-nickson-street-bundoora-vic-3083-2015134356,nan,0.8-1.6-0.3,3,
