address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
23-windsor-crescent-bundoora-vic-3083,900000,04-Dec-2021,3,1,2,537,m2,House,https://www.domain.com.au/23-windsor-crescent-bundoora-vic-3083-2017390249,Secure Parking*,0.9-1-1,3,
1-sutton-court-bundoora-vic-3083,1050000,04-Dec-2021,3,1,1,600,m2,House,https://www.domain.com.au/1-sutton-court-bundoora-vic-3083-2017400520,"Built in wardrobes-""Ducted Heating""-""Outdoor Ent.""-""Split System AirCon""",0.4-0.5-1.2,3,Dec/2021/1050000.0/SOLD
9-belair-court-bundoora-vic-3083,832000,04-Dec-2021,3,1,2,595,m2,House,https://www.domain.com.au/9-belair-court-bundoora-vic-3083-2017401230,"Air conditioning*-""Internal Laundry*""-""Shed*""",0.2-0.3-1,3,Dec/2021/832000.0/SOLD
23-cheadle-crescent-bundoora-vic-3083,1187500,02-Dec-2021,3,2,2,720,m2,House,https://www.domain.com.au/23-cheadle-crescent-bundoora-vic-3083-2017411255,"Air conditioning*-""Secure Parking*""-""Heating*""",0.7-1.8-1,3,Dec/2021/1187500.0/SOLD-Feb/1992/85000.0/SOLD-Sep/1988/70000.0/SOLD
116-betula-avenue-bundoora-vic-3083,682000,27-Nov-2021,3,1,1,263,m2,House,https://www.domain.com.au/116-betula-avenue-bundoora-vic-3083-2017379056,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Heating*""",1.1-2.1-4.1,3,Nov/2021/682000.0/SOLD-Aug/2015/430000.0/SOLD-Jan/2014/385000.0/SOLD
53-greenwood-drive-bundoora-vic-3083,905000,18-Nov-2021,3,1,3,538,m2,House,https://www.domain.com.au/53-greenwood-drive-bundoora-vic-3083-2017369811,,0.4-0.6-0.9,3,Nov/2021/905000.0/SOLD-Apr/2008/380000.0/SOLD-Feb/1991/105000.0/SOLD
21-manchester-crescent-bundoora-vic-3083,710000,13-Nov-2021,3,2,1,235,m2,House,https://www.domain.com.au/21-manchester-crescent-bundoora-vic-3083-2017334114,"Air conditioning*-""Secure Parking*""-""Dishwasher*""-""Study*""",1.3-2.4-1.1,3,Nov/2021/710000.0/SOLD-Sep/2013/582000.0/SOLD
18-donach-crescent-bundoora-vic-3083,1080000,13-Nov-2021,3,2,2,558,m2,House,https://www.domain.com.au/18-donach-crescent-bundoora-vic-3083-2017339139,"Secure Parking*-""Heating*""-""Study""",0.2-1.4-0.4,3,Nov/2021/1080000.0/SOLD-Sep/2006/310000.0/SOLD-Oct/1995/129000.0/SOLD
44-grange-boulevard-bundoora-vic-3083,1064000,13-Nov-2021,3,2,2,473,m2,House,https://www.domain.com.au/44-grange-boulevard-bundoora-vic-3083-2017320519,"Fireplace(s)*-""Heating*""",0.6-0.8-1.2,3,Nov/2021/1064000.0/SOLD-Mar/1997/67515.0/SOLD
22-moreton-crescent-bundoora-vic-3083,965000,10-Nov-2021,3,1,2,543,m2,House,https://www.domain.com.au/22-moreton-crescent-bundoora-vic-3083-2017325104,"Internal Laundry*-""Secure Parking*""-""Bath*""-""Heating*""",0.4-0.6-1.1,3,Sep/2017/195.0/SOLD-Oct/2011/814000.0/SOLD
