,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,65-snake-gully-drive-bundoora-vic-3083,1666000,04-Dec-2021,5,2,2,932,m2,House,https://www.domain.com.au/65-snake-gully-drive-bundoora-vic-3083-2017392863,"Secure Parking*-""Swimming Pool*""-""Fireplace(s)*""-""Balcony / Deck*""-""Air conditioning""-""Heating""-""Area Views""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""-""Prestige Homes""-""Study""",1-1.3-0.9,3,Dec/2021/1666000.0/SOLD-Apr/1999/150000.0/SOLD
1,8-clovemont-way-bundoora-vic-3083,1230000,03-Dec-2021,5,3,2,419,m2,House,https://www.domain.com.au/8-clovemont-way-bundoora-vic-3083-2017399965,"Air conditioning-""Built in wardrobes""-""Secure Parking""",2-2.5-1.6,3,Dec/2021/1230000.0/SOLD-Oct/2015/855000.0/SOLD
2,4-howe-court-bundoora-vic-3083,1700000,27-Nov-2021,5,3,3,786,m2,House,https://www.domain.com.au/4-howe-court-bundoora-vic-3083-2017380744,"Internal Laundry*-""Intercom*""-""Heating*""-""Air conditioning""-""Built in wardrobes""-""Secure Parking""",1-1.9-0.7,3,Nov/2021/1700000.0/SOLD-Mar/2002/178000.0/SOLD
3,35-flannery-avenue-bundoora-vic-3083,789500,30-Oct-2021,5,3,2,573,m2,House,https://www.domain.com.au/35-flannery-avenue-bundoora-vic-3083-2017276868,,0.5-0.5-0.6,3,Oct/2021/789500.0/SOLD-Nov/2014/542000.0/SOLD
4,8-cabernet-crescent-bundoora-vic-3083,1182500,15-Oct-2021,5,3,2,593,m2,House,https://www.domain.com.au/8-cabernet-crescent-bundoora-vic-3083-2017077458,"Garden*-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""-""Study""",1.5-2.1-0.8,3,Oct/2021/1182500.0/SOLD-Aug/2017/940000.0/SOLD-Dec/2016/600000.0/SOLD
5,66-hutchins-circuit-bundoora-vic-3083,1258000,13-Oct-2021,5,3,2,600,m2,House,https://www.domain.com.au/66-hutchins-circuit-bundoora-vic-3083-2017099994,"Intercom*-""Heating*""-""Dishwasher*""-""Shed*""-""Garden*""-""Balcony / Deck*""-""Secure Parking""",0.7-2.3-0.8,3,Sep/2021/1258000.0/SOLD-Jun/1992/280000.0/SOLD
6,4-tamar-street-bundoora-vic-3083,1127000,07-Oct-2021,5,2,2,537,m2,House,https://www.domain.com.au/4-tamar-street-bundoora-vic-3083-2017253183,"Secure Parking*-""Bath*""-""Dishwasher*""-""Balcony / Deck*""-""Air conditioning""-""Heating""-""Area Views""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Swimming Pool""-""Close to schools""-""Study""",0.4-1.9-1,3,Oct/2021/1127000.0/SOLD-Sep/2009/371000.0/SOLD-Jun/1994/127000.0/SOLD
7,43-betula-avenue-bundoora-vic-3083,1020000,29-Sep-2021,5,2,2,688,m2,House,https://www.domain.com.au/43-betula-avenue-bundoora-vic-3083-2017248330,"Pets Allowed*-""Secure Parking*""-""Heating*""-""Study*""",1.1-2.3-4.7,3,Sep/2021/1020000.0/SOLD-Jul/1991/480.0/SOLD
8,103-betula-avenue-bundoora-vic-3083,930000,11-Aug-2021,8,3,2,-1,None,House,https://www.domain.com.au/103-betula-avenue-bundoora-vic-3083-2016986329,,1.3-2.3-4.2,3,Aug/2021/930000.0/SOLD-Nov/2016/788000.0/SOLD
9,2-merrivale-way-bundoora-vic-3083,1255000,31-Jul-2021,5,2,2,540,m2,House,https://www.domain.com.au/2-merrivale-way-bundoora-vic-3083-2014212015,"Garden*-""Floorboards""-""Built in wardrobes""-""Internal Laundry""-""Pets Allowed""-""Heating""-""Dishwasher""-""Secure Parking""-""Swimming Pool""-""Study""",0.7-0.8-1.3,3,Jul/2021/1255000.0/SOLD
10,25-thornton-avenue-bundoora-vic-3083,910000,26-Jul-2021,5,2,4,529,m2,House,https://www.domain.com.au/25-thornton-avenue-bundoora-vic-3083-2017111218,"Gas*-""Garden*""-""Air conditioning""-""Floorboards""-""Alarm System""-""Built in wardrobes""-""Internal Laundry""-""Bath""-""Separate Dining Room""-""Heating""-""Dishwasher""-""Secure Parking""-""Shed""",0.3-0.4-1.2,3,Jul/2021/910000.0/SOLD
