,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,64-66-dorrit-street-carlton-vic-3053,2700000,01-Dec-2021,4,2,2,-1,None,House,https://www.domain.com.au/64-66-dorrit-street-carlton-vic-3053-2017359995,,0.4-1-0.9,3,Dec/2021/2700000.0/SOLD-Nov/2011/832500.0/SOLD-Jun/1990/190000.0/SOLD
1,238-drummond-street-carlton-vic-3053,2315000,25-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/238-drummond-street-carlton-vic-3053-2017298612,,0.2-1.2-0.6,3,Oct/2021/2315000.0/SOLD-Dec/1985/127000.0/SOLD
2,438-lygon-street-carlton-vic-3053,1455000,17-Apr-2021,4,1,2,155,m2,House,https://www.domain.com.au/438-lygon-street-carlton-vic-3053-2016872491,Garden*,0.1-1.1-0.9,3,Apr/2021/1455000.0/SOLD
3,38-40-barkly-street-carlton-vic-3053,1950000,24-Dec-2020,4,1,-1,-1,None,House,https://www.domain.com.au/38-40-barkly-street-carlton-vic-3053-2016609193,,0.5-1.6-1.6,3,Dec/2020/950.0/SOLD-Jul/2017/1950000.0/SOLD
4,163-165-canning-street-carlton-vic-3053,1750000,05-Nov-2020,4,2,1,-1,None,House,https://www.domain.com.au/163-165-canning-street-carlton-vic-3053-2016520605,,0.4-1.4-0.4,3,Nov/2020/1750000.0/SOLD
5,141-barkly-street-carlton-vic-3053,2815000,19-Oct-2019,4,1,1,-1,None,House,https://www.domain.com.au/141-barkly-street-carlton-vic-3053-2015658139,,0.2-1.4-0.5,3,Oct/2019/2815000.0/SOLD
6,58-faraday-street-carlton-vic-3053,1070000,22-Jun-2019,4,1,-1,-1,None,House,https://www.domain.com.au/58-faraday-street-carlton-vic-3053-2015313489,,0.4-1.5-0.6,3,Jun/2019/875.0/SOLD
7,25-canning-street-carlton-vic-3053,1786000,09-Apr-2019,4,2,-1,-1,None,House,https://www.domain.com.au/25-canning-street-carlton-vic-3053-2015009885,,0.3-1.5-0.4,3,Apr/2019/1786000.0/SOLD
8,396-cardigan-street-carlton-vic-3053,2020000,13-Dec-2018,4,1,-1,-1,None,House,https://www.domain.com.au/396-cardigan-street-carlton-vic-3053-2014796962,,0.3-1-0.9,3,Dec/2018/2020000.0/SOLD-Dec/1996/370000.0/SOLD-Aug/1989/350000.0/SOLD
9,212-drummond-street-carlton-vic-3053,1757000,08-Sep-2018,4,1,-1,-1,None,House,https://www.domain.com.au/212-drummond-street-carlton-vic-3053-2014571689,,0.1-1.2-0.6,3,Sep/2018/1757000.0/SOLD
10,426-lygon-street-carlton-vic-3053,2400000,23-Jun-2018,4,3,3,-1,None,House,https://www.domain.com.au/426-lygon-street-carlton-vic-3053-2014411641,,0.1-1.1-0.9,3,Jun/2018/2400000.0/SOLD
11,173-drummond-street-carlton-vic-3053,3825000,16-Dec-2017,4,1,2,-1,None,House,https://www.domain.com.au/173-drummond-street-carlton-vic-3053-2014023068,,0.1-1.2-0.6,3,
12,179-drummond-street-carlton-vic-3053,5460000,25-Nov-2017,4,4,4,-1,None,House,https://www.domain.com.au/179-drummond-street-carlton-vic-3053-2013975101,,0.1-1.2-0.6,3,Mar/2018/5460000.0/SOLD-Nov/2003/1125000.0/SOLD-Oct/1985/328000.0/SOLD
13,199-cardigan-street-carlton-vic-3053,1900000,04-Nov-2017,4,2,-1,-1,None,House,https://www.domain.com.au/199-cardigan-street-carlton-vic-3053-2013917565,,0.4-1-0.9,3,
14,95-neill-street-carlton-vic-3053,2061000,07-Oct-2017,4,3,2,-1,None,House,https://www.domain.com.au/95-neill-street-carlton-vic-3053-2013835643,,0.3-1.4-0.5,3,
15,21-grattan-street-carlton-vic-3053,2705000,25-Feb-2017,4,2,2,-1,None,House,https://www.domain.com.au/21-grattan-street-carlton-vic-3053-2013360638,,0.1-1.2-0.6,3,Feb/2017/2705000.0/SOLD
16,130-rathdowne-street-carlton-vic-3053,1616000,25-Feb-2017,4,1,-1,-1,None,House,https://www.domain.com.au/130-rathdowne-street-carlton-vic-3053-2013354853,,0.2-1.3-0.7,3,Feb/2017/1000.0/SOLD-Mar/2000/1616000.0/SOLD
17,35-drummond-street-carlton-vic-3053,3371000,12-Nov-2016,4,1,4,-1,None,House,https://www.domain.com.au/35-drummond-street-carlton-vic-3053-2013138754,,0.5-1.4-0.6,3,Nov/2016/1000.0/SOLD
18,425-cardigan-street-carlton-vic-3053,2345000,27-Aug-2016,4,1,1,-1,None,House,https://www.domain.com.au/425-cardigan-street-carlton-vic-3053-2012965771,,0.3-0.9-1,3,Dec/2019/1250.0/SOLD
