"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
47-49-neill-street-carlton-vic-3053,1976000,16-Dec-2020,5,2,1,-1,None,House,https://www.domain.com.au/47-49-neill-street-carlton-vic-3053-2016653523,nan,0.4-1.4-0.4,3,Dec/2020/720.0/SOLD-May/1998/1976000.0/SOLD
68-drummond-street-carlton-vic-3053,5160000,11-Apr-2017,5,1,3,-1,None,House,https://www.domain.com.au/68-drummond-street-carlton-vic-3053-2013435069,nan,0.4-1.4-0.6,3,
57-palmerston-street-carlton-vic-3053,2850000,20-Aug-2016,9,3,1,-1,None,House,https://www.domain.com.au/57-palmerston-street-carlton-vic-3053-2012952482,nan,0.3-1.5-0.6,3,
5-&-5a-union-place-carlton-vic-3053,2225000,12-May-2016,7,2,3,-1,None,House,https://www.domain.com.au/5-5a-union-place-carlton-vic-3053-2012698247,nan,0.3-0.9-1.1,3,
42-44-rathdowne-street-carlton-vic-3053,1645000,17-Oct-2015,7,2,-1,-1,None,House,https://www.domain.com.au/42-44-rathdowne-street-carlton-vic-3053-2012276822,nan,0.3-1.3-0.6,3,Oct/2015/1645000.0/SOLD
67-69-keppel-street-carlton-vic-3053,2605000,11-Apr-2015,6,2,-1,-1,None,House,https://www.domain.com.au/67-69-keppel-street-carlton-vic-3053-2011846943,nan,0.3-0.9-1,3,Apr/2015/2605000.0/SOLD
103-drummond-street-carlton-vic-3053,2700000,06-Nov-2013,12,3,4,-1,None,House,https://www.domain.com.au/103-drummond-street-carlton-vic-3053-2010724910,nan,0.3-1.3-0.6,3,Nov/2013/2700000.0/SOLD-Mar/1994/1100.0/SOLD
55-57-faraday-street-carlton-vic-3053,1800000,18-May-2013,8,3,-1,-1,None,House,https://www.domain.com.au/55-57-faraday-street-carlton-vic-3053-2010422839,nan,0.4-1.5-0.5,3,
65-cardigan-street-carlton-vic-3053,1464000,11-May-2013,5,1,2,-1,None,House,https://www.domain.com.au/65-cardigan-street-carlton-vic-3053-2010410619,nan,0.6-1.2-0.8,3,
4-6-canning-street-carlton-vic-3053,2710000,08-May-2010,9,3,1,-1,None,House,https://www.domain.com.au/4-6-canning-street-carlton-vic-3053-2008308051,nan,0.3-1.5-0.4,3,
