,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,40-webb-street-coburg-vic-3058,1422500,04-Dec-2021,3,2,1,-1,None,House,https://www.domain.com.au/40-webb-street-coburg-vic-3058-2017400547,"Internal Laundry*-""Dishwasher*""-""Shed*""-""Balcony / Deck*""",0.4-1.7-2.6,3,Dec/2021/1422500.0/SOLD-Jun/2005/290000.0/SOLD
1,32-main-street-coburg-vic-3058,1332500,04-Dec-2021,3,1,2,-1,None,House,https://www.domain.com.au/32-main-street-coburg-vic-3058-2017401656,"Internal Laundry*-""Secure Parking*""-""Fireplace(s)*""-""Heating*""-""Study""",0.5-0.9-3.4,3,Dec/2021/1332500.0/SOLD
2,21-holroyd-street-coburg-vic-3058,1330000,03-Dec-2021,3,2,2,371,m2,House,https://www.domain.com.au/21-holroyd-street-coburg-vic-3058-2017445650,"Air conditioning*-""Built in wardrobes*""-""Secure Parking*""-""Bath*""-""Dishwasher*""-""Shed*""",0.5-1.5-2.7,3,Sep/2016/768000.0/SOLD
3,5-tanderum-drive-coburg-vic-3058,900000,02-Dec-2021,3,2,2,-1,None,House,https://www.domain.com.au/5-tanderum-drive-coburg-vic-3058-2017371523,,0.4-0.5-0.4,3,Oct/2013/662000.0/SOLD
4,6-lonsdale-street-coburg-vic-3058,1310000,27-Nov-2021,3,1,1,-1,None,House,https://www.domain.com.au/6-lonsdale-street-coburg-vic-3058-2017401635,"Built in wardrobes*-""Internal Laundry*""-""Solar panels*""-""Balcony / Deck*""",0.4-1.6-2.8,3,Nov/2021/1310000.0/SOLD-Jul/2012/443000.0/SOLD-Dec/1997/115750.0/SOLD
5,1-liverpool-street-coburg-vic-3058,1100000,27-Nov-2021,3,1,1,493,m2,House,https://www.domain.com.au/1-liverpool-street-coburg-vic-3058-2017311607,,0.4-2-0.3,3,Nov/2021/1100000.0/SOLD
6,48-kerferd-street-coburg-vic-3058,1359000,27-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/48-kerferd-street-coburg-vic-3058-2017382849,"Built in wardrobes*-""Gas*""-""Dishwasher*""-""Shed*""-""Balcony / Deck*""",0.4-1.7-2.5,3,Nov/2021/1359000.0/SOLD-Jun/1993/118000.0/SOLD-Sep/1989/122500.0/SOLD
7,174-munro-street-coburg-vic-3058,1360000,27-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/174-munro-street-coburg-vic-3058-2017382741,"Internal Laundry*-""Heating*""-""Dishwasher*""",0.5-1.9-0.7,3,Nov/2021/1360000.0/SOLD-Mar/2009/630000.0/SOLD-Feb/2000/221500.0/SOLD
8,9a-white-street-coburg-vic-3058,1350000,26-Nov-2021,3,1,1,-1,None,House,https://www.domain.com.au/9a-white-street-coburg-vic-3058-2017355807,"Built in wardrobes*-""Internal Laundry*""-""Heating*""-""Balcony / Deck*""",0.7-1.5-0.8,3,Nov/2021/1350000.0/SOLD
9,2-anketell-street-coburg-vic-3058,1355000,20-Nov-2021,3,1,2,406,m2,House,https://www.domain.com.au/2-anketell-street-coburg-vic-3058-2017363806,"Dishwasher*-""Study""",0.9-1.2-0.9,3,Nov/2021/1355000.0/SOLD-Aug/2013/725000.0/SOLD-Jan/1978/22000.0/SOLD
10,150-the-avenue-coburg-vic-3058,1300000,13-Nov-2021,3,1,1,427,m2,House,https://www.domain.com.au/150-the-avenue-coburg-vic-3058-2017337783,"Internal Laundry*-""Secure Parking*""-""Fireplace(s)*""-""Built in wardrobes""-""Study""",0.9-1.5-1.5,3,Nov/2021/1300000.0/SOLD-Nov/2007/325000.0/SOLD-Jun/1987/54000.0/SOLD
11,8-cole-crescent-coburg-vic-3058,1495000,13-Nov-2021,3,1,1,740,m2,House,https://www.domain.com.au/8-cole-crescent-coburg-vic-3058-2017332989,"Internal Laundry*-""Pets Allowed*""-""Secure Parking*""-""Heating*""-""Shed*""",1-1.2-1.7,3,Nov/2021/1495000.0/SOLD
12,21-salisbury-street-coburg-vic-3058,1050000,12-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/21-salisbury-street-coburg-vic-3058-2017359282,"Internal Laundry*-""Heating*""-""Dishwasher*""",0.4-0.6-2.5,3,Nov/2021/1050000.0/SOLD-Nov/1996/105750.0/SOLD
13,75-donne-street-coburg-vic-3058,1661000,12-Nov-2021,3,2,1,416,m2,House,https://www.domain.com.au/75-donne-street-coburg-vic-3058-2017377557,"Air conditioning*-""Built in wardrobes*""-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Balcony / Deck*""",0.2-2.4-0.2,3,Nov/2021/1661000.0/SOLD-Apr/2020/1320000.0/SOLD-Aug/2006/470000.0/SOLD
14,97-donne-street-coburg-vic-3058,1521000,12-Nov-2021,3,1,1,359,m2,House,https://www.domain.com.au/97-donne-street-coburg-vic-3058-2017359245,"Air conditioning*-""Built in wardrobes*""-""Internal Laundry*""-""Secure Parking*""-""Fireplace(s)*""-""Heating*""-""Dishwasher*""-""Floorboards""",0.2-2.3-0.3,3,Nov/2021/1521000.0/SOLD
15,34-nelson-street-coburg-vic-3058,1370000,10-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/34-nelson-street-coburg-vic-3058-2017165145,,0.7-1.2-0.8,3,Nov/2021/1370000.0/SOLD-Nov/2011/625000.0/SOLD-Apr/1984/66000.0/SOLD
16,13-strathearn-avenue-coburg-vic-3058,1665000,08-Nov-2021,3,1,1,514,m2,House,https://www.domain.com.au/13-strathearn-avenue-coburg-vic-3058-2017324021,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Fireplace(s)*""-""Heating*""-""Dishwasher*""",1.4-2-0.6,3,Nov/2021/1665000.0/SOLD-Feb/2010/711500.0/SOLD
