"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
2-geake-street-coburg-vic-3058,2102000,04-Dec-2021,4,1,4,740,m2,House,https://www.domain.com.au/2-geake-street-coburg-vic-3058-2017382127,Air conditioning*-Internal Laundry*-Secure Parking*-Heating*,0.6-1-3.3,3,Dec/2021/2102000.0/SOLD
13-shackell-street-coburg-vic-3058,1580000,30-Nov-2021,4,2,2,342,m2,House,https://www.domain.com.au/13-shackell-street-coburg-vic-3058-2017336120,Built in wardrobes-Close to transport-Close to shops-Alarm System-Intercom-Open Fire Place-Close to schools-Carpeted-Openable Windows-Security System-Window Treatments-Floorboards-Fully fenced,0.6-1.9-0.8,3,Nov/2021/1580000.0/SOLD-Dec/2020/1460000.0/SOLD
126-munro-street-coburg-vic-3058,1389000,27-Nov-2021,4,1,2,533,m2,House,https://www.domain.com.au/126-munro-street-coburg-vic-3058-2017374282,,0.7-1.6-0.7,3,Nov/2021/1389000.0/SOLD
84-phillips-street-coburg-vic-3058,2020000,27-Nov-2021,4,2,2,-1,None,House,https://www.domain.com.au/84-phillips-street-coburg-vic-3058-2017383372,Internal Laundry*-Secure Parking*-Fireplace(s)*-Heating*-Balcony / Deck*-Study,0.7-1.6-0.6,3,Nov/2021/2020000.0/SOLD
74-berry-street-coburg-vic-3058,1582000,27-Nov-2021,4,1,3,528,m2,House,https://www.domain.com.au/74-berry-street-coburg-vic-3058-2017383129,Built in wardrobes*-Gas*-Secure Parking*-Bath*-Fireplace(s)*-Dishwasher*,0.8-1.6-0.6,3,Nov/2021/1582000.0/SOLD
59-nicholson-street-coburg-vic-3058,1350000,27-Nov-2021,4,3,1,-1,None,House,https://www.domain.com.au/59-nicholson-street-coburg-vic-3058-2017380053,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Dishwasher*,0.8-1.4-1.6,3,Nov/2021/1350000.0/SOLD-Jun/2020/1400000.0/SOLD-Dec/2018/1170000.0/SOLD
132-murray-street-coburg-vic-3058,1350000,27-Nov-2021,4,1,2,-1,None,House,https://www.domain.com.au/132-murray-street-coburg-vic-3058-2017383069,Fireplace(s)*-Heating*-Study,0.3-2-2.5,3,Nov/2021/1350000.0/SOLD-Feb/2010/625000.0/SOLD
55-moore-street-coburg-vic-3058,1790000,19-Nov-2021,4,1,1,-1,None,House,https://www.domain.com.au/55-moore-street-coburg-vic-3058-2017390082,,0.4-1.5-1.8,3,Dec/2021/1790000.0/SOLD-Oct/2017/1269000.0/SOLD
4-oriley-road-coburg-vic-3058,970000,03-Nov-2021,4,2,2,177,m2,House,https://www.domain.com.au/4-oriley-road-coburg-vic-3058-2017313551,Internal Laundry*-Secure Parking*-Dishwasher*-Study*-Balcony / Deck*-Ensuite,0.5-0.7-0.6,3,Oct/2021/970000.0/SOLD-Oct/2012/541500.0/SOLD-Oct/2009/465000.0/SOLD
36-sargood-street-coburg-vic-3058,1300000,26-Oct-2021,4,1,2,460,m2,House,https://www.domain.com.au/36-sargood-street-coburg-vic-3058-2017304411,Floorboards-Fully fenced-Heating-Fireplace(s)-Secure Parking-Air conditioning,0.8-1.2-0.8,3,Oct/2021/1300000.0/SOLD-May/1996/95000.0/SOLD
