"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
21-taronga-crescent-croydon-vic-3136,870500,04-Dec-2021,4,1,4,863,m2,House,https://www.domain.com.au/21-taronga-crescent-croydon-vic-3136-2017399055,Air conditioning*-Internal Laundry*-Secure Parking*-Heating*-Study*-Shed*,0.6-1.5-12.3,3,Dec/2021/870500.0/SOLD-Dec/2006/240000.0/SOLD-Feb/1994/98000.0/SOLD
10-norman-road-croydon-vic-3136,1103000,01-Dec-2021,4,2,2,748,m2,House,https://www.domain.com.au/10-norman-road-croydon-vic-3136-2017371689,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Ensuite,0.6-1.2-2.2,3,Nov/2021/1103000.0/SOLD-Jul/2015/746000.0/SOLD-Nov/2001/299000.0/SOLD
6-grand-view-avenue-croydon-vic-3136,1400000,01-Dec-2021,4,2,2,837,m2,House,https://www.domain.com.au/6-grand-view-avenue-croydon-vic-3136-2017452655,Internal Laundry*-Pets Allowed*-Secure Parking*-Heating*-Balcony / Deck*-Air conditioning-Built in wardrobes-Alarm System-Ensuite,0.8-1.4-2.1,3,Dec/2021/1400000.0/SOLD-Jun/2012/781000.0/SOLD-Jun/2010/426000.0/SOLD
2b-melton-grove-croydon-vic-3136,1175000,27-Nov-2021,4,2,2,326,m2,House,https://www.domain.com.au/2b-melton-grove-croydon-vic-3136-2017358571,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Ensuite-Security Access-Carpeted-Study,0.9-1.4-0.2,3,Nov/2021/1175000.0/SOLD-Dec/2019/397500.0/SOLD
52-kincumber-drive-croydon-vic-3136,985000,27-Nov-2021,4,2,1,862,m2,House,https://www.domain.com.au/52-kincumber-drive-croydon-vic-3136-2017371920,Secure Parking*-Fireplace(s)*-Fully fenced*-Built in wardrobes-Balcony / Deck-Dishwasher-Heating-Floorboards-Air conditioning-Ensuite,0.9-1.6-12.4,3,Nov/2021/985000.0/SOLD-Sep/2012/490.0/SOLD
46-webster-avenue-croydon-vic-3136,1300000,24-Nov-2021,4,2,2,879,m2,House,https://www.domain.com.au/46-webster-avenue-croydon-vic-3136-2017138633,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Open Fire Place-Close to schools-Ensuite-Study,0.6-0.8-0.9,3,Nov/2021/1300000.0/SOLD-Dec/1992/240000.0/SOLD-Sep/1986/40900.0/SOLD
4-ardel-street-croydon-vic-3136,1200000,15-Nov-2021,4,2,2,809,m2,House,https://www.domain.com.au/4-ardel-street-croydon-vic-3136-2017285024,Built in wardrobes*-Secure Parking*-Heating*-Study*,0.6-0.6-0.7,3,Nov/2021/1200000.0/SOLD-Feb/2001/110000.0/SOLD
7-hyton-crescent-croydon-vic-3136,1320000,13-Nov-2021,4,3,2,873,m2,House,https://www.domain.com.au/7-hyton-crescent-croydon-vic-3136-2017377623,Air conditioning*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Balcony / Deck*-Study,0.8-1.2-1.5,3,Nov/2021/1320000.0/SOLD-Dec/2002/302000.0/SOLD-Jan/1992/150000.0/SOLD
66-croydon-road-croydon-vic-3136,1515000,11-Nov-2021,4,2,2,1240,m2,House,https://www.domain.com.au/66-croydon-road-croydon-vic-3136-2017361690,Air conditioning*-Built in wardrobes*-Internal Laundry*-Bath*-Fireplace(s)*-Heating*-Balcony / Deck*,0.5-1.1-2.1,3,Nov/2021/1515000.0/SOLD-Dec/1998/254500.0/SOLD-Mar/1993/145000.0/SOLD
8-park-lane-croydon-vic-3136,1231000,09-Nov-2021,4,2,6,964,m2,House,https://www.domain.com.au/8-park-lane-croydon-vic-3136-2017318286,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Ensuite,1.1-1.1-1.8,3,Nov/2021/1231000.0/SOLD-Jan/2007/420000.0/SOLD-Apr/1993/77500.0/SOLD
