"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
house-2/26-edmonds-street-diamond-creek-vic-3089,915000,23-Oct-2021,2,2,1,484,m2,House,https://www.domain.com.au/house-2-26-edmonds-street-diamond-creek-vic-3089-2017294032,Air conditioning*-Internal Laundry*-Heating*-Balcony / Deck*,0.4-1.8-1.1,3,
2/24-bruce-street-diamond-creek-vic-3089,730000,18-Oct-2021,2,1,1,370,m2,House,https://www.domain.com.au/2-24-bruce-street-diamond-creek-vic-3089-2017283442,Built in wardrobes*-Heating*-Balcony / Deck*,0.4-0.5-0.9,3,
5-norma-street-diamond-creek-vic-3089,780000,30-Aug-2021,2,1,2,573,m2,House,https://www.domain.com.au/5-norma-street-diamond-creek-vic-3089-2017171894,nan,0.7-1.2-0.6,3,Aug/2021/780000.0/SOLD-Jun/1998/144000.0/SOLD-Jun/1994/130000.0/SOLD
11-challenger-street-diamond-creek-vic-3089,761500,23-Aug-2021,2,1,1,523,m2,House,https://www.domain.com.au/11-challenger-street-diamond-creek-vic-3089-2017156787,nan,0.9-1-0.9,3,Aug/2021/761500.0/SOLD-Dec/1976/32500.0/SOLD
18-bage-street-diamond-creek-vic-3089,535000,21-Mar-2020,2,1,1,300,m2,House,https://www.domain.com.au/18-bage-street-diamond-creek-vic-3089-2016103963,nan,0.3-1.5-0.8,3,Mar/2020/535000.0/SOLD-Nov/2007/300000.0/SOLD
429-ryans-road-diamond-creek-vic-3089,635000,02-Mar-2020,2,1,2,642,m2,House,https://www.domain.com.au/429-ryans-road-diamond-creek-vic-3089-2016064338,Balcony-Deck-Fully fenced-Floorboards-Ducted Heating-Air conditioning,1-1-0.9,3,Feb/2020/635000.0/SOLD-May/2016/480000.0/SOLD-May/2003/192000.0/SOLD
lot-4/37-phipps-crescent-diamond-creek-vic-3089,600000,27-Nov-2018,2,2,1,181,m2,House,https://www.domain.com.au/lot-4-37-phipps-crescent-diamond-creek-vic-3089-2014765416,nan,0.5-0.7-0.9,3,
16-wensley-street-diamond-creek-vic-3089,579900,24-Aug-2018,2,1,1,-1,None,House,https://www.domain.com.au/16-wensley-street-diamond-creek-vic-3089-2014533875,Courtyard-Remote Garage-Fully fenced-Built in wardrobes-Ducted Heating,0.7-0.8-0.5,3,Aug/2018/579000.0/SOLD-Jun/2011/406000.0/SOLD-Jul/2004/256000.0/SOLD
5-dering-street-diamond-creek-vic-3089,646000,14-Aug-2018,2,1,1,342,m2,House,https://www.domain.com.au/5-dering-street-diamond-creek-vic-3089-2014512572,nan,0.7-1.3-0.7,3,Sep/2018/646000.0/SOLD-Oct/2013/436000.0/SOLD-Aug/2009/362000.0/SOLD
10-ryan-street-diamond-creek-vic-3089,665000,05-Jul-2018,2,1,-1,605,m2,House,https://www.domain.com.au/10-ryan-street-diamond-creek-vic-3089-2014448975,nan,0.3-1.3-0.5,3,Jul/2018/665000.0/SOLD-Aug/2012/378000.0/SOLD
