address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
12-ness-street-diamond-creek-vic-3089,1036000,07-Dec-2021,5,3,1,663,m2,House,https://www.domain.com.au/12-ness-street-diamond-creek-vic-3089-2017424565,"Secure Parking*-""Heating*""-""Balcony / Deck*""",0.3-1.2-0.5,3,Dec/2021/1036000.0/SOLD
8-knightsbridge-place-diamond-creek-vic-3089,1200000,06-Dec-2021,5,3,2,805,m2,House,https://www.domain.com.au/8-knightsbridge-place-diamond-creek-vic-3089-2017382060,,0.9-1.5-1,3,Dec/2021/1200000.0/SOLD-Jul/2006/165000.0/SOLD
142-everleigh-drive-diamond-creek-vic-3089,1470000,27-Nov-2021,5,2,2,1001,m2,House,https://www.domain.com.au/142-everleigh-drive-diamond-creek-vic-3089-2017400617,,1.5-1.6-1.4,3,Nov/2021/1470000.0/SOLD-Aug/2006/589000.0/SOLD-May/2003/180000.0/SOLD
4-pledger-close-diamond-creek-vic-3089,1271000,15-Nov-2021,5,3,3,785,m2,House,https://www.domain.com.au/4-pledger-close-diamond-creek-vic-3089-2017364242,,1-1.2-0.8,3,Nov/2021/1271000.0/SOLD-Apr/2008/505000.0/SOLD-Dec/1986/36500.0/SOLD
82-92-perversi-avenue-diamond-creek-vic-3089,2003000,11-Nov-2021,6,3,5,8524,m2,House,https://www.domain.com.au/82-92-perversi-avenue-diamond-creek-vic-3089-2017290103,"Secure Parking*-""Heating*""-""Shed*""-""Study""",0.7-0.8-1.5,3,
35-83-milthorpe-road-diamond-creek-vic-3089,2000000,03-Nov-2021,5,2,4,-1,None,House,https://www.domain.com.au/35-83-milthorpe-road-diamond-creek-vic-3089-2017296741,,2.6-2.8-2,3,Nov/2021/2000000.0/SOLD-Sep/2013/1010999.9999999999/SOLD-Jul/1987/100000.0/SOLD
68-david-hockney-drive-diamond-creek-vic-3089,1400000,18-Oct-2021,5,2,2,-1,None,House,https://www.domain.com.au/68-david-hockney-drive-diamond-creek-vic-3089-2017286124,,1.3-1.6-0.9,3,Oct/2021/1400000.0/SOLD-Sep/2000/150000.0/SOLD-Mar/1999/147000.0/SOLD
20-kalmaine-court-diamond-creek-vic-3089,1250000,29-Sep-2021,5,3,3,791,m2,House,https://www.domain.com.au/20-kalmaine-court-diamond-creek-vic-3089-2017239118,"Heating*-""Study""",0.7-1.2-0.7,3,Sep/2021/1250000.0/SOLD-Oct/2006/312000.0/SOLD-Jan/1983/16500.0/SOLD
65-grassy-flat-road-diamond-creek-vic-3089,1380000,21-Aug-2021,5,3,3,1010,m2,House,https://www.domain.com.au/65-grassy-flat-road-diamond-creek-vic-3089-2017139569,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Garden*""-""Solar panels*""-""Study""",0.9-1.8-1.2,3,Aug/2021/1380000.0/SOLD-Jan/2017/472500.0/SOLD
12-victoria-street-diamond-creek-vic-3089,950000,06-Aug-2021,5,3,2,601,m2,House,https://www.domain.com.au/12-victoria-street-diamond-creek-vic-3089-2017090346,"Secure Parking*-""Garden*""-""Area Views""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Swimming Pool""-""Close to schools""-""Ensuite""-""Carpeted""-""Kitchenette""-""Broadband Internet Available""-""Dishwasher""-""Fully fenced""",0.6-0.7-0.7,3,Aug/2021/950000.0/SOLD-Jun/1987/135000.0/SOLD
6-happy-valley-rise-diamond-creek-vic-3089,1120000,01-Aug-2021,5,3,2,900,m2,House,https://www.domain.com.au/6-happy-valley-rise-diamond-creek-vic-3089-2017078775,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Garden*""",0.4-1.6-1,3,Aug/2021/1120000.0/SOLD-Feb/2011/520000.0/SOLD-Jun/1989/81000.0/SOLD
19-candlebark-close-diamond-creek-vic-3089,1425000,12-May-2021,5,3,2,930,m2,House,https://www.domain.com.au/19-candlebark-close-diamond-creek-vic-3089-2016961724,,0.6-0.9-0.3,3,May/2021/1425000.0/SOLD-Dec/1989/285000.0/SOLD
14-marino-way-diamond-creek-vic-3089,1670000,01-May-2021,5,3,4,1149,m2,House,https://www.domain.com.au/14-marino-way-diamond-creek-vic-3089-2016913595,,1.2-1.4-0.8,3,May/2021/1670000.0/SOLD-Sep/1996/1700.0/SOLD-May/1991/270000.0/SOLD
5-dianella-court-diamond-creek-vic-3089,1450000,07-Apr-2021,5,2,2,654,m2,House,https://www.domain.com.au/5-dianella-court-diamond-creek-vic-3089-2016877456,,0.4-0.5-0.4,3,
23-louis-buvelot-wynd-diamond-creek-vic-3089,1455000,17-Feb-2021,5,3,3,800,m2,House,https://www.domain.com.au/23-louis-buvelot-wynd-diamond-creek-vic-3089-2016771150,,0.9-1.2-0.5,3,Feb/2021/1455000.0/SOLD-Feb/2016/900000.0/SOLD-Jul/2009/730000.0/SOLD
19-kelly-street-diamond-creek-vic-3089,882000,02-Dec-2020,5,2,2,856,m2,House,https://www.domain.com.au/19-kelly-street-diamond-creek-vic-3089-2016620281,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""-""Garden""-""Floorboards""-""Ducted gas heating""-""Evaporative cooling on upstairs level""-""Covered Outdoor Entertaining""",0.4-0.5-0.8,3,Dec/2020/882000.0/SOLD-Sep/2015/680000.0/SOLD-Sep/2002/290000.0/SOLD
8-jessamber-court-diamond-creek-vic-3089,995000,07-Nov-2020,5,2,2,1002,m2,House,https://www.domain.com.au/8-jessamber-court-diamond-creek-vic-3089-2016547082,Study,0.5-0.5-1.2,3,Nov/2020/995000.0/SOLD-Nov/1988/171500.0/SOLD
23-grassy-flat-road-diamond-creek-vic-3089,775000,20-May-2020,5,2,2,820,m2,House,https://www.domain.com.au/23-grassy-flat-road-diamond-creek-vic-3089-2016261150,"Air conditioning-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Open Fire Place""-""Close to schools""-""Ensuite""",0.6-1.6-0.9,3,May/2020/775000.0/SOLD-Mar/2000/275000.0/SOLD-Oct/1981/19500.0/SOLD
102-oronsay-crescent-diamond-creek-vic-3089,550000,23-Apr-2020,5,2,2,1151,m2,House,https://www.domain.com.au/102-oronsay-crescent-diamond-creek-vic-3089-2016218369,Study,0.8-0.8-1.1,3,Apr/2020/550000.0/SOLD-Feb/2017/762150.0/SOLD-Nov/2004/340000.0/SOLD
58-haley-street-diamond-creek-vic-3089,720000,14-Mar-2020,5,2,4,850,m2,House,https://www.domain.com.au/58-haley-street-diamond-creek-vic-3089-2016097733,,0.6-0.7-0.5,3,Mar/2020/549.0/SOLD
8-arthur-streeton-place-diamond-creek-vic-3089,1100000,11-Feb-2020,5,2,2,-1,None,House,https://www.domain.com.au/8-arthur-streeton-place-diamond-creek-vic-3089-2015907798,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Garden""-""Secure Parking""-""Floorboards""-""Formal Lounge""-""Separate Dining""-""Study""",0.9-1.2-0.5,3,Jan/2020/1100000.0/SOLD-Nov/2003/501000.0/SOLD-Nov/1999/341000.0/SOLD
15-wilson-street-diamond-creek-vic-3089,1100000,29-Nov-2019,5,3,4,928,m2,House,https://www.domain.com.au/15-wilson-street-diamond-creek-vic-3089-2015879283,,1.3-1.5-0.6,3,Nov/2019/1100000.0/SOLD-Oct/1996/1026999.9999999999/SOLD-Oct/1995/1026999.9999999999/SOLD
42-brownlow-drive-diamond-creek-vic-3089,1000000,30-Oct-2019,5,3,2,992,m2,House,https://www.domain.com.au/42-brownlow-drive-diamond-creek-vic-3089-2015728500,,1.5-1.6-1.4,3,Oct/2019/1000000.0/SOLD-Nov/2011/740000.0/SOLD
188-black-gully-road-diamond-creek-vic-3089,1220000,09-Oct-2019,5,2,6,-1,None,House,https://www.domain.com.au/188-black-gully-road-diamond-creek-vic-3089-2015634110,,1.8-3.1-1.1,3,
50-phipps-crescent-diamond-creek-vic-3089,1002000,05-Oct-2019,5,3,2,741,m2,House,https://www.domain.com.au/50-phipps-crescent-diamond-creek-vic-3089-2015696073,,0.7-0.8-1,3,Oct/2019/1002000.0/SOLD-Nov/2004/220000.0/SOLD-Oct/2003/200000.0/SOLD
12-felicia-rise-diamond-creek-vic-3089,938250,29-Sep-2019,5,2,2,786,m2,House,https://www.domain.com.au/12-felicia-rise-diamond-creek-vic-3089-2015655499,"Workshop-""Evaporative Cooling""-""Gym""-""Ducted Heating""-""Reverse Cycle AirCon""",0.3-0.4-1,3,Sep/2019/938250.0/SOLD-Nov/2012/665000.0/SOLD-Aug/2004/530000.0/SOLD
8-rangeview-road-diamond-creek-vic-3089,1005000,21-Sep-2019,5,2,2,1170,m2,House,https://www.domain.com.au/8-rangeview-road-diamond-creek-vic-3089-2015543998,"Ensuite-""Built in wardrobes""-""Walk in robes""-""Ducted Heating""-""Outdoor Ent.""-""Inside Spa""-""Floorboards""-""Split System AirCon""",0.6-0.7-0.3,3,Sep/2019/1004999.9999999999/SOLD-Dec/1999/346000.0/SOLD-Jan/1988/91000.0/SOLD
5-dianella-court-diamond-creek-vic-3089,970000,12-Sep-2019,5,2,2,654,m2,House,https://www.domain.com.au/5-dianella-court-diamond-creek-vic-3089-2015604614,,0.4-0.5-0.4,3,Apr/2021/1450000.0/SOLD-Sep/2019/970000.0/SOLD-Jan/2019/906000.0/SOLD
32-royston-street-diamond-creek-vic-3089,1150000,10-Sep-2019,5,3,2,1320,m2,House,https://www.domain.com.au/32-royston-street-diamond-creek-vic-3089-2015520212,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Floorboards""-""Formal Lounge""-""Swimming Pool""-""Terrace-Balcony""-""Study""-""Ducted Heating""",0.9-1.1-1.1,3,Sep/2019/1150000.0/SOLD-Jan/2001/156000.0/SOLD
172-black-gully-road-diamond-creek-vic-3089,2300000,28-Jun-2019,6,5,12,-1,None,House,https://www.domain.com.au/172-black-gully-road-diamond-creek-vic-3089-2015307226,"Air conditioning-""Built in wardrobes""-""Alarm System""-""Tennis Court""-""Swimming Pool""-""Open Fire Place""-""Study""",2-3-1.4,3,Jun/2019/2300000.0/SOLD-Dec/2002/400000.0/SOLD
2-lotus-court-diamond-creek-vic-3089,768000,25-Jun-2019,5,3,2,725,m2,House,https://www.domain.com.au/2-lotus-court-diamond-creek-vic-3089-2015329659,Study,1-1-0.7,3,Jun/2019/768000.0/SOLD-Aug/2011/521500.0/SOLD
68-everleigh-drive-diamond-creek-vic-3089,925000,18-Mar-2019,5,2,2,875,m2,House,https://www.domain.com.au/68-everleigh-drive-diamond-creek-vic-3089-2014986152,Study,1-1.7-1.2,3,Mar/2019/925000.0/SOLD-May/2012/294000.0/SOLD-Sep/2010/240500.0/SOLD
15-discovery-drive-diamond-creek-vic-3089,820000,12-Mar-2019,5,2,2,891,m2,House,https://www.domain.com.au/15-discovery-drive-diamond-creek-vic-3089-2014815566,"Ensuite(s)-""Ensuite""-""Alarm System""-""Built in wardrobes""-""Gas""-""Broadband internet access""-""Bath""-""Heating""-""Study""-""Rainwater storage tank""",1.3-1.5-1.6,3,Jan/2019/820000.0/SOLD-Jun/2015/650.0/SOLD
3-glen-view-close-diamond-creek-vic-3089,975000,21-Jan-2019,5,2,3,1291,m2,House,https://www.domain.com.au/3-glen-view-close-diamond-creek-vic-3089-2014759490,,1.3-1.3-1.2,3,Jan/2019/975000.0/SOLD-Jun/2006/209000.0/SOLD-Apr/2005/183000.0/SOLD
16-david-hockney-drive-diamond-creek-vic-3089,1020000,01-Dec-2018,5,2,2,849,m2,House,https://www.domain.com.au/16-david-hockney-drive-diamond-creek-vic-3089-2014675916,,0.9-1.2-0.5,3,Nov/2018/1020000.0/SOLD-Jul/1994/275000.0/SOLD
14-monomeath-avenue-diamond-creek-vic-3089,1422599,18-Oct-2018,5,3,2,-1,None,House,https://www.domain.com.au/14-monomeath-avenue-diamond-creek-vic-3089-2014677563,,1.1-1.4-0.8,3,Oct/2018/1422599.0/SOLD-Feb/2001/192600.0/SOLD-Jan/2000/160000.0/SOLD
7-cassinia-court-diamond-creek-vic-3089,1012000,11-Oct-2018,5,3,2,871,m2,House,https://www.domain.com.au/7-cassinia-court-diamond-creek-vic-3089-2014612144,,0.8-1.1-0.5,3,Oct/2018/1012000.0/SOLD-Feb/2000/120000.0/SOLD
7-james-court-diamond-creek-vic-3089,1250000,07-Apr-2018,5,2,2,840,m2,House,https://www.domain.com.au/7-james-court-diamond-creek-vic-3089-2014243494,,1.5-1.7-0.8,3,Apr/2018/1250000.0/SOLD-Feb/2005/460000.0/SOLD-May/1996/96600.0/SOLD
57-murray-road-diamond-creek-vic-3089,1070000,24-Mar-2018,5,2,2,-1,None,House,https://www.domain.com.au/57-murray-road-diamond-creek-vic-3089-2014214134,,0.9-2-1.3,3,Mar/2018/1070000.0/SOLD-Nov/2006/680000.0/SOLD
3-juane-park-drive-diamond-creek-vic-3089,1000000,15-Feb-2018,5,2,2,928,m2,House,https://www.domain.com.au/3-juane-park-drive-diamond-creek-vic-3089-2014159047,,0.9-1.2-1,3,Feb/2018/1000000.0/SOLD-Sep/2011/715000.0/SOLD
16-lydford-court-diamond-creek-vic-3089,856500,11-Oct-2017,5,3,2,808,m2,House,https://www.domain.com.au/16-lydford-court-diamond-creek-vic-3089-2013850995,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Garden""-""Formal Lounge""-""Swimming Pool""-""Terrace-Balcony""-""Gas ducted heating""",0.8-0.8-0.5,3,Oct/2017/856500.0/SOLD-Sep/1988/133000.0/SOLD-Feb/1985/27500.0/SOLD
30-ironbark-road-diamond-creek-vic-3089,1118000,10-Oct-2017,5,4,8,-1,None,House,https://www.domain.com.au/30-ironbark-road-diamond-creek-vic-3089-2013852506,,0.7-1.9-1.2,3,
15-tom-roberts-glade-diamond-creek-vic-3089,1310500,03-Oct-2017,5,3,3,-1,None,House,https://www.domain.com.au/15-tom-roberts-glade-diamond-creek-vic-3089-2013830017,,0.8-1.2-0.5,3,Oct/2017/1310500.0/SOLD-Jun/1997/107500.0/SOLD-Sep/1996/90000.0/SOLD
10-coniston-street-diamond-creek-vic-3089,734000,29-Sep-2017,5,2,-1,854,m2,House,https://www.domain.com.au/10-coniston-street-diamond-creek-vic-3089-2013816188,"Courtyard-""Outdoor Entertaining""-""Fully fenced""-""Workshop""-""Floorboards""-""Built in wardrobes""-""Dishwasher""-""Ducted Heating""",0.6-0.8-0.6,3,Sep/2017/734000.0/SOLD
41-dering-street-diamond-creek-vic-3089,780000,06-Sep-2017,5,3,3,-1,None,House,https://www.domain.com.au/41-dering-street-diamond-creek-vic-3089-2013754420,Study,0.9-1.5-0.9,3,Sep/2017/780000.0/SOLD-Jun/1987/85000.0/SOLD-Aug/1984/60000.0/SOLD
33-grassy-flat-road-diamond-creek-vic-3089,1030000,23-Aug-2017,5,3,2,1025,m2,House,https://www.domain.com.au/33-grassy-flat-road-diamond-creek-vic-3089-2013732550,"Inground Pool-""Outdoor Ent.""-""Outside Spa""-""Built in wardrobes""-""Ducted Heating""-""Evaporative Cooling""-""Floorboards""-""Rumpus Room""",0.6-1.7-1,3,Aug/2017/1030000.0/SOLD-Nov/2006/490000.0/SOLD-Sep/1989/285000.0/SOLD
24-oronsay-crescent-diamond-creek-vic-3089,845000,20-May-2017,5,2,4,1108,m2,House,https://www.domain.com.au/24-oronsay-crescent-diamond-creek-vic-3089-2013532593,Study,0.5-0.6-0.7,3,May/2017/845000.0/SOLD-Sep/2000/270000.0/SOLD-Oct/1985/35500.0/SOLD
19-kalmaine-court-diamond-creek-vic-3089,835000,14-Dec-2016,5,3,2,-1,None,House,https://www.domain.com.au/19-kalmaine-court-diamond-creek-vic-3089-2013229294,,0.7-1.3-0.7,3,Dec/2016/835000.0/SOLD-Feb/2003/380000.0/SOLD-Jun/2000/330157.0/SOLD
53-kingfisher-drive-diamond-creek-vic-3089,1207499,08-Dec-2016,5,3,3,959,m2,House,https://www.domain.com.au/53-kingfisher-drive-diamond-creek-vic-3089-2013103669,,1.2-1.6-0.9,3,Dec/2016/1207499.0/SOLD
52-everleigh-drive-diamond-creek-vic-3089,750000,06-Dec-2016,6,3,-1,924,m2,House,https://www.domain.com.au/52-everleigh-drive-diamond-creek-vic-3089-2013226049,,0.8-1.6-1,3,Dec/2016/750000.0/SOLD-Jan/2014/617000.0/SOLD-Aug/2002/350000.0/SOLD
2-wentworth-close-diamond-creek-vic-3089,789000,26-Sep-2016,5,3,2,896,m2,House,https://www.domain.com.au/2-wentworth-close-diamond-creek-vic-3089-2013055812,,0.9-1.1-0.9,3,Sep/2016/789000.0/SOLD-Jan/1996/430.0/SOLD
25-david-hockney-drive-diamond-creek-vic-3089,902000,06-Sep-2016,5,3,2,1008,m2,House,https://www.domain.com.au/25-david-hockney-drive-diamond-creek-vic-3089-2012986752,"Alarm System-""Deck""-""Study""-""Remote Garage""-""Outdoor Ent.""-""Inside Spa""-""Built in wardrobes""-""Dishwasher""-""Ducted Cooling""-""Ducted Heating""",1-1.3-0.6,3,Sep/2016/902000.0/SOLD-Mar/2005/621000.0/SOLD-May/1995/105000.0/SOLD
