,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,15-mulwala-drive-doreen-vic-3754,490000,03-Dec-2021,3,1,1,203,m2,House,https://www.domain.com.au/15-mulwala-drive-doreen-vic-3754-2017173944,"Heating*-""Built in wardrobes""-""Internal Laundry""-""Secure Parking""-""Fully fenced""-""Garden / Courtyard""",1.2-1.4-4.7,3,Dec/2021/490000.0/SOLD-Jan/2019/430000.0/SOLD-Jul/2017/80000.0/SOLD
1,13-cortland-street-doreen-vic-3754,610000,01-Dec-2021,3,2,1,315,m2,House,https://www.domain.com.au/13-cortland-street-doreen-vic-3754-2017434254,,0.4-1.6-0.8,3,Dec/2021/610000.0/SOLD
2,46-gyrfalcon-way-doreen-vic-3754,595000,18-Nov-2021,3,2,1,237,m2,House,https://www.domain.com.au/46-gyrfalcon-way-doreen-vic-3754-2017356311,"Secure Parking*-""Balcony / Deck*""-""Built in wardrobes""-""Heating""",0.6-2-2.1,3,Nov/2021/595000.0/SOLD
3,39-senecio-drive-doreen-vic-3754,700000,17-Nov-2021,3,2,2,476,m2,House,https://www.domain.com.au/39-senecio-drive-doreen-vic-3754-2017341546,"Secure Parking*-""Study*""-""Air conditioning""-""Built in wardrobes""-""Heating""-""Fully fenced""",0.6-1.4-1.7,3,Nov/2021/700000.0/SOLD-May/2009/152000.0/SOLD
4,11-sunningdale-road-doreen-vic-3754,800000,17-Nov-2021,3,2,2,517,m2,House,https://www.domain.com.au/11-sunningdale-road-doreen-vic-3754-2017361487,"Internal Laundry*-""Secure Parking*""-""Broadband internet access*""-""Dishwasher*""-""Shed*""-""Solar panels*""-""Ensuite""",0.5-1.1-2.1,3,Nov/2021/800000.0/SOLD-Jul/2014/180000.0/SOLD
5,135-flaxen-hills-road-doreen-vic-3754,665000,16-Nov-2021,3,2,2,356,m2,House,https://www.domain.com.au/135-flaxen-hills-road-doreen-vic-3754-2017405721,,0.5-1.7-2,3,Nov/2021/665000.0/SOLD
6,8-elation-boulevard-doreen-vic-3754,585000,16-Nov-2021,3,2,2,302,m2,House,https://www.domain.com.au/8-elation-boulevard-doreen-vic-3754-2017311380,"Air conditioning*-""Secure Parking*""-""Ensuite""",1.1-1.7-0.9,3,Nov/2021/585000.0/SOLD
7,9-persimmon-way-doreen-vic-3754,620000,15-Nov-2021,3,2,1,295,m2,House,https://www.domain.com.au/9-persimmon-way-doreen-vic-3754-2017402103,,0.5-1.5-0.8,3,Nov/2021/620000.0/SOLD-Sep/2012/172000.0/SOLD
8,23-bonang-drive-doreen-vic-3754,705888,13-Nov-2021,3,2,1,375,m2,House,https://www.domain.com.au/23-bonang-drive-doreen-vic-3754-2017389975,"Built in wardrobes-""Ensuite""-""Ducted Heating""-""Evaporative Cooling""-""Outdoor Entertainment Area""-""Remote Garage""",1-1.3-1.6,3,Nov/2021/705888.0/SOLD
9,6-bateleur-crescent-doreen-vic-3754,595000,12-Nov-2021,3,2,1,213,m2,House,https://www.domain.com.au/6-bateleur-crescent-doreen-vic-3754-2017337546,"Internal Laundry*-""Secure Parking*""-""Balcony / Deck*""-""Built in wardrobes""-""Heating""",0.4-1.7-1.9,3,Nov/2021/595000.0/SOLD
