"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
18-pinehill-way-doreen-vic-3754,1525000,03-Dec-2021,4,2,2,4000,m2,House,https://www.domain.com.au/18-pinehill-way-doreen-vic-3754-2017423405,Bath-Heating-Dishwasher-Secure Parking-Shed-Balcony / Deck,1.4-2.4-2.9,3,Dec/2021/1525000.0/SOLD-Feb/2017/985500.0/SOLD-Mar/2015/790000.0/SOLD
32-horsley-crescent-doreen-vic-3754,1005000,01-Dec-2021,4,3,2,612,m2,House,https://www.domain.com.au/32-horsley-crescent-doreen-vic-3754-2017417008,Built in wardrobes-Heating-Study-Shed-Balcony / Deck,1.9-1.9-0.9,3,Dec/2021/1004999.9999999999/SOLD-Apr/2016/640000.0/SOLD-Mar/2010/204500.0/SOLD
36-coolgardie-way-doreen-vic-3754,840000,01-Dec-2021,4,2,2,392,m2,House,https://www.domain.com.au/36-coolgardie-way-doreen-vic-3754-2017402168,Built in wardrobes*-Internal Laundry*-Secure Parking*-Solar panels*-Ensuite,1.6-2.1-0.7,3,Dec/2021/840000.0/SOLD-Feb/2011/199000.0/SOLD
211-cookes-road-doreen-vic-3754,975000,29-Nov-2021,4,2,2,643,m2,House,https://www.domain.com.au/211-cookes-road-doreen-vic-3754-2017268837,Internal Laundry*-Secure Parking*-Study*-Shed*-Balcony / Deck*,0.5-1.6-1.6,3,Nov/2021/975000.0/SOLD-Oct/2012/430002.0/SOLD
17-shoal-circuit-doreen-vic-3754,700000,25-Nov-2021,4,2,2,410,m2,House,https://www.domain.com.au/17-shoal-circuit-doreen-vic-3754-2017383192,Built in wardrobes*-Heating*-Fully fenced*-Balcony / Deck*,1.7-2-0.7,3,Nov/2021/700000.0/SOLD-Jul/2020/600000.0/SOLD-Oct/2011/190000.0/SOLD
31-midland-road-doreen-vic-3754,790000,25-Nov-2021,4,2,2,540,m2,House,https://www.domain.com.au/31-midland-road-doreen-vic-3754-2017381846,Secure Parking*-Heating*-Dishwasher*,0.5-1-2,3,Nov/2021/790000.0/SOLD
43-senecio-drive-doreen-vic-3754,690000,25-Nov-2021,4,2,2,476,m2,House,https://www.domain.com.au/43-senecio-drive-doreen-vic-3754-2017391888,Secure Parking*-Heating*-Dishwasher*-Balcony / Deck*,0.6-1.4-1.7,3,Nov/2021/690000.0/SOLD
9-canungra-way-doreen-vic-3754,885000,24-Nov-2021,4,2,2,448,m2,House,https://www.domain.com.au/9-canungra-way-doreen-vic-3754-2017421823,,1-2.4-2.5,3,Nov/2021/885000.0/SOLD-May/2017/239000.0/SOLD
34-starboard-drive-doreen-vic-3754,960000,23-Nov-2021,4,2,2,512,m2,House,https://www.domain.com.au/34-starboard-drive-doreen-vic-3754-2017417134,,0.7-1.4-0.9,3,Nov/2021/960000.0/SOLD-Mar/2011/239000.0/SOLD
3-sandover-street-doreen-vic-3754,701000,22-Nov-2021,4,2,2,470,m2,House,https://www.domain.com.au/3-sandover-street-doreen-vic-3754-2017404665,Study*,1.4-2-0.5,3,Nov/2021/701000.0/SOLD
85-sunstone-boulevard-doreen-vic-3754,1125000,22-Nov-2021,4,2,2,750,m2,House,https://www.domain.com.au/85-sunstone-boulevard-doreen-vic-3754-2017327637,,0.6-2.2-1.5,3,Nov/2021/1125000.0/SOLD-Feb/2015/282000.0/SOLD
12-marley-boulevard-doreen-vic-3754,722000,20-Nov-2021,4,2,2,575,m2,House,https://www.domain.com.au/12-marley-boulevard-doreen-vic-3754-2017361159,Internal Laundry*-Secure Parking*-Heating*,1-2.3-2.5,3,Nov/2021/722000.0/SOLD-Aug/2015/199900.0/SOLD
15-navigate-road-doreen-vic-3754,700000,20-Nov-2021,4,2,2,350,m2,House,https://www.domain.com.au/15-navigate-road-doreen-vic-3754-2017410182,Air conditioning-Built in wardrobes-Split System Air Con-Dishwasher-Ensuite-Ducted Heating-Floorboards-Outdoor Entertainment Area-Remote Garage,0.1-1.8-0.9,3,Nov/2021/700000.0/SOLD-Apr/2018/575000.0/SOLD-Apr/2015/400000.0/SOLD
12-russel-way-doreen-vic-3754,790000,19-Nov-2021,4,2,2,400,m2,House,https://www.domain.com.au/12-russel-way-doreen-vic-3754-2017391191,,0.4-1.4-1.4,3,Nov/2021/790000.0/SOLD-Jun/2012/450.0/SOLD
9-spectacular-avenue-doreen-vic-3754,660000,19-Nov-2021,4,2,1,-1,None,House,https://www.domain.com.au/9-spectacular-avenue-doreen-vic-3754-2017370651,,0.9-1.9-2,3,Nov/2021/660000.0/SOLD-Sep/2016/1651.0/SOLD
23-resolution-circuit-doreen-vic-3754,832000,17-Nov-2021,4,2,2,481,m2,House,https://www.domain.com.au/23-resolution-circuit-doreen-vic-3754-2017371310,Internal Laundry*,0.6-2.4-1.3,3,Nov/2021/832000.0/SOLD-Oct/2015/500.0/SOLD
