,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,127-rainier-avenue-dromana-vic-3936,785000,26-Nov-2021,2,1,2,713,m2,House,https://www.domain.com.au/127-rainier-avenue-dromana-vic-3936-2017379504,"Internal Laundry*-""Secure Parking*""-""Fireplace(s)*""-""Shed*""",2-2.7,2,Nov/2021/785000.0/SOLD-Dec/1997/66000.0/SOLD
1,6a-foote-street-dromana-vic-3936,1150000,26-Nov-2021,2,1,4,-1,None,House,https://www.domain.com.au/6a-foote-street-dromana-vic-3936-2017340516,,0.4-5.2,2,Nov/2021/1150000.0/SOLD
2,2/16-macedon-avenue-dromana-vic-3936,790000,19-Oct-2021,2,1,1,520,m2,House,https://www.domain.com.au/2-16-macedon-avenue-dromana-vic-3936-2017310870,"Secure Parking*-""Heating*""",1.1-3.7,2,
3,5-dalworth-avenue-dromana-vic-3936,735000,26-Jun-2021,2,1,1,555,m2,House,https://www.domain.com.au/5-dalworth-avenue-dromana-vic-3936-2016822560,"Internal Laundry*-""Garden*""-""Balcony / Deck*""-""Air-Conditioner""-""Fully fenced""",1.8-3.3,2,Jun/2021/735000.0/SOLD-Aug/1997/83000.0/SOLD-Mar/1994/29000.0/SOLD
4,158/131-nepean-highway-dromana-vic-3936,242000,16-Jun-2021,2,1,2,-1,None,Villa,https://www.domain.com.au/158-131-nepean-highway-dromana-vic-3936-2016900739,"Internal Laundry*-""Garden*""-""Air conditioning""-""Built in wardrobes""-""Balcony / Deck""-""Heating""-""Shed""",1.2-4.1,2,
5,1130-arthurs-seat-road-dromana-vic-3936,800000,12-Jun-2021,2,1,-1,830,m2,House,https://www.domain.com.au/1130-arthurs-seat-road-dromana-vic-3936-2016960958,Garden*,0.3-4.9,2,Jun/2021/800000.0/SOLD-Apr/2008/200.0/SOLD
6,201/131-nepean-highway-dromana-vic-3936,179000,08-Apr-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/201-131-nepean-highway-dromana-vic-3936-2016900826,"Internal Laundry*-""Heating*""-""Garden*""-""Balcony / Deck""-""Built in wardrobes""-""Swimming Pool""-""Air conditioning""-""Shed""",1.2-4.1,2,
7,43-verdon-street-dromana-vic-3936,900000,17-Dec-2020,2,1,-1,755,m2,House,https://www.domain.com.au/43-verdon-street-dromana-vic-3936-2016678152,"Garden*-""Study""",0.2-4.9,2,Dec/2020/900000.0/SOLD-May/2009/447000.0/SOLD-Sep/1999/108000.0/SOLD
8,74-lombardy-avenue-dromana-vic-3936,810000,02-Dec-2020,2,1,1,753,m2,House,https://www.domain.com.au/74-lombardy-avenue-dromana-vic-3936-2016654127,"Bath*-""Heating*""-""Dishwasher*""-""Shed*""-""Garden*""-""Air conditioning""-""Close to transport""-""Close to shops""-""Close to schools""-""Water Views""",1.7-3,2,Dec/2020/810000.0/SOLD-Dec/2016/510000.0/SOLD
9,25-rosalie-avenue-dromana-vic-3936,618888,30-Nov-2020,2,1,2,699,m2,House,https://www.domain.com.au/25-rosalie-avenue-dromana-vic-3936-2016643956,"Pets Allowed*-""Secure Parking*""-""Garden*""",2-3.1,2,Nov/2020/618888.0/SOLD-Nov/1999/40000.0/SOLD-Nov/1987/27000.0/SOLD
