"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
7-centella-street-dromana-vic-3936,935000,28-Nov-2021,3,2,3,316,m2,House,https://www.domain.com.au/7-centella-street-dromana-vic-3936-2017348363,Gas*-Internal Laundry*-Secure Parking*-Built in wardrobes-Balcony / Deck-Dishwasher-Heating-Fully fenced-Air conditioning-Ensuite,1.7-3,2,Nov/2021/935000.0/SOLD-Sep/2015/575000.0/SOLD
275-boundary-road-dromana-vic-3936,1402000,28-Nov-2021,3,2,2,603,m2,House,https://www.domain.com.au/275-boundary-road-dromana-vic-3936-2017397489,Air conditioning-Water Views-City Views-Ocean Views,1-3.8,2,Nov/2021/1402000.0/SOLD
307-boundary-road-dromana-vic-3936,1100000,27-Nov-2021,3,2,2,746,m2,House,https://www.domain.com.au/307-boundary-road-dromana-vic-3936-2017400550,Built in wardrobes*-Internal Laundry*-Bath*-Close to schools-City Views-Floorboards-Secure Parking-Swimming Pool - Below Ground,0.6-4.3,2,Nov/2021/1100000.0/SOLD-Jan/1992/115000.0/SOLD-Feb/1991/85000.0/SOLD
101-palmerston-avenue-dromana-vic-3936,851500,24-Nov-2021,3,2,3,605,m2,House,https://www.domain.com.au/101-palmerston-avenue-dromana-vic-3936-2017389049,Air conditioning*-Secure Parking*-Heating*,1.5-3.3,2,Nov/2021/851500.0/SOLD-May/2015/310000.0/SOLD-Mar/2001/119000.0/SOLD
7-heath-road-dromana-vic-3936,925000,19-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/7-heath-road-dromana-vic-3936-2017273196,Secure Parking*-Shed*-Ensuite,1.5-3.2,2,Nov/2021/925000.0/SOLD-May/1996/130000.0/SOLD
18-corey-avenue-dromana-vic-3936,985000,09-Nov-2021,3,1,2,718,m2,House,https://www.domain.com.au/18-corey-avenue-dromana-vic-3936-2017332714,Air conditioning*-Internal Laundry*-Shed*,2.1-3.1,2,Nov/2021/985000.0/SOLD
70-nepean-highway-dromana-vic-3936,1161000,08-Nov-2021,3,2,4,567,m2,House,https://www.domain.com.au/70-nepean-highway-dromana-vic-3936-2017344258,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Balcony / Deck*,2.2-3.2,2,Nov/2021/1161000.0/SOLD
10-the-grove-dromana-vic-3936,1510000,04-Nov-2021,3,1,2,1530,m2,House,https://www.domain.com.au/10-the-grove-dromana-vic-3936-2017358506,,0.5-4.6,2,Nov/2021/1510000.0/SOLD-Apr/2003/335000.0/SOLD-Oct/2000/200000.0/SOLD
10-bellmare-avenue-dromana-vic-3936,1170000,30-Oct-2021,3,2,2,750,m2,House,https://www.domain.com.au/10-bellmare-avenue-dromana-vic-3936-2017296858,Internal Laundry*-Secure Parking*,1.8-3.3,2,Oct/2021/1170000.0/SOLD
21-manna-street-dromana-vic-3936,1650000,27-Oct-2021,3,3,2,860,m2,House,https://www.domain.com.au/21-manna-street-dromana-vic-3936-2017323948,Air conditioning*-Gas*-Secure Parking*-Balcony / Deck*,1.7-3.4,2,Nov/2021/1650000.0/SOLD-Jun/2020/1200000.0/SOLD
58-callas-street-dromana-vic-3936,900000,19-Oct-2021,3,2,5,603,m2,House,https://www.domain.com.au/58-callas-street-dromana-vic-3936-2017311605,Air conditioning-Alarm System-Built in wardrobes-Balcony / Deck-Floorboards-Ensuite,1.4-3.4,2,Oct/2021/900000.0/SOLD-Nov/2009/295.0/SOLD
16-burns-close-dromana-vic-3936,1107000,19-Oct-2021,3,2,3,977,m2,House,https://www.domain.com.au/16-burns-close-dromana-vic-3936-2017311652,Ensuite,0.8-4.4,2,Oct/2021/1107000.0/SOLD
11-bellevue-road-dromana-vic-3936,1375000,16-Oct-2021,3,2,3,787,m2,House,https://www.domain.com.au/11-bellevue-road-dromana-vic-3936-2017261563,Secure Parking*-Bath*-Heating*-Balcony / Deck*-Study,1.8-3.3,2,Oct/2021/1375000.0/SOLD-Feb/2013/452000.0/SOLD
1142-arthurs-seat-road-dromana-vic-3936,841000,11-Oct-2021,3,2,2,731,m2,House,https://www.domain.com.au/1142-arthurs-seat-road-dromana-vic-3936-2017165891,Built in wardrobes*-Garden*,0.3-4.7,2,Oct/2021/841000.0/SOLD-Jul/1999/95000.0/SOLD-Jan/1991/72500.0/SOLD
