address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
1/20-james-street-dromana-vic-3936,780000,06-Dec-2021,4,2,2,300,m2,House,https://www.domain.com.au/1-20-james-street-dromana-vic-3936-2017419729,"Built in wardrobes*-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Balcony / Deck*""",0.2-4.5,2,
1/9-carrigg-street-dromana-vic-3936,1867500,25-Nov-2021,4,3,2,-1,None,House,https://www.domain.com.au/1-9-carrigg-street-dromana-vic-3936-2017398168,,1.2-4,2,
40-watson-avenue-dromana-vic-3936,1070000,09-Nov-2021,4,2,2,562,m2,House,https://www.domain.com.au/40-watson-avenue-dromana-vic-3936-2017386866,"Internal Laundry*-""Secure Parking*""-""Bath*""",2.1-3.2,2,Nov/2021/1070000.0/SOLD-May/2001/85000.0/SOLD
36-kent-street-dromana-vic-3936,1915000,31-Oct-2021,4,2,2,658,m2,House,https://www.domain.com.au/36-kent-street-dromana-vic-3936-2017224038,"Internal Laundry*-""Secure Parking*""",1.2-3.6,2,Oct/2021/1915000.0/SOLD-Jun/2011/400000.0/SOLD-Jan/2003/255000.0/SOLD
44-scott-street-dromana-vic-3936,2195000,30-Oct-2021,4,3,2,1622,m2,House,https://www.domain.com.au/44-scott-street-dromana-vic-3936-2017312247,"Internal Laundry*-""Fireplace(s)*""-""Shed*""-""Study""",0.9-4.3,2,Oct/2021/2195000.0/SOLD-Jan/2018/750000.0/SOLD
26-williams-street-dromana-vic-3936,1300000,11-Oct-2021,4,2,2,650,m2,House,https://www.domain.com.au/26-williams-street-dromana-vic-3936-2017296146,,1.6-3.7,2,Oct/2021/1300000.0/SOLD
15-bellevue-road-dromana-vic-3936,1111000,09-Oct-2021,4,3,-1,788,m2,House,https://www.domain.com.au/15-bellevue-road-dromana-vic-3936-2017220619,"Heating*-""Study""",1.8-3.3,2,Oct/2021/1111000.0/SOLD-Apr/1988/127500.0/SOLD-Mar/1985/76000.0/SOLD
217-palmerston-avenue-dromana-vic-3936,1800000,07-Oct-2021,4,3,2,-1,None,House,https://www.domain.com.au/217-palmerston-avenue-dromana-vic-3936-2017174949,"Fireplace(s)*-""Study*""",0.4-4.3,2,
35-corey-avenue-dromana-vic-3936,1171000,04-Oct-2021,4,2,2,749,m2,House,https://www.domain.com.au/35-corey-avenue-dromana-vic-3936-2017279828,"Air conditioning*-""Secure Parking*""",2.1-3,2,Oct/2021/1171000.0/SOLD-Jul/2020/810000.0/SOLD-Mar/2019/420000.0/SOLD
21-mcarthur-street-dromana-vic-3936,1281000,04-Aug-2021,4,3,2,457,m2,House,https://www.domain.com.au/21-mcarthur-street-dromana-vic-3936-2017163224,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Dishwasher*""-""Garden*""-""Solar panels*""-""Balcony / Deck*""",0.4-5.1,2,Aug/2021/1281000.0/SOLD-Oct/2016/632500.0/SOLD
5-olympic-parade-dromana-vic-3936,825000,12-Jul-2021,4,2,4,718,m2,House,https://www.domain.com.au/5-olympic-parade-dromana-vic-3936-2017083130,"Heating*-""Garden*""-""Balcony / Deck*""",2-2.8,2,Jul/2021/825000.0/SOLD-Nov/2017/592500.0/SOLD
121-point-nepean-road-dromana-vic-3936,1757500,03-Jul-2021,4,2,2,234,m2,House,https://www.domain.com.au/121-point-nepean-road-dromana-vic-3936-2017035726,"Built in wardrobes*-""Secure Parking*""-""Heating*""-""Garden*""-""Balcony / Deck*""",1.3-4.1,2,Jul/2021/1757500.0/SOLD-Jun/1998/65000.0/SOLD
1-james-street-dromana-vic-3936,920000,25-Jun-2021,4,2,1,-1,None,House,https://www.domain.com.au/1-james-street-dromana-vic-3936-2017106424,"Pets Allowed*-""Secure Parking*""-""Study*""-""Garden*""-""Balcony / Deck*""",0.5-4.3,2,Jun/2021/920000.0/SOLD-Mar/2013/580000.0/SOLD
46-manna-street-dromana-vic-3936,1375500,22-Jun-2021,4,3,5,674,m2,House,https://www.domain.com.au/46-manna-street-dromana-vic-3936-2017070777,"Internal Laundry*-""Garden*""-""Air conditioning""-""Balcony / Deck""-""Dishwasher""-""Floorboards""-""Heating""-""Study""-""Ensuite""",1.6-3.4,2,Jun/2021/1375500.0/SOLD-Dec/2017/750000.0/SOLD-Sep/2000/49000.0/SOLD
