"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
83-bradshaw-street-essendon-vic-3040,1670000,03-Dec-2021,4,3,1,-1,None,House,https://www.domain.com.au/83-bradshaw-street-essendon-vic-3040-2017369575,Built in wardrobes*-3 Toilets-Alarm System-Dishwasher-Ducted Heating-Floorboards-Intercom-Remote Garage Door-Rumpus Room-Study,0.3-1-6.1,3,
1-gordon-street-essendon-vic-3040,1280000,02-Dec-2021,4,2,2,469,m2,House,https://www.domain.com.au/1-gordon-street-essendon-vic-3040-2017369727,Gas*-Internal Laundry*-Heating*-Shed*-Balcony / Deck*-2 Toilets-Built in wardrobes-Dishwasher-Floorboards-Split System Air Conditioning,0.8-2.2-9.4,3,Dec/2021/1280000.0/SOLD-Nov/2011/750000.0/SOLD
27-king-street-essendon-vic-3040,1706000,30-Nov-2021,4,2,1,-1,None,House,https://www.domain.com.au/27-king-street-essendon-vic-3040-2017400456,Air conditioning*-Built in wardrobes*-Internal Laundry*-Secure Parking*-Fireplace(s)*-Heating*-Study*-Balcony / Deck*,0.7-0.8-7.2,3,Nov/2021/1706000.0/SOLD
5-mcphail-street-essendon-vic-3040,1700000,25-Nov-2021,4,3,2,-1,None,House,https://www.domain.com.au/5-mcphail-street-essendon-vic-3040-2017379930,Built in wardrobes*-Internal Laundry*-Secure Parking*-Intercom*-Heating*-Study*,0.9-1.6-7.5,3,Nov/2021/1700000.0/SOLD
20-kendall-street-essendon-vic-3040,1890000,13-Nov-2021,4,3,4,-1,None,House,https://www.domain.com.au/20-kendall-street-essendon-vic-3040-2017334371,Built in wardrobes*-Secure Parking*-Heating*,0.6-2.4-9.2,3,Nov/2021/1890000.0/SOLD-Oct/2010/865000.0/SOLD
244-buckley-street-essendon-vic-3040,1680000,07-Nov-2021,4,2,6,828,m2,House,https://www.domain.com.au/244-buckley-street-essendon-vic-3040-2017281885,nan,1-1.3-7.1,3,Nov/2021/1680000.0/SOLD-Jun/2017/700.0/SOLD
20-jacka-street-essendon-vic-3040,2750000,05-Nov-2021,4,2,4,862,m2,House,https://www.domain.com.au/20-jacka-street-essendon-vic-3040-2017305952,nan,0.4-0.9-6.7,3,Nov/2021/2750000.0/SOLD
26-cooper-street-essendon-vic-3040,2450000,03-Nov-2021,4,3,4,-1,None,House,https://www.domain.com.au/26-cooper-street-essendon-vic-3040-2017342251,Secure Parking*-Fireplace(s)*-Heating*-Balcony / Deck*,0.5-0.6-6.3,3,Nov/2021/2450000.0/SOLD-Aug/2013/776000.0/SOLD-Jan/1984/66000.0/SOLD
57-napier-street-essendon-vic-3040,1490000,30-Oct-2021,4,2,1,-1,None,House,https://www.domain.com.au/57-napier-street-essendon-vic-3040-2017281486,Balcony / Deck,0.3-2-8,3,Oct/2021/1490000.0/SOLD
27-sherbourne-street-essendon-vic-3040,1826000,28-Oct-2021,4,3,1,-1,None,House,https://www.domain.com.au/27-sherbourne-street-essendon-vic-3040-2017313808,nan,0.9-2.2-7.8,3,Nov/2021/1826000.0/SOLD-Nov/2017/1270000.0/SOLD
