address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
25-price-street-essendon-vic-3040,3500000,04-Dec-2021,5,5,4,750,m2,House,https://www.domain.com.au/25-price-street-essendon-vic-3040-2017397147,"Secure Parking*-""Intercom*""-""Fireplace(s)*""-""Heating*""-""Balcony / Deck*""",0.5-0.6-6,3,Dec/2021/3500000.0/SOLD-May/2008/270.0/SOLD
66-deakin-street-essendon-vic-3040,2400000,24-Nov-2021,5,4,2,-1,None,House,https://www.domain.com.au/66-deakin-street-essendon-vic-3040-2017384748,"Internal Laundry*-""Secure Parking*""-""Bath*""-""Study*""",0.5-1.1-5.9,3,Dec/2021/2400000.0/SOLD-Sep/2018/500.0/SOLD
98-bradshaw-street-essendon-vic-3040,2250000,18-Nov-2021,5,2,5,858,m2,House,https://www.domain.com.au/98-bradshaw-street-essendon-vic-3040-2017349779,,0.7-0.8-6.5,3,Nov/2021/2250000.0/SOLD
8a-vanberg-road-essendon-vic-3040,2975000,18-Sep-2021,5,3,4,-1,None,House,https://www.domain.com.au/8a-vanberg-road-essendon-vic-3040-2017261609,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Study*""",0.7-1.9-9,3,Sep/2021/2975000.0/SOLD
59-william-street-essendon-vic-3040,2270000,23-Aug-2021,5,2,3,-1,None,House,https://www.domain.com.au/59-william-street-essendon-vic-3040-2017113392,,0.4-0.5-6.9,3,Aug/2021/2270000.0/SOLD-Oct/1996/290000.0/SOLD-Feb/1994/186500.0/SOLD
26-mackay-street-essendon-vic-3040,2325000,13-Aug-2021,5,3,1,598,m2,House,https://www.domain.com.au/26-mackay-street-essendon-vic-3040-2017109701,"Air conditioning*-""Secure Parking*""-""Swimming Pool*""-""Bath*""-""Fireplace(s)*""-""Heating*""-""Dishwasher*""-""Balcony / Deck*""",0.6-1.5-8,3,Aug/2021/2325000.0/SOLD-May/2001/422000.0/SOLD
109-tennyson-street-essendon-vic-3040,1935000,27-Mar-2021,6,2,1,734,m2,House,https://www.domain.com.au/109-tennyson-street-essendon-vic-3040-2016822356,Garden*,0.8-2.1-9.1,3,Mar/2021/1935000.0/SOLD
89-bradshaw-street-essendon-vic-3040,1765000,20-Mar-2021,5,2,3,621,m2,House,https://www.domain.com.au/89-bradshaw-street-essendon-vic-3040-2016828606,"Air conditioning*-""Secure Parking*""-""Fireplace(s)*""-""Heating*""-""Garden*""-""Balcony / Deck*""",0.3-1-6.1,3,Mar/2021/1765000.0/SOLD-Mar/2007/695000.0/SOLD
22-ardoch-street-essendon-vic-3040,3450000,13-Mar-2021,6,4,6,-1,None,House,https://www.domain.com.au/22-ardoch-street-essendon-vic-3040-2016794265,"Secure Parking*-""Fireplace(s)*""-""Heating*""",0.5-1.4-8.4,3,Mar/2021/3450000.0/SOLD-Oct/2001/822000.0/SOLD
180-napier-street-essendon-vic-3040,1825000,22-Oct-2020,5,3,2,-1,None,House,https://www.domain.com.au/180-napier-street-essendon-vic-3040-2016519885,,0.9-1.1-8.4,3,Oct/2020/1825000.0/SOLD-Jul/1996/165000.0/SOLD
19-elder-parade-essendon-vic-3040,2100000,23-Jul-2020,5,2,2,-1,None,House,https://www.domain.com.au/19-elder-parade-essendon-vic-3040-2016303502,,1.1-1.1-7.1,3,Jul/2020/2100000.0/SOLD-Jul/1987/140000.0/SOLD
9-forbes-street-essendon-vic-3040,3610000,23-Jun-2020,5,3,4,-1,None,House,https://www.domain.com.au/9-forbes-street-essendon-vic-3040-2016282429,,0.3-2.2-8.3,3,Jun/2020/3610000.0/SOLD-Nov/2006/935000.0/SOLD-Oct/1998/415000.0/SOLD
77-mccracken-street-essendon-vic-3040,2985000,20-Jun-2020,5,2,2,-1,None,House,https://www.domain.com.au/77-mccracken-street-essendon-vic-3040-2016222431,,0.5-0.6-7,3,Jun/2020/2985000.0/SOLD-Apr/2010/2225000.0/SOLD
133-&-133a-rose-street-essendon-vic-3040,1505000,21-Mar-2020,5,1,1,571,m2,House,https://www.domain.com.au/133-133a-rose-street-essendon-vic-3040-2016096865,,0.5-1.8-7.8,3,
24-robb-street-essendon-vic-3040,2040000,28-Feb-2020,5,2,10,766,m2,House,https://www.domain.com.au/24-robb-street-essendon-vic-3040-2015783054,"Internal Laundry*-""Secure Parking*""-""Swimming Pool*""-""Fireplace(s)*""-""Heating*""-""Garden*""",1.1-1.6-7.3,3,Feb/2020/1250.0/SOLD-May/1998/2040000.0/SOLD
8-gilbertson-street-essendon-vic-3040,1705000,07-Dec-2019,5,3,5,-1,None,House,https://www.domain.com.au/8-gilbertson-street-essendon-vic-3040-2015874778,,0.5-0.7-6.7,3,Dec/2019/1705000.0/SOLD-May/2008/950000.0/SOLD
146-deakin-street-essendon-vic-3040,1961000,07-Dec-2019,5,3,2,645,m2,House,https://www.domain.com.au/146-deakin-street-essendon-vic-3040-2015858139,,0.9-0.9-6.4,3,Dec/2019/1961000.0/SOLD-Aug/2010/792000.0/SOLD
41-clarinda-road-essendon-vic-3040,1900000,09-Nov-2019,5,2,2,-1,None,House,https://www.domain.com.au/41-clarinda-road-essendon-vic-3040-2015733164,,1-1.7-7.2,3,Nov/2019/1900000.0/SOLD-Nov/2011/1350000.0/SOLD-Dec/1998/370000.0/SOLD
9-glen-street-essendon-vic-3040,1650000,12-Oct-2019,5,2,2,-1,None,House,https://www.domain.com.au/9-glen-street-essendon-vic-3040-2015625347,,0.7-1.7-7.9,3,Oct/2019/1650000.0/SOLD-Sep/1989/250000.0/SOLD-Jul/1986/95000.0/SOLD
