"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
61-liverpool-street-footscray-vic-3011,962500,06-Dec-2021,3,1,-1,183,m2,House,https://www.domain.com.au/61-liverpool-street-footscray-vic-3011-2017253235,nan,0.7-1.2-1.2,3,Dec/2021/962500.0/SOLD-May/1995/73000.0/SOLD-Jun/1982/20000.0/SOLD
17-stirling-street-footscray-vic-3011,1227000,26-Nov-2021,3,1,-1,315,m2,House,https://www.domain.com.au/17-stirling-street-footscray-vic-3011-2017399582,nan,0.9-1.1-1.1,3,Nov/2021/1227000.0/SOLD-Sep/2012/580000.0/SOLD-Mar/1999/169500.0/SOLD
20-white-street-footscray-vic-3011,1200000,25-Nov-2021,3,2,-1,140,m2,House,https://www.domain.com.au/20-white-street-footscray-vic-3011-2017397699,Attic-Ensuite,0.4-0.4-0.4,3,Nov/2021/1200000.0/SOLD-Dec/2017/1004999.9999999999/SOLD-May/1995/64000.0/SOLD
53-newell-street-footscray-vic-3011,1300000,20-Nov-2021,3,1,3,-1,None,House,https://www.domain.com.au/53-newell-street-footscray-vic-3011-2017305609,nan,0.7-0.9-1,3,Nov/2021/1300000.0/SOLD-Mar/1985/470.0/SOLD
37-cowper-street-footscray-vic-3011,1270000,20-Nov-2021,3,1,1,-1,None,House,https://www.domain.com.au/37-cowper-street-footscray-vic-3011-2017355536,nan,0.7-1.5-1.5,3,Nov/2021/1270000.0/SOLD-Sep/2011/350000.0/SOLD
71-southampton-street-footscray-vic-3011,970000,20-Nov-2021,3,1,1,266,m2,House,https://www.domain.com.au/71-southampton-street-footscray-vic-3011-2017359641,nan,0.6-0.8-1,3,Nov/2021/970000.0/SOLD
30-coral-avenue-footscray-vic-3011,1216000,20-Nov-2021,3,1,1,-1,None,House,https://www.domain.com.au/30-coral-avenue-footscray-vic-3011-2017350898,nan,0.3-0.9-1.3,3,Nov/2021/1216000.0/SOLD-Jan/2021/1095000.0/SOLD-Jul/2007/558000.0/SOLD
93-creswick-street-footscray-vic-3011,950000,16-Nov-2021,3,2,-1,-1,None,House,https://www.domain.com.au/93-creswick-street-footscray-vic-3011-2017285575,nan,0.2-0.4-0.7,3,Nov/2021/950000.0/SOLD-Oct/2019/799000.0/SOLD
7-beevers-street-footscray-vic-3011,1150000,11-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/7-beevers-street-footscray-vic-3011-2017302879,nan,1.3-1.4-1.4,3,Nov/2021/1150000.0/SOLD-Sep/1995/30000.0/SOLD
26-dudley-street-footscray-vic-3011,1035000,06-Nov-2021,3,1,-1,-1,None,House,https://www.domain.com.au/26-dudley-street-footscray-vic-3011-2017325609,nan,0.7-1.1-1.1,3,Nov/2021/1034999.9999999999/SOLD-Aug/2017/855000.0/SOLD-Aug/2007/555000.0/SOLD
5-queen-street-footscray-vic-3011,1542000,28-Oct-2021,3,2,2,-1,None,House,https://www.domain.com.au/5-queen-street-footscray-vic-3011-2017286502,nan,0.2-0.3-1.1,3,Oct/2021/1542000.0/SOLD-Mar/2015/705000.0/SOLD-Jun/1991/94000.0/SOLD
8-liverpool-street-footscray-vic-3011,1010000,24-Oct-2021,3,2,2,-1,None,House,https://www.domain.com.au/8-liverpool-street-footscray-vic-3011-2017266253,nan,0.7-1.1-1.1,3,Oct/2021/1010000.0/SOLD
22-titch-street-footscray-vic-3011,705000,22-Oct-2021,3,2,1,-1,None,House,https://www.domain.com.au/22-titch-street-footscray-vic-3011-2017287402,Gas*-Secure Parking*,0.2-0.2-0.8,3,Oct/2021/705000.0/SOLD-May/2001/370.0/SOLD
8-maddock-street-footscray-vic-3011,1075000,21-Oct-2021,3,1,-1,-1,None,House,https://www.domain.com.au/8-maddock-street-footscray-vic-3011-2017280865,nan,0.4-0.6-1.1,3,Oct/2021/1075000.0/SOLD-Nov/2006/342500.0/SOLD
33a-leander-street-footscray-vic-3011,1235000,16-Oct-2021,3,1,2,-1,None,House,https://www.domain.com.au/33a-leander-street-footscray-vic-3011-2017275844,nan,0.8-1-1,3,Apr/2013/450.0/SOLD
4-govan-street-footscray-vic-3011,1340000,08-Oct-2021,3,2,2,378,m2,House,https://www.domain.com.au/4-govan-street-footscray-vic-3011-2017285026,Built in wardrobes*-Bath*-Fireplace(s)*-Heating*-Balcony / Deck*,0.4-0.9-0.9,3,Oct/2021/1340000.0/SOLD-May/2013/480000.0/SOLD
74-lynch-street-footscray-vic-3011,1310000,01-Oct-2021,3,1,3,355,m2,House,https://www.domain.com.au/74-lynch-street-footscray-vic-3011-2017262832,nan,0.6-0.8-0.8,3,Oct/2021/1310000.0/SOLD
30-swan-street-footscray-vic-3011,1200000,30-Sep-2021,3,1,1,255,m2,House,https://www.domain.com.au/30-swan-street-footscray-vic-3011-2017240598,nan,0.6-0.8-0.8,3,Sep/2021/630.0/SOLD
32-dudley-street-footscray-vic-3011,1088000,29-Sep-2021,3,1,-1,-1,None,House,https://www.domain.com.au/32-dudley-street-footscray-vic-3011-2017166638,nan,0.7-1.1-1.1,3,Sep/2021/1088000.0/SOLD-Dec/1999/178000.0/SOLD-Sep/1998/156250.0/SOLD
33-victoria-street-footscray-vic-3011,2000000,28-Aug-2021,3,1,3,-1,None,House,https://www.domain.com.au/33-victoria-street-footscray-vic-3011-2017176611,nan,0.3-0.3-1.1,3,Aug/2021/2000000.0/SOLD
1/17-southampton-street-footscray-vic-3011,990000,26-Aug-2021,3,1,1,-1,None,House,https://www.domain.com.au/1-17-southampton-street-footscray-vic-3011-2017166154,nan,0.6-0.8-0.8,3,
35-whitehall-st-footscray-vic-3011,925000,23-Jul-2021,3,1,-1,-1,None,House,https://www.domain.com.au/35-whitehall-st-footscray-vic-3011-2016791938,Gas*-Garden*,0.6-1.7-1.7,3,Jul/2021/925000.0/SOLD
22-adelaide-street-footscray-vic-3011,1120000,18-Jul-2021,3,1,-1,-1,None,House,https://www.domain.com.au/22-adelaide-street-footscray-vic-3011-2017089118,nan,0.6-0.7-0.7,3,Jul/2021/1120000.0/SOLD-Feb/2003/440.0/SOLD
