address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
27-ballarat-road-footscray-vic-3011,1830000,20-Nov-2020,5,3,3,674,m2,House,https://www.domain.com.au/27-ballarat-road-footscray-vic-3011-2016209934,,1.1-1.2-1.2,3,Nov/2020/1830000.0/SOLD-Jan/1994/335000.0/SOLD-Oct/1986/90000.0/SOLD
110-beevers-street-footscray-vic-3011,1420000,02-Nov-2020,12,3,3,-1,None,House,https://www.domain.com.au/110-beevers-street-footscray-vic-3011-2016404736,,1-1.2-1.2,3,
44-lynch-st-footscray-vic-3011,1100000,20-Mar-2020,5,2,2,367,m2,House,https://www.domain.com.au/44-lynch-st-footscray-vic-3011-2016136411,,0.7-0.9-0.9,3,Mar/2020/1100000.0/SOLD-Mar/2010/420.0/SOLD
81-droop-street-footscray-vic-3011,1000000,05-Jun-2019,5,2,2,416,m2,House,https://www.domain.com.au/81-droop-street-footscray-vic-3011-2014564018,,0.4-0.4-0.5,3,May/2019/1000000.0/SOLD-Jan/2015/750000.0/SOLD
24-gallant-street-footscray-vic-3011,1675000,15-Dec-2018,5,3,3,-1,None,House,https://www.domain.com.au/24-gallant-street-footscray-vic-3011-2014800330,"Close to schools-""Close to shops""-""Close to transport""",0.5-0.6-0.8,3,Dec/2018/1675000.0/SOLD
1-rippon-street-footscray-vic-3011,1350000,21-Mar-2018,5,2,2,-1,None,House,https://www.domain.com.au/1-rippon-street-footscray-vic-3011-2014209055,,0.3-0.3-0.9,3,Mar/2018/1350000.0/SOLD-Jan/2013/1075000.0/SOLD
17-ballarat-road-footscray-vic-3011,1450000,07-Feb-2018,6,4,4,-1,None,House,https://www.domain.com.au/17-ballarat-road-footscray-vic-3011-2014092985,,1.2-1.3-1.3,3,Feb/2018/1450000.0/SOLD-Feb/1992/95000.0/SOLD-May/1991/289000.0/SOLD
56-whitehall-street-footscray-vic-3011,1900000,22-Dec-2017,9,2,2,-1,None,House,https://www.domain.com.au/56-whitehall-street-footscray-vic-3011-2013897631,,0.5-1.7-1.7,3,Dec/2017/1900000.0/SOLD-Mar/2012/69999.0/SOLD
16-nicholson-street-footscray-vic-3011,1527000,16-Dec-2017,6,2,2,-1,None,House,https://www.domain.com.au/16-nicholson-street-footscray-vic-3011-2014029743,,0.6-0.7-0.7,3,Apr/2018/1527000.0/SOLD-Jul/1997/145000.0/SOLD
29-smith-crescent-footscray-vic-3011,1100000,20-Jul-2016,5,2,2,-1,None,House,https://www.domain.com.au/29-smith-crescent-footscray-vic-3011-2012902137,,0.4-0.4-0.8,3,
104-hopkins-street-footscray-vic-3011,1410000,01-Jul-2016,9,1,-1,-1,None,House,https://www.domain.com.au/104-hopkins-street-footscray-vic-3011-2012800861,,0.7-1.2-4.7,3,
35-buckingham-footscray-vic-3011,932000,14-May-2016,5,3,1,-1,None,House,https://www.domain.com.au/35-buckingham-footscray-vic-3011-2012744269,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Formal Lounge""-""Garden""-""Floorboards""-""Secure Parking""-""Separate Dining""",0.4-0.5-1.2,3,
67-newell-street-footscray-vic-3011,685000,16-Apr-2016,5,2,-1,-1,None,House,https://www.domain.com.au/67-newell-street-footscray-vic-3011-2012668714,"Close to schools-""Close to shops""-""Close to transport""-""Study""",0.6-0.7-0.9,3,
