address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
33-barina-road-glen-iris-vic-3146,2650000,04-Dec-2021,3,2,2,700,m2,House,https://www.domain.com.au/33-barina-road-glen-iris-vic-3146-2017388583,,0.2-2.9-10.2,3,Dec/2021/2650000.0/SOLD-Nov/2016/2130000.0/SOLD
4a-norwood-street-glen-iris-vic-3146,1510000,04-Nov-2021,3,1,1,-1,None,House,https://www.domain.com.au/4a-norwood-street-glen-iris-vic-3146-2017353792,"Internal Laundry*-""Shed*""",0.5-2.3-9.1,3,Nov/2021/1510000.0/SOLD
389-burke-road-glen-iris-vic-3146,2113000,14-Oct-2021,3,1,4,639,m2,House,https://www.domain.com.au/389-burke-road-glen-iris-vic-3146-2017281265,,0.9-1.3-9.7,3,Oct/2021/2113000.0/SOLD-Sep/1989/241000.0/SOLD-Nov/1987/195000.0/SOLD
44-rosedale-road-glen-iris-vic-3146,2900000,09-Oct-2021,3,1,2,791,m2,House,https://www.domain.com.au/44-rosedale-road-glen-iris-vic-3146-2017234118,,0.5-2.9-10,3,Oct/2021/2900000.0/SOLD
28-dent-street-glen-iris-vic-3146,2200000,07-Oct-2021,3,2,1,613,m2,House,https://www.domain.com.au/28-dent-street-glen-iris-vic-3146-2017190749,,0.8-2.8-10.8,3,Oct/2021/2200000.0/SOLD
14a-peate-avenue-glen-iris-vic-3146,2210000,07-Oct-2021,3,2,3,505,m2,House,https://www.domain.com.au/14a-peate-avenue-glen-iris-vic-3146-2017248267,,0.1-1.9-9.3,3,Oct/2021/2210000.0/SOLD-May/2005/495000.0/SOLD-Oct/1994/158000.0/SOLD
3a-viva-street-glen-iris-vic-3146,1465000,01-Oct-2021,3,2,1,-1,None,House,https://www.domain.com.au/3a-viva-street-glen-iris-vic-3146-2017155214,,0.8-2.3-7.5,3,Oct/2021/1465000.0/SOLD-Dec/2012/766000.0/SOLD-Apr/1994/222500.0/SOLD
2-bell-street-glen-iris-vic-3146,2030000,27-Sep-2021,3,2,2,-1,None,House,https://www.domain.com.au/2-bell-street-glen-iris-vic-3146-2017317550,,0.8-2.6-9.6,3,Sep/2021/2029999.9999999998/SOLD-Aug/2016/1310000.0/SOLD-Mar/2005/600000.0/SOLD
28-hope-street-glen-iris-vic-3146,1900000,28-Aug-2021,3,1,3,449,m2,House,https://www.domain.com.au/28-hope-street-glen-iris-vic-3146-2017206713,Study,1.2-2.6-7.1,3,Aug/2021/1900000.0/SOLD-Mar/1986/73100.0/SOLD
10-florence-street-glen-iris-vic-3146,1905000,27-May-2021,3,2,2,667,m2,House,https://www.domain.com.au/10-florence-street-glen-iris-vic-3146-2016974762,,0.1-2.8-10.3,3,May/2021/1905000.0/SOLD-Sep/2018/1755000.0/SOLD-May/2006/660000.0/SOLD
98b-summerhill-road-glen-iris-vic-3146,1850000,22-May-2021,3,2,3,502,m2,House,https://www.domain.com.au/98b-summerhill-road-glen-iris-vic-3146-2016961951,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Garden*""",0.9-2.6-9.8,3,
1/6-hope-street-glen-iris-vic-3146,1850000,04-May-2021,3,2,2,-1,None,House,https://www.domain.com.au/1-6-hope-street-glen-iris-vic-3146-2016410508,,1.2-2.6-7.2,3,
10-yeovil-road-glen-iris-vic-3146,1985000,01-May-2021,3,1,1,660,m2,House,https://www.domain.com.au/10-yeovil-road-glen-iris-vic-3146-2016920510,"Heating-""Open Fire Place""",0.3-2.2-8.9,3,May/2021/1985000.0/SOLD
30-iris-road-glen-iris-vic-3146,2120000,01-May-2021,3,2,2,418,m2,House,https://www.domain.com.au/30-iris-road-glen-iris-vic-3146-2016908826,"Air conditioning-""Heating""-""Built in wardrobes""-""Alarm System""-""Intercom""-""Vacuum System""-""Ensuite""",0.5-1.5-9.4,3,May/2021/2120000.0/SOLD-Nov/2004/750000.0/SOLD
31-florizel-street-glen-iris-vic-3146,2637500,05-Apr-2021,3,2,2,780,m2,House,https://www.domain.com.au/31-florizel-street-glen-iris-vic-3146-2016925812,,0.8-2.3-9.5,3,Apr/2021/2637500.0/SOLD-Jul/2012/1500000.0/SOLD-Oct/1995/230000.0/SOLD
23-charles-street-glen-iris-vic-3146,1910000,27-Mar-2021,3,1,2,677,m2,House,https://www.domain.com.au/23-charles-street-glen-iris-vic-3146-2016831930,,0.8-1.7-8.9,3,Mar/2021/1910000.0/SOLD
4-howie-street-glen-iris-vic-3146,2060000,20-Mar-2021,3,1,2,655,m2,House,https://www.domain.com.au/4-howie-street-glen-iris-vic-3146-2016839744,,1-2.4-9.3,3,Mar/2021/500.0/SOLD
74-gardiner-parade-glen-iris-vic-3146,1615000,01-Mar-2021,3,2,2,-1,None,House,https://www.domain.com.au/74-gardiner-parade-glen-iris-vic-3146-2016845634,,0.6-2.4-10.2,3,Mar/2021/1615000.0/SOLD-Jan/2018/1485000.0/SOLD-Feb/2004/313000.0/SOLD
36-martin-road-glen-iris-vic-3146,1657000,27-Feb-2021,3,1,-1,424,m2,House,https://www.domain.com.au/36-martin-road-glen-iris-vic-3146-2016779997,,0.3-1.6-9.4,3,Feb/2021/1657000.0/SOLD
