"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
52-valley-parade-glen-iris-vic-3146,3200000,13-Nov-2021,5,2,2,1050,m2,House,https://www.domain.com.au/52-valley-parade-glen-iris-vic-3146-2017333843,Air conditioning-Heating-Alarm System-Open Fire Place-Study,0.4-2.1-9.5,3,Nov/2021/3200000.0/SOLD-Oct/1991/221000.0/SOLD
24-kardinia-road-glen-iris-vic-3146,3098000,13-Oct-2021,5,2,2,676,m2,House,https://www.domain.com.au/24-kardinia-road-glen-iris-vic-3146-2017262362,Heating-Built in wardrobes-Open Fire Place-Vacuum System,0.3-3.1-10.2,3,Jun/2018/2246000.0/SOLD
24-king-street-glen-iris-vic-3146,2200000,07-Oct-2021,5,3,2,612,m2,House,https://www.domain.com.au/24-king-street-glen-iris-vic-3146-2017269210,Air conditioning*-Gas*-Internal Laundry*-Fireplace(s)*-Heating*-Dishwasher*,1.1-1.9-8,3,Oct/2021/2200000.0/SOLD-Jun/2010/1260000.0/SOLD-Aug/2007/1150000.0/SOLD
97-high-street-glen-iris-vic-3146,1950000,17-Apr-2021,7,4,5,-1,None,House,https://www.domain.com.au/97-high-street-glen-iris-vic-3146-2016884353,,0.4-3-10.4,3,Apr/2021/1950000.0/SOLD-Apr/1997/245000.0/SOLD
24-goodwin-street-glen-iris-vic-3146,2900000,16-Mar-2021,5,3,2,631,m2,House,https://www.domain.com.au/24-goodwin-street-glen-iris-vic-3146-2016841129,,1-2.3-9.2,3,Mar/2021/2900000.0/SOLD-Nov/2015/2155000.0/SOLD
53-valley-parade-glen-iris-vic-3146,2500000,24-Oct-2020,5,3,3,-1,None,House,https://www.domain.com.au/53-valley-parade-glen-iris-vic-3146-2016517832,,0.4-2.1-9.5,3,Oct/2020/2500000.0/SOLD-Sep/2014/1900000.0/SOLD
4-sherwood-street-glen-iris-vic-3146,2100000,22-Feb-2020,5,2,2,738,m2,House,https://www.domain.com.au/4-sherwood-street-glen-iris-vic-3146-2016038194,,0.6-2.8-10.6,3,Feb/2020/900.0/SOLD-Mar/2005/2100000.0/SOLD
20-malvern-avenue-glen-iris-vic-3146,3350000,10-Feb-2020,5,3,2,-1,None,House,https://www.domain.com.au/20-malvern-avenue-glen-iris-vic-3146-2016451093,,0.5-2.3-9.4,3,Feb/2020/3350000.0/SOLD-Nov/2008/550.0/SOLD
49-ranfurlie-crescent-glen-iris-vic-3146,3100000,08-Dec-2019,5,3,3,1053,m2,House,https://www.domain.com.au/49-ranfurlie-crescent-glen-iris-vic-3146-2015831802,Secure Parking-Intercom-Inground Pool-Balcony-Deck-Fully fenced-Broadband-Built in wardrobes-Dishwasher-Ducted Heating-Floorboards-Gas Heating-Reverse Cycle AirCon-Rumpus Room-Water tank-Greywater system,0.8-2.6-7.2,3,Dec/2019/3100000.0/SOLD-Jun/2014/1820000.0/SOLD
3-malvern-avenue-glen-iris-vic-3146,3020000,23-Nov-2019,5,3,2,-1,None,House,https://www.domain.com.au/3-malvern-avenue-glen-iris-vic-3146-2015830094,,0.3-2.1-9.4,3,Nov/2019/3020000.0/SOLD-Oct/1997/346000.0/SOLD-Jan/1987/121000.0/SOLD
