address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
511-greensborough-road-greensborough-vic-3088,635000,27-Nov-2021,2,1,2,606,m2,House,https://www.domain.com.au/511-greensborough-road-greensborough-vic-3088-2017454799,,0.4-0.4-0.3,3,Apr/1987/92500.0/SOLD
2/148-nell-street-greensborough-vic-3088,885500,26-Nov-2021,2,1,3,480,m2,House,https://www.domain.com.au/2-148-nell-street-greensborough-vic-3088-2017400372,,0.4-0.6-0.6,3,
house-1/188-henry-street-greensborough-vic-3088,667500,17-Oct-2021,2,1,1,245,m2,House,https://www.domain.com.au/house-1-188-henry-street-greensborough-vic-3088-2017330824,,0.4-0.9-0.8,3,
2-paterson-crescent-greensborough-vic-3088,800000,02-Oct-2021,2,1,1,570,m2,House,https://www.domain.com.au/2-paterson-crescent-greensborough-vic-3088-2017164441,"Internal Laundry*-""Heating*""-""Balcony / Deck*""",0.6-0.6-1.6,3,Oct/2021/800000.0/SOLD-Jul/2014/398500.0/SOLD
15-vermont-parade-greensborough-vic-3088,736000,15-Aug-2021,2,1,1,306,m2,House,https://www.domain.com.au/15-vermont-parade-greensborough-vic-3088-2017134774,"Air conditioning*-""Internal Laundry*""-""Heating*""-""Shed*""-""Garden*""-""Solar panels*""-""Balcony / Deck*""",0.4-0.8-0.7,3,Aug/2021/736000.0/SOLD-Aug/2018/567000.0/SOLD
15-victoria-street-greensborough-vic-3088,850000,12-Aug-2021,2,1,1,540,m2,House,https://www.domain.com.au/15-victoria-street-greensborough-vic-3088-2017108975,,0.5-0.7-1.8,3,Aug/2021/850000.0/SOLD-Oct/2018/420.0/SOLD
39-santon-street-greensborough-vic-3088,737000,10-Jul-2021,2,1,1,171,m2,House,https://www.domain.com.au/39-santon-street-greensborough-vic-3088-2017074996,,0.4-0.6-0.3,3,Jul/2021/737000.0/SOLD-Mar/2011/390000.0/SOLD-Jul/2010/426500.0/SOLD
2/54-delta-road-greensborough-vic-3088,726000,22-May-2021,2,1,1,343,m2,House,https://www.domain.com.au/2-54-delta-road-greensborough-vic-3088-2016971015,"Internal Laundry*-""Heating*""-""Air conditioning""-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Garden""-""Secure Parking""-""Formal Lounge""",0.6-0.7-1.2,3,
2/11-broad-street-greensborough-vic-3088,686500,19-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/2-11-broad-street-greensborough-vic-3088-2016965107,"Gas*-""Garden*""-""Water Tank""-""Remote Garage""-""Secure Parking""-""Fully fenced""-""Split System Heating""-""Floorboards""-""Split System AirCon""-""Broadband""-""Built in wardrobes""-""Dishwasher""",0.3-1-0.9,3,
59-greenhill-road-greensborough-vic-3088,939000,27-Apr-2021,2,2,2,578,m2,House,https://www.domain.com.au/59-greenhill-road-greensborough-vic-3088-2016938240,"Secure Parking*-""Garden*""",0.3-2.1-1.5,3,Apr/2021/939000.0/SOLD-Jan/2000/116000.0/SOLD
19-paterson-cres-greensborough-vic-3088,687850,15-Jan-2021,2,1,2,358,m2,House,https://www.domain.com.au/19-paterson-cres-greensborough-vic-3088-2016693479,"Gas*-""Balcony""-""Courtyard""-""Outdoor Entertaining""-""Shed""-""Fully fenced""-""Split System Heating""-""Floorboards""-""Split System AirCon""-""Built in wardrobes""-""Ducted Heating""-""Study""",0.6-0.6-1.6,3,
2-natimuk-street-greensborough-vic-3088,725000,19-Dec-2020,2,1,1,480,m2,House,https://www.domain.com.au/2-natimuk-street-greensborough-vic-3088-2016676446,"Built in wardrobes*-""Secure Parking*""-""Bath*""-""Garden*""-""Balcony / Deck*""",0.6-1-1.1,3,Dec/2020/725000.0/SOLD
1/191-elder-street-greensborough-vic-3088,551000,09-Oct-2020,2,1,1,300,m2,House,https://www.domain.com.au/1-191-elder-street-greensborough-vic-3088-2016303301,,0.2-1.1-1.7,3,
3-ruby-lane-greensborough-vic-3088,530000,25-Jul-2020,2,1,1,-1,None,House,https://www.domain.com.au/3-ruby-lane-greensborough-vic-3088-2015901291,"Deck-""Balcony""-""Courtyard""-""Split System AirCon""",0.5-2.2-0.5,3,Jul/2020/530000.0/SOLD-Aug/2003/120000.0/SOLD
3-santon-street-greensborough-vic-3088,640000,29-Feb-2020,2,1,2,-1,None,House,https://www.domain.com.au/3-santon-street-greensborough-vic-3088-2016055824,,0.4-0.4-0.3,3,Feb/2020/640000.0/SOLD
9/14-carnon-street-greensborough-vic-3088,641255,28-Jan-2020,2,2,1,134,m2,House,https://www.domain.com.au/9-14-carnon-street-greensborough-vic-3088-2016001385,,0.4-2.1-1.5,3,
1/54-delta-road-greensborough-vic-3088,700000,09-Nov-2019,2,1,1,437,m2,House,https://www.domain.com.au/1-54-delta-road-greensborough-vic-3088-2015771313,"Dishwasher-""Deck""-""Ducted Heating""",0.6-0.7-1.3,3,
