"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
10-lantana-close-greensborough-vic-3088,1270000,04-Dec-2021,4,2,4,802,m2,House,https://www.domain.com.au/10-lantana-close-greensborough-vic-3088-2017404555,Balcony-Built in wardrobes-Deck-Dishwasher-Ducted Heating-Fully fenced-Outdoor Ent.-Outside Spa-Pergola-Remote Garage-Rumpus Room-Secure Parking-Split System AirCon-Walk in robes-Workshop,0.5-1.9-1.2,3,
6-girralong-court-greensborough-vic-3088,1306000,02-Dec-2021,4,2,1,724,m2,House,https://www.domain.com.au/6-girralong-court-greensborough-vic-3088-2017425961,nan,0.7-2.3-1.6,3,Dec/2021/1306000.0/SOLD-Sep/2017/850000.0/SOLD-Nov/2011/520000.0/SOLD
4-narbethong-drive-greensborough-vic-3088,1225000,27-Nov-2021,4,2,2,715,m2,House,https://www.domain.com.au/4-narbethong-drive-greensborough-vic-3088-2017385127,nan,0.6-0.8-1.4,3,Nov/2021/1225000.0/SOLD-Jan/2016/520.0/SOLD
7-shaylor-court-greensborough-vic-3088,955000,26-Nov-2021,4,2,1,674,m2,House,https://www.domain.com.au/7-shaylor-court-greensborough-vic-3088-2017394295,nan,0.6-0.6-0.9,3,Nov/2021/955000.0/SOLD-Feb/2007/365000.0/SOLD-Sep/1999/182000.0/SOLD
12-loorea-court-greensborough-vic-3088,1192500,20-Nov-2021,4,3,2,703,m2,House,https://www.domain.com.au/12-loorea-court-greensborough-vic-3088-2017362241,Built in BBQ-Built in wardrobes-Courtyard-Dishwasher-Ensuite-Floorboards-Fully fenced-Outdoor Ent.-Remote Garage-Rumpus Room-Secure Parking-Shed-Split System AirCon-Walk in robes-Water tank,0.5-2.9-1.1,3,Nov/2021/1192500.0/SOLD-Dec/2013/631680.0/SOLD-Jun/2005/383000.0/SOLD
15-banfield-terrace-greensborough-vic-3088,1180000,18-Nov-2021,4,2,2,525,m2,House,https://www.domain.com.au/15-banfield-terrace-greensborough-vic-3088-2017345503,Built in wardrobes-Ducted Cooling-Ducted Heating-Ensuite-Rumpus Room-Shed,1.2-1.7-1,3,Nov/2021/1180000.0/SOLD-May/2017/805000.0/SOLD-Aug/2007/526000.0/SOLD
35-banfield-terrace-greensborough-vic-3088,1134000,14-Nov-2021,4,2,2,712,m2,House,https://www.domain.com.au/35-banfield-terrace-greensborough-vic-3088-2017360043,nan,1.1-1.7-1,3,Nov/2021/1134000.0/SOLD-Sep/2007/260149.99999999997/SOLD-Sep/2005/187500.0/SOLD
14-auriol-court-greensborough-vic-3088,890000,13-Nov-2021,4,1,-1,670,m2,House,https://www.domain.com.au/14-auriol-court-greensborough-vic-3088-2017332329,Built in wardrobes-Dishwasher-Ducted Heating-Floorboards-Split System AirCon-Workshop,1.1-1.8-1.1,3,Nov/2021/890000.0/SOLD-Mar/2005/380000.0/SOLD
195-mountain-view-road-greensborough-vic-3088,1310000,09-Nov-2021,4,2,2,873,m2,House,https://www.domain.com.au/195-mountain-view-road-greensborough-vic-3088-2017336466,Heating*-Balcony / Deck*,0.6-1.3-1.8,3,Nov/2021/1310000.0/SOLD-Jan/1977/40000.0/SOLD
5-gambia-court-greensborough-vic-3088,1120000,09-Nov-2021,4,2,2,635,m2,House,https://www.domain.com.au/5-gambia-court-greensborough-vic-3088-2016819599,Deck-Ducted Heating-Ensuite-Evaporative Cooling-Inground Pool-Open Fireplace-Outdoor Ent.-Study,0.1-2.7-1,3,Nov/2021/1120000.0/SOLD
212-st-helena-road-greensborough-vic-3088,1105000,08-Nov-2021,4,2,2,782,m2,House,https://www.domain.com.au/212-st-helena-road-greensborough-vic-3088-2017333288,nan,0.7-1.9-1,3,Nov/2021/1105000.0/SOLD-Jun/1993/176000.0/SOLD
61-hume-street-greensborough-vic-3088,1295000,06-Nov-2021,4,2,3,728,m2,House,https://www.domain.com.au/61-hume-street-greensborough-vic-3088-2017315129,Pets Allowed*-Secure Parking*-Fireplace(s)*-Heating*-Dishwasher*,0.7-1.3-1.7,3,Nov/2021/1295000.0/SOLD-May/2020/1040000.0/SOLD
18-eastgate-drive-greensborough-vic-3088,1100000,04-Nov-2021,4,2,2,578,m2,House,https://www.domain.com.au/18-eastgate-drive-greensborough-vic-3088-2017317506,Built in wardrobes-Dishwasher-Ducted Cooling-Ducted Heating-Ensuite-Evaporative Cooling-Floorboards-Fully fenced-Outdoor Ent.-Shed-Solar panels-Walk in robes,2-2.1-1.5,3,Nov/2021/1100000.0/SOLD-Jul/2012/500000.0/SOLD-Dec/2002/266000.0/SOLD
20-mine-street-greensborough-vic-3088,1000000,04-Nov-2021,4,2,3,1016,m2,House,https://www.domain.com.au/20-mine-street-greensborough-vic-3088-2017322062,nan,0-2-1.2,3,Nov/2021/1000000.0/SOLD-Jan/2001/263000.0/SOLD
26-tallow-wood-drive-greensborough-vic-3088,1275000,30-Oct-2021,4,2,2,901,m2,House,https://www.domain.com.au/26-tallow-wood-drive-greensborough-vic-3088-2017300146,nan,0.9-1.8-0.8,3,Oct/2021/1275000.0/SOLD-Mar/2012/660000.0/SOLD-May/2004/320000.0/SOLD
6-kariboo-grove-greensborough-vic-3088,1320000,28-Oct-2021,4,2,3,587,m2,House,https://www.domain.com.au/6-kariboo-grove-greensborough-vic-3088-2017321914,Bath*-Heating*-Study,1-2.2-1.5,3,Nov/2021/1320000.0/SOLD-Nov/1995/165000.0/SOLD-Jun/1979/65000.0/SOLD
