address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
148-brown-street-heidelberg-vic-3084,1430000,13-Nov-2021,2,1,1,680,m2,House,https://www.domain.com.au/148-brown-street-heidelberg-vic-3084-2017327947,,0.7-2.5-0.6,3,Nov/2021/1430000.0/SOLD
202-hawdon-street-heidelberg-vic-3084,1010000,17-Jul-2021,2,2,1,271,m2,House,https://www.domain.com.au/202-hawdon-street-heidelberg-vic-3084-2017113371,"Air conditioning-""Study""-""Gas Heating""-""Secure Parking""",0.8-2-1.1,3,Jul/2021/1010000.0/SOLD-Dec/2012/450.0/SOLD
1-bronte-street-heidelberg-vic-3084,1001000,27-Mar-2021,2,1,1,443,m2,House,https://www.domain.com.au/1-bronte-street-heidelberg-vic-3084-2016838047,,0.6-2.1-0.9,3,Mar/2021/1000999.9999999999/SOLD-Jul/2013/485.0/SOLD
lot-1/180-hawdon-street-heidelberg-vic-3084,850000,06-Jan-2021,2,2,1,-1,None,New house and land,https://www.domain.com.au/lot-1-180-hawdon-street-heidelberg-vic-3084-2016720511,,0.6-2.1-0.9,3,
97-buckingham-drive-heidelberg-vic-3084,920000,06-Jul-2019,2,2,2,653,m2,House,https://www.domain.com.au/97-buckingham-drive-heidelberg-vic-3084-2015335237,,0.5-0.7-1.4,3,Jun/2019/920000.0/SOLD
23-anderson-street-heidelberg-vic-3084,1100000,10-Apr-2019,2,1,-1,934,m2,House,https://www.domain.com.au/23-anderson-street-heidelberg-vic-3084-2015020414,,0.6-1.3-1.2,3,Apr/2019/1100000.0/SOLD
1/55-57-brown-street-heidelberg-vic-3084,745000,16-Mar-2019,2,2,1,-1,None,House,https://www.domain.com.au/1-55-57-brown-street-heidelberg-vic-3084-2013870514,Study,0.3-2-0.6,3,
15-weyburn-court-heidelberg-vic-3084,1030000,24-Mar-2018,2,1,-1,725,m2,House,https://www.domain.com.au/15-weyburn-court-heidelberg-vic-3084-2014215403,,0.2-2.2-0.5,3,Mar/2018/1030000.0/SOLD-Aug/2003/487500.0/SOLD-Feb/1990/250000.0/SOLD
4/9-clyde-court-heidelberg-vic-3084,710000,28-Feb-2018,2,1,1,-1,None,Villa,https://www.domain.com.au/4-9-clyde-court-heidelberg-vic-3084-2014153382,,0.7-1.7-1.1,3,
1/110-brown-street-heidelberg-vic-3084,805000,24-Feb-2018,2,1,1,-1,None,Villa,https://www.domain.com.au/1-110-brown-street-heidelberg-vic-3084-2014136075,,0.4-2.3-0.7,3,
4/152-hawdon-street-heidelberg-vic-3084,648500,25-Nov-2017,2,1,1,-1,None,House,https://www.domain.com.au/4-152-hawdon-street-heidelberg-vic-3084-2013964280,,0.4-2.1-0.7,3,
1-powlett-street-heidelberg-vic-3084,445000,03-Jul-2017,2,1,1,-1,None,New house and land,https://www.domain.com.au/1-powlett-street-heidelberg-vic-3084-2011971237,,0.9-2.9-0.2,3,Jul/2017/445000.0/SOLD-Dec/2009/350.0/SOLD
