,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,46-buckingham-drive-heidelberg-vic-3084,1800000,04-Dec-2021,3,2,2,646,m2,House,https://www.domain.com.au/46-buckingham-drive-heidelberg-vic-3084-2017400478,"Remote Garage Control-""Balcony""-""Rumpus Room""",0.8-1-1.6,3,Dec/2021/1800000.0/SOLD-Feb/2012/862500.0/SOLD
1,157-brown-street-heidelberg-vic-3084,1270000,01-Dec-2021,3,1,1,557,m2,House,https://www.domain.com.au/157-brown-street-heidelberg-vic-3084-2017390481,,0.8-2.5-0.6,3,Dec/2021/1270000.0/SOLD-Nov/2020/980000.0/SOLD
2,18-rill-street-heidelberg-vic-3084,1585000,06-Nov-2021,3,1,2,669,m2,House,https://www.domain.com.au/18-rill-street-heidelberg-vic-3084-2017309809,,0.7-2.4-0.9,3,Nov/2021/1585000.0/SOLD
3,16-radnor-street-heidelberg-vic-3084,1500000,30-Oct-2021,3,1,1,827,m2,House,https://www.domain.com.au/16-radnor-street-heidelberg-vic-3084-2017296808,,0.9-2.1-1.1,3,Oct/2021/1500000.0/SOLD
4,24-manton-street-heidelberg-vic-3084,1500000,30-Oct-2021,3,1,2,653,m2,House,https://www.domain.com.au/24-manton-street-heidelberg-vic-3084-2017340116,,0.5-2-0.9,3,Nov/2021/1500000.0/SOLD
5,50-quinn-street-heidelberg-vic-3084,1546500,16-Oct-2021,3,1,2,663,m2,House,https://www.domain.com.au/50-quinn-street-heidelberg-vic-3084-2017275102,,0.7-1.6-1.1,3,Oct/2021/1546500.0/SOLD-Jun/1985/116000.0/SOLD
6,40-louise-street-heidelberg-vic-3084,1426500,14-Oct-2021,3,1,2,-1,None,House,https://www.domain.com.au/40-louise-street-heidelberg-vic-3084-2017285447,,0.7-1.3-1.2,3,Oct/2021/1426500.0/SOLD-Feb/2000/223000.0/SOLD
7,64-hodgson-street-heidelberg-vic-3084,1465000,08-Oct-2021,3,2,3,982,m2,House,https://www.domain.com.au/64-hodgson-street-heidelberg-vic-3084-2017271113,,0.6-1.4-1.2,3,Oct/2021/1465000.0/SOLD-Dec/1997/220000.0/SOLD
8,41-gloucester-drive-heidelberg-vic-3084,1360000,13-Sep-2021,3,1,2,591,m2,House,https://www.domain.com.au/41-gloucester-drive-heidelberg-vic-3084-2017240344,,0.5-0.9-1.4,3,Sep/2021/1360000.0/SOLD
9,4-fay-street-heidelberg-vic-3084,1310000,01-Sep-2021,3,2,2,648,m2,House,https://www.domain.com.au/4-fay-street-heidelberg-vic-3084-2017172271,,0.8-1.4-1.2,3,Sep/2021/1310000.0/SOLD-Aug/2016/750000.0/SOLD-Mar/1996/163000.0/SOLD
10,1/192-hawdon-street-heidelberg-vic-3084,1155000,17-Jul-2021,3,2,2,415,m2,House,https://www.domain.com.au/1-192-hawdon-street-heidelberg-vic-3084-2017077760,"Internal Laundry*-""Secure Parking*""-""Garden*""-""Built in wardrobes""-""Heating""-""Dishwasher""-""Solar panels""",0.7-2-1,3,
11,40-gloucester-drive-heidelberg-vic-3084,1561000,17-Jul-2021,3,2,2,590,m2,House,https://www.domain.com.au/40-gloucester-drive-heidelberg-vic-3084-2017083315,,0.5-0.8-1.4,3,Jul/2021/1561000.0/SOLD
12,56-yarra-street-heidelberg-vic-3084,1623000,15-Jul-2021,3,1,4,689,m2,House,https://www.domain.com.au/56-yarra-street-heidelberg-vic-3084-2017112836,,0.4-2.7-0.1,3,Jul/2021/1623000.0/SOLD
13,96-rosanna-road-heidelberg-vic-3084,1010000,03-Jul-2021,3,1,2,585,m2,House,https://www.domain.com.au/96-rosanna-road-heidelberg-vic-3084-2017023585,,0.6-1.7-0.9,3,Jul/2021/1010000.0/SOLD
14,18-manton-street-heidelberg-vic-3084,1395000,29-May-2021,3,1,1,622,m2,House,https://www.domain.com.au/18-manton-street-heidelberg-vic-3084-2016998357,,0.5-2-0.8,3,May/2021/1395000.0/SOLD
15,32-darebin-street-heidelberg-vic-3084,1550000,01-May-2021,3,1,-1,574,m2,House,https://www.domain.com.au/32-darebin-street-heidelberg-vic-3084-2016906964,Garden*,0.2-2.3-0.4,3,May/2021/1550000.0/SOLD
16,30-sevenoaks-avenue-heidelberg-vic-3084,1270000,01-May-2021,3,2,2,561,m2,House,https://www.domain.com.au/30-sevenoaks-avenue-heidelberg-vic-3084-2016907783,"Ducted Heating-""Ensuite""-""Remote Garage""-""Built in wardrobes""",0.5-0.5-1.2,3,May/2021/1270000.0/SOLD
17,3-scarborough-drive-heidelberg-vic-3084,1180000,24-Apr-2021,3,2,2,-1,None,House,https://www.domain.com.au/3-scarborough-drive-heidelberg-vic-3084-2016902127,,0.4-0.5-1.1,3,Apr/2021/1180000.0/SOLD-Jan/1997/161000.0/SOLD-Aug/1985/90000.0/SOLD
18,68-martin-street-heidelberg-vic-3084,1210000,17-Apr-2021,3,2,2,609,m2,House,https://www.domain.com.au/68-martin-street-heidelberg-vic-3084-2016886292,"Ensuite-""Built in wardrobes""",0.8-2.2-0.8,3,Apr/2021/1210000.0/SOLD-Oct/1998/210000.0/SOLD
19,16-halifax-avenue-heidelberg-vic-3084,1342000,20-Mar-2021,3,1,2,-1,None,House,https://www.domain.com.au/16-halifax-avenue-heidelberg-vic-3084-2016816551,,0.4-0.6-1.1,3,Mar/2021/1342000.0/SOLD
