"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
5-eton-court-heidelberg-vic-3084,1575000,22-Nov-2021,4,2,2,1068,m2,House,https://www.domain.com.au/5-eton-court-heidelberg-vic-3084-2017400527,,0.7-0.9-1.6,3,Nov/2021/1575000.0/SOLD
24-martin-street-heidelberg-vic-3084,2400000,11-Nov-2021,4,3,2,556,m2,House,https://www.domain.com.au/24-martin-street-heidelberg-vic-3084-2017197810,Air conditioning*-Secure Parking*-Heating*,0.7-2.7-0.7,3,Sep/2011/916000.0/SOLD-Aug/2000/365000.0/SOLD-May/1997/190000.0/SOLD
47-gloucester-drive-heidelberg-vic-3084,1560000,15-May-2021,4,2,2,590,m2,House,https://www.domain.com.au/47-gloucester-drive-heidelberg-vic-3084-2016944655,Ensuite-Solar panels,0.5-0.8-1.3,3,May/2021/1560000.0/SOLD-Sep/2009/790000.0/SOLD-Mar/1987/125000.0/SOLD
55-beverley-road-heidelberg-vic-3084,1610000,24-Apr-2021,4,2,4,748,m2,House,https://www.domain.com.au/55-beverley-road-heidelberg-vic-3084-2016915807,,0.8-1.3-1.2,3,Apr/2021/750.0/SOLD
24-sevenoaks-avenue-heidelberg-vic-3084,1316000,27-Mar-2021,4,2,2,-1,None,House,https://www.domain.com.au/24-sevenoaks-avenue-heidelberg-vic-3084-2016855386,,0.5-0.6-1.2,3,Mar/2021/1316000.0/SOLD
48-berkeley-avenue-heidelberg-vic-3084,1320000,15-Mar-2021,4,2,3,668,m2,House,https://www.domain.com.au/48-berkeley-avenue-heidelberg-vic-3084-2016832074,Polished Floorboards-Ducted Cooling-Ensuite-Remote Garage-Air conditioning-Built in wardrobes,0.5-0.7-1.4,3,Mar/2021/1320000.0/SOLD
14-quinn-street-heidelberg-vic-3084,757500,01-Mar-2021,4,3,2,-1,None,House,https://www.domain.com.au/14-quinn-street-heidelberg-vic-3084-2016525480,,0.5-1.8-0.8,3,
48-gloucester-drive-heidelberg-vic-3084,1312000,18-Feb-2021,4,2,2,590,m2,House,https://www.domain.com.au/48-gloucester-drive-heidelberg-vic-3084-2016754108,Polished Floorboards-Open Fireplace-Ducted Cooling-Ensuite-Rumpus Room-Water Tank-Walk-in-Robe,0.5-0.8-1.3,3,Feb/2021/1312000.0/SOLD
31-berkeley-avenue-heidelberg-vic-3084,1325000,13-Feb-2021,4,2,2,590,m2,House,https://www.domain.com.au/31-berkeley-avenue-heidelberg-vic-3084-2016737361,Ducted Heating-Reverse Cycle AirCon-Solar Panels/System-Water Tank-Walk-in-Robes-Remote Garage,0.6-0.9-1.5,3,Feb/2021/1325000.0/SOLD
138-st-james-road-heidelberg-vic-3084,1410000,05-Dec-2020,4,2,2,705,m2,House,https://www.domain.com.au/138-st-james-road-heidelberg-vic-3084-2016618852,,0.6-1.2-1.4,3,Dec/2020/1410000.0/SOLD-Jun/1986/150000.0/SOLD
