"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
9-shearer-close-hoppers-crossing-vic-3029,545000,07-Dec-2021,3,1,2,629,m2,House,https://www.domain.com.au/9-shearer-close-hoppers-crossing-vic-3029-2017325719,Built in wardrobes-Secure Parking,0.8-1.3-1.8,3,Apr/2018/381.0/SOLD-Dec/2001/535000.0/SOLD
2-trevino-close-hoppers-crossing-vic-3029,595000,04-Dec-2021,3,1,2,650,m2,House,https://www.domain.com.au/2-trevino-close-hoppers-crossing-vic-3029-2017412664,Shed*-Study,1-1.4-1.6,3,Dec/2021/595000.0/SOLD
38-claremont-crescent-hoppers-crossing-vic-3029,490000,04-Dec-2021,3,1,4,623,m2,House,https://www.domain.com.au/38-claremont-crescent-hoppers-crossing-vic-3029-2017401933,nan,0.5-1.6-0.6,3,Dec/2021/490000.0/SOLD-Mar/2014/241000.0/SOLD-Apr/2008/180000.0/SOLD
34-wiltonvale-avenue-hoppers-crossing-vic-3029,540000,02-Dec-2021,3,1,4,540,m2,House,https://www.domain.com.au/34-wiltonvale-avenue-hoppers-crossing-vic-3029-2017316065,nan,0.5-1-0.5,3,
39-durham-crescent-hoppers-crossing-vic-3029,597000,30-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/39-durham-crescent-hoppers-crossing-vic-3029-2017390172,nan,0.8-0.9-0.5,3,Nov/2021/597000.0/SOLD
334-hogans-road-hoppers-crossing-vic-3029,572000,30-Nov-2021,3,2,2,603,m2,House,https://www.domain.com.au/334-hogans-road-hoppers-crossing-vic-3029-2017367716,nan,0.5-0.8-1.1,3,Nov/2021/572000.0/SOLD-May/2013/390.0/SOLD
10-talina-close-hoppers-crossing-vic-3029,530000,29-Nov-2021,3,1,2,-1,None,House,https://www.domain.com.au/10-talina-close-hoppers-crossing-vic-3029-2017453746,nan,0.9-1.8-2.1,3,Nov/2021/530000.0/SOLD
58-woodville-park-drive-hoppers-crossing-vic-3029,615000,29-Nov-2021,3,1,3,557,m2,House,https://www.domain.com.au/58-woodville-park-drive-hoppers-crossing-vic-3029-2017410725,Shed*-Balcony / Deck*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Pets Allowed-Close to schools-Study,0.5-1.4-0.5,3,Nov/2021/615000.0/SOLD-Oct/2006/230000.0/SOLD
68-baggott-drive-hoppers-crossing-vic-3029,608000,26-Nov-2021,3,2,4,608,m2,House,https://www.domain.com.au/68-baggott-drive-hoppers-crossing-vic-3029-2017386393,nan,0.5-0.5-0.2,3,Nov/2021/608000.0/SOLD-Jun/2012/310000.0/SOLD-Sep/2005/206000.0/SOLD
8-riverex-place-hoppers-crossing-vic-3029,620000,25-Nov-2021,3,2,2,530,m2,House,https://www.domain.com.au/8-riverex-place-hoppers-crossing-vic-3029-2017360349,Secure Parking*-Ensuite,0.7-1.4-2.3,3,Nov/2021/620000.0/SOLD-Jun/2006/215000.0/SOLD-Aug/2002/168000.0/SOLD
12-bolger-crescent-hoppers-crossing-vic-3029,560000,23-Nov-2021,3,1,2,-1,None,House,https://www.domain.com.au/12-bolger-crescent-hoppers-crossing-vic-3029-2017436508,nan,0.4-0.5-0.9,3,Nov/2021/560000.0/SOLD
