,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,27-sycamore-street-hoppers-crossing-vic-3029,995000,07-Dec-2021,4,2,2,1090,m2,House,https://www.domain.com.au/27-sycamore-street-hoppers-crossing-vic-3029-2017306762,"Air conditioning-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""",0.1-1.3-1.4,3,Dec/2021/995000.0/SOLD
1,50-hotham-crescent-hoppers-crossing-vic-3029,639500,01-Dec-2021,4,1,4,652,m2,House,https://www.domain.com.au/50-hotham-crescent-hoppers-crossing-vic-3029-2017398936,,0.7-1.2-1.5,3,Dec/2021/639500.0/SOLD-Oct/2017/477000.0/SOLD
2,47-baggott-drive-hoppers-crossing-vic-3029,635000,26-Nov-2021,4,2,2,584,m2,House,https://www.domain.com.au/47-baggott-drive-hoppers-crossing-vic-3029-2017394141,,0.5-0.6-0.2,3,Nov/2021/635000.0/SOLD-Mar/2007/220000.0/SOLD-Aug/1998/109500.0/SOLD
3,6-hyslop-street-hoppers-crossing-vic-3029,613500,24-Nov-2021,4,2,6,590,m2,House,https://www.domain.com.au/6-hyslop-street-hoppers-crossing-vic-3029-2017366692,"Secure Parking*-""Dishwasher*""-""Study""",0.7-0.8-0.2,3,Nov/2021/613500.0/SOLD
4,279-hogans-road-hoppers-crossing-vic-3029,810000,17-Nov-2021,4,2,6,-1,None,House,https://www.domain.com.au/279-hogans-road-hoppers-crossing-vic-3029-2017378887,"Internal Laundry*-""Pets Allowed*""-""Secure Parking*""-""Study*""-""Solar panels*""-""Ensuite""",0.5-0.8-1.1,3,Nov/2021/810000.0/SOLD-Dec/1998/240295.0/SOLD
5,22-ironbark-drive-hoppers-crossing-vic-3029,660000,17-Nov-2021,4,2,2,-1,None,House,https://www.domain.com.au/22-ironbark-drive-hoppers-crossing-vic-3029-2017412468,,1.7-1.7-3.4,3,Nov/2021/660000.0/SOLD-Oct/2007/320000.0/SOLD-Feb/1997/43000.0/SOLD
6,6-yenda-court-hoppers-crossing-vic-3029,812000,15-Nov-2021,4,3,2,552,m2,House,https://www.domain.com.au/6-yenda-court-hoppers-crossing-vic-3029-2017345350,,0.5-1.9-0.5,3,Nov/2021/812000.0/SOLD-Aug/2012/445000.0/SOLD-Sep/2006/265000.0/SOLD
7,1-parkview-close-hoppers-crossing-vic-3029,695000,15-Nov-2021,4,2,2,715,m2,House,https://www.domain.com.au/1-parkview-close-hoppers-crossing-vic-3029-2017100742,"Ensuite-""Dishwasher""-""Built in wardrobes""-""Workshop""-""Broadband""-""Evaporative Cooling""-""Remote Garage""-""Secure Parking""-""Deck""-""Outdoor Entertainment""-""Shed""-""Fully fenced""",1.4-2.1-1,3,Sep/2021/695000.0/SOLD-Aug/2007/420.0/SOLD
8,4-nettlefold-avenue-hoppers-crossing-vic-3029,675200,13-Nov-2021,4,2,6,814,m2,House,https://www.domain.com.au/4-nettlefold-avenue-hoppers-crossing-vic-3029-2017326017,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Study""",0.6-0.7-0.9,3,Nov/2021/675200.0/SOLD-Apr/2019/530000.0/SOLD-Mar/2005/252000.0/SOLD
9,9-fleetwood-court-hoppers-crossing-vic-3029,750000,08-Nov-2021,4,2,4,-1,None,House,https://www.domain.com.au/9-fleetwood-court-hoppers-crossing-vic-3029-2017317490,"Gas*-""Secure Parking*""-""Dishwasher*""-""Ensuite""",0.6-0.6-1.3,3,Oct/2021/750000.0/SOLD-Sep/2008/335000.0/SOLD
