"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
11-hopkins-avenue-keilor-vic-3036,849000,04-Dec-2021,3,2,1,-1,None,House,https://www.domain.com.au/11-hopkins-avenue-keilor-vic-3036-2017407456,Built in wardrobes*-Internal Laundry*-Bath*-Heating*,0.8-1.3-4.3,3,Dec/2021/849000.0/SOLD
18-campaspe-crescent-keilor-vic-3036,1235000,29-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/18-campaspe-crescent-keilor-vic-3036-2017398269,Air conditioning*-Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Dishwasher*-Balcony / Deck*,1.2-1.4-3.8,3,Dec/2021/1235000.0/SOLD-Jun/1988/145000.0/SOLD-Aug/1986/120000.0/SOLD
3-campaspe-crescent-keilor-vic-3036,1240000,23-Nov-2021,3,2,2,-1,None,House,https://www.domain.com.au/3-campaspe-crescent-keilor-vic-3036-2017396181,Internal Laundry*-Secure Parking*-Heating*-Shed*-Solar panels*-Balcony / Deck*,1.2-1.6-3.7,3,Dec/2021/1240000.0/SOLD-Aug/1989/145000.0/SOLD
6-flemming-court-keilor-vic-3036,1066000,10-Nov-2021,3,2,3,656,m2,House,https://www.domain.com.au/6-flemming-court-keilor-vic-3036-2017323101,Pets Allowed*-Heating*-Ensuite,1-1.7-3.8,3,Mar/2021/930000.0/SOLD-Feb/2018/780000.0/SOLD
42-patterson-avenue-keilor-vic-3036,1000000,06-Nov-2021,3,2,1,-1,None,House,https://www.domain.com.au/42-patterson-avenue-keilor-vic-3036-2017357108,Secure Parking*-Bath*-Heating*-Study,1-1.3-4.1,3,Apr/2017/650000.0/SOLD-Jan/2012/420000.0/SOLD-Sep/1988/134000.0/SOLD
19-church-street-keilor-vic-3036,1450000,30-Oct-2021,3,2,2,-1,None,House,https://www.domain.com.au/19-church-street-keilor-vic-3036-2017296639,Air conditioning*-Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Heating*-Dishwasher*-Study*,0.6-2.2-4.2,3,Oct/2021/1450000.0/SOLD-Aug/2005/340.0/SOLD
13/9-borrell-street-keilor-vic-3036,635000,22-Oct-2021,3,2,1,-1,None,House,https://www.domain.com.au/13-9-borrell-street-keilor-vic-3036-2017263003,Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Heating*,0.5-1.7-4.8,3,
10-albatross-court-keilor-vic-3036,962000,20-Oct-2021,3,2,4,588,m2,House,https://www.domain.com.au/10-albatross-court-keilor-vic-3036-2017290144,Built in wardrobes-Ensuite-Ducted Heating,1-1.2-4.2,3,Oct/2021/962000.0/SOLD-Jun/1997/125000.0/SOLD
7-hopkins-avenue-keilor-vic-3036,845000,16-Oct-2021,3,2,3,-1,None,House,https://www.domain.com.au/7-hopkins-avenue-keilor-vic-3036-2017308651,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Dishwasher*-Balcony / Deck*,0.9-1.3-4.3,3,Oct/2021/845000.0/SOLD-May/2000/260000.0/SOLD-Feb/1996/135000.0/SOLD
40-green-gully-road-keilor-vic-3036,784777,08-Oct-2021,3,1,2,590,m2,House,https://www.domain.com.au/40-green-gully-road-keilor-vic-3036-2017315482,,1-1.6-3.9,3,Oct/2021/784777.0/SOLD
7-albatross-court-keilor-vic-3036,820000,05-Oct-2021,3,2,3,-1,None,House,https://www.domain.com.au/7-albatross-court-keilor-vic-3036-2017255435,Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Heating*-Shed*-Balcony / Deck*,1.1-1.2-4.1,3,Oct/2021/820000.0/SOLD
4-stuart-court-keilor-vic-3036,740000,30-Sep-2021,3,2,1,-1,None,House,https://www.domain.com.au/4-stuart-court-keilor-vic-3036-2017242471,Internal Laundry*-Heating*-Dishwasher*,1.1-1.1-4.7,3,Oct/2021/740000.0/SOLD-Jul/2019/390.0/SOLD
9-melville-close-keilor-vic-3036,900000,28-Sep-2021,3,2,-1,578,m2,House,https://www.domain.com.au/9-melville-close-keilor-vic-3036-2017104530,,1-1.3-4.8,3,Sep/2021/900000.0/SOLD
47-patterson-avenue-keilor-vic-3036,765500,24-Jul-2021,3,1,2,553,m2,House,https://www.domain.com.au/47-patterson-avenue-keilor-vic-3036-2017108166,Air conditioning,1-1.3-4,3,Jul/2021/765500.0/SOLD-Sep/1979/47000.0/SOLD
18-riverside-avenue-keilor-vic-3036,855000,17-Jul-2021,3,1,1,-1,None,House,https://www.domain.com.au/18-riverside-avenue-keilor-vic-3036-2017032522,,0.8-2.2-4,3,Jul/2021/855000.0/SOLD
21-barwon-avenue-keilor-vic-3036,960000,10-Jul-2021,3,2,2,537,m2,House,https://www.domain.com.au/21-barwon-avenue-keilor-vic-3036-2017077154,Internal Laundry*-Heating*-Study*-Garden*-Balcony / Deck*,1-1.1-4.5,3,Jul/2021/960000.0/SOLD-Feb/2016/530000.0/SOLD
41-patterson-avenue-keilor-vic-3036,757000,22-May-2021,3,1,1,-1,None,House,https://www.domain.com.au/41-patterson-avenue-keilor-vic-3036-2016948931,,1-1.3-4.1,3,Jun/2021/757000.0/SOLD-Mar/1998/100000.0/SOLD
12-gerona-street-keilor-vic-3036,990000,21-Apr-2021,3,2,2,773,m2,House,https://www.domain.com.au/12-gerona-street-keilor-vic-3036-2016907925,,0.5-1.8-4.9,3,Apr/2021/990000.0/SOLD
5-tambo-court-keilor-vic-3036,813000,17-Apr-2021,3,2,2,533,m2,House,https://www.domain.com.au/5-tambo-court-keilor-vic-3036-2016892070,,0.9-1.4-4.1,3,Apr/2021/813000.0/SOLD-Jul/2007/338000.0/SOLD-Oct/2001/255000.0/SOLD
25-parramatta-road-keilor-vic-3036,970000,31-Mar-2021,3,2,6,576,m2,House,https://www.domain.com.au/25-parramatta-road-keilor-vic-3036-2016821775,Balcony / Deck*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Security Alarm-Garden-Secure Parking-Floorboards-Formal Lounge,0.8-1.3-4.6,3,Jul/2021/970000.0/SOLD-Dec/2014/455000.0/SOLD
22-campaspe-crescent-keilor-vic-3036,802000,27-Mar-2021,3,2,2,-1,None,House,https://www.domain.com.au/22-campaspe-crescent-keilor-vic-3036-2016852457,Internal Laundry*-Heating*-Dishwasher*-Shed*-Garden*,1.2-1.4-3.8,3,Mar/2021/802000.0/SOLD-Dec/2014/520000.0/SOLD
759-old-calder-highway-keilor-vic-3036,1720000,13-Mar-2021,3,1,2,1015,m2,House,https://www.domain.com.au/759-old-calder-highway-keilor-vic-3036-2016799963,Internal Laundry*-Secure Parking*-Heating*-Study*-Garden*,0.4-2.2-4.4,3,Mar/2021/540.0/SOLD
