,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,987-old-calder-highway-keilor-vic-3036,2010000,04-Dec-2021,4,2,2,1997,m2,House,https://www.domain.com.au/987-old-calder-highway-keilor-vic-3036-2017378169,"Heating*-""Ensuite""",1.3-1.5-5.7,3,Dec/2021/2009999.9999999998/SOLD-Aug/1999/400000.0/SOLD-May/1992/300000.0/SOLD
1,7-belford-court-keilor-vic-3036,1500000,30-Nov-2021,4,3,2,-1,None,House,https://www.domain.com.au/7-belford-court-keilor-vic-3036-2017322361,"Air conditioning*-""Built in wardrobes*""-""Secure Parking*""-""Intercom*""-""Bath*""-""Fireplace(s)*""-""Heating*""-""Study*""",0.7-1-5.2,3,Nov/2021/1500000.0/SOLD-Feb/1994/86000.0/SOLD-Apr/1989/75000.0/SOLD
2,50-church-street-keilor-vic-3036,1300000,24-Nov-2021,4,3,-1,-1,None,House,https://www.domain.com.au/50-church-street-keilor-vic-3036-2017367491,"Air conditioning*-""Built in wardrobes*""-""Internal Laundry*""-""Heating*""-""Dishwasher*""-""Shed*""-""Balcony / Deck*""",0.6-1.5-4.4,3,Nov/2021/1300000.0/SOLD-Jan/2006/600000.0/SOLD-Jul/1997/215000.0/SOLD
3,7-skyline-drive-keilor-vic-3036,1806000,10-Nov-2021,4,2,4,-1,None,House,https://www.domain.com.au/7-skyline-drive-keilor-vic-3036-2017366561,"Secure Parking*-""Dishwasher*""",0.8-2.3-4,3,Nov/2021/1806000.0/SOLD-Apr/2004/435000.0/SOLD-Feb/2001/287000.0/SOLD
4,113-church-street-keilor-vic-3036,1300000,28-Oct-2021,4,3,2,-1,None,House,https://www.domain.com.au/113-church-street-keilor-vic-3036-2017301694,"Internal Laundry*-""Secure Parking*""-""Bath*""-""Heating*""-""Study*""",0.7-1.5-4.3,3,Oct/2021/1300000.0/SOLD-Jul/2018/1100000.0/SOLD
5,917-old-calder-highway-keilor-vic-3036,1310000,27-Oct-2021,4,3,2,639,m2,House,https://www.domain.com.au/917-old-calder-highway-keilor-vic-3036-2017295386,"Gas*-""Air conditioning""-""Ensuite""-""Floorboards""-""Built in wardrobes""-""Separate Dining Room""-""Secure Parking""-""Balcony / Deck""-""Swimming Pool""",1.1-1.4-5.3,3,Oct/2021/1310000.0/SOLD-May/2000/240000.0/SOLD
6,887-old-calder-highway-keilor-vic-3036,920000,22-Oct-2021,4,1,2,-1,None,House,https://www.domain.com.au/887-old-calder-highway-keilor-vic-3036-2017296641,"Gas*-""Bath*""-""Dishwasher*""-""Shed*""",1.1-1.4-5,3,Oct/2021/920000.0/SOLD
7,5-campaspe-crescent-keilor-vic-3036,1207000,22-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/5-campaspe-crescent-keilor-vic-3036-2017198925,"Secure Parking*-""Bath*""-""Heating*""-""Study*""",1.2-1.5-3.7,3,
8,7a-hillview-court-keilor-vic-3036,1070500,12-Oct-2021,4,3,1,400,m2,House,https://www.domain.com.au/7a-hillview-court-keilor-vic-3036-2017250399,"Secure Parking*-""Dishwasher*""-""Shed*""-""Balcony / Deck*""-""Laundry""",1-1.3-5.4,3,
9,19-augustines-way-keilor-vic-3036,1185000,21-Sep-2021,4,2,2,-1,None,House,https://www.domain.com.au/19-augustines-way-keilor-vic-3036-2017173218,"Air conditioning*-""Built in wardrobes*""-""Internal Laundry*""-""Secure Parking*""-""Bath*""-""Heating*""-""Balcony / Deck*""",0.9-1.2-5.2,3,Sep/2021/1185000.0/SOLD-Mar/2016/700000.0/SOLD
10,9-jackman-crescent-keilor-vic-3036,950000,19-Aug-2021,4,2,-1,-1,None,House,https://www.domain.com.au/9-jackman-crescent-keilor-vic-3036-2017159243,"Air conditioning*-""Internal Laundry*""-""Heating*""-""Garden*""",1.1-1.3-5,3,Aug/2021/950000.0/SOLD
