address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
38-petrik-drive-keilor-vic-3036,1825000,06-Dec-2021,5,4,4,2000,m2,House,https://www.domain.com.au/38-petrik-drive-keilor-vic-3036-2017367956,Laundry,1.3-1.4-5.7,3,Dec/2021/1825000.0/SOLD-Dec/2019/1800000.0/SOLD-May/2016/1200000.0/SOLD
4-scott-street-keilor-vic-3036,1180000,04-Nov-2021,5,3,2,-1,None,House,https://www.domain.com.au/4-scott-street-keilor-vic-3036-2017330080,"Air conditioning*-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Balcony / Deck*""",1.1-1.3-4.9,3,Nov/2021/1180000.0/SOLD-Nov/2011/730000.0/SOLD-Dec/2008/550000.0/SOLD
22-gerona-court-keilor-vic-3036,1410000,15-Sep-2021,5,3,2,720,m2,House,https://www.domain.com.au/22-gerona-court-keilor-vic-3036-2017159130,"Internal Laundry*-""Bath*""-""Air conditioning""-""Floorboards""-""Alarm System""-""Built in wardrobes""-""Fireplace(s)""-""Separate Dining Room""-""Secure Parking""-""Balcony / Deck""",0.2-2-4.9,3,Sep/2021/141000.0/SOLD-Oct/2005/810000.0/SOLD
16-kennedy-street-keilor-vic-3036,1750000,17-Aug-2021,5,3,4,1031,m2,House,https://www.domain.com.au/16-kennedy-street-keilor-vic-3036-2017142686,,0.2-2.1-4.6,3,Aug/2021/1750000.0/SOLD
3-huon-court-keilor-vic-3036,1107000,30-Jun-2021,5,3,2,706,m2,House,https://www.domain.com.au/3-huon-court-keilor-vic-3036-2017077419,Study,0.9-1.2-4.5,3,Jun/2021/1107000.0/SOLD
1-tambo-court-keilor-vic-3036,985000,27-May-2021,5,3,2,529,m2,House,https://www.domain.com.au/1-tambo-court-keilor-vic-3036-2016975309,"Internal Laundry*-""Secure Parking*""-""Dishwasher*""-""Garden*""",0.9-1.4-4.1,3,May/2021/985000.0/SOLD-Jul/2008/690000.0/SOLD-Aug/1990/151000.0/SOLD
41-parramatta-road-keilor-vic-3036,748000,15-Apr-2021,5,2,1,-1,None,House,https://www.domain.com.au/41-parramatta-road-keilor-vic-3036-2016885303,"Built in wardrobes*-""Study*""-""Garden*""",0.9-1.4-4.8,3,Apr/2021/748000.0/SOLD-Sep/2004/380.0/SOLD
1-delaney-court-keilor-vic-3036,1100000,09-Apr-2021,5,3,2,690,m2,House,https://www.domain.com.au/1-delaney-court-keilor-vic-3036-2016866269,,0.5-0.8-4.9,3,Apr/2021/1100000.0/SOLD-Aug/2013/540.0/SOLD
5-tiffany-court-keilor-vic-3036,1265000,07-Nov-2020,5,2,2,-1,None,House,https://www.domain.com.au/5-tiffany-court-keilor-vic-3036-2016586587,,0.8-1.9-4,3,Nov/2020/1265000.0/SOLD
12-culgoa-court-keilor-vic-3036,900000,12-Oct-2020,5,2,1,-1,None,House,https://www.domain.com.au/12-culgoa-court-keilor-vic-3036-2016535316,"Air conditioning*-""Internal Laundry*""-""Secure Parking*""-""Fireplace(s)*""-""Dishwasher*""-""Garden*""",1-1.3-4.8,3,Oct/2020/900000.0/SOLD-Dec/2013/535000.0/SOLD
4-hermes-court-keilor-vic-3036,1080000,17-Sep-2020,5,3,4,-1,None,House,https://www.domain.com.au/4-hermes-court-keilor-vic-3036-2016344350,,1.1-1.1-4.3,3,Sep/2020/1080000.0/SOLD-Oct/2008/485000.0/SOLD
6-huon-court-keilor-vic-3036,840000,20-Jun-2020,5,2,-1,593,m2,House,https://www.domain.com.au/6-huon-court-keilor-vic-3036-2016082963,,1-1.2-4.5,3,Jun/2020/840000.0/SOLD-Dec/2017/815000.0/SOLD-Dec/2008/315000.0/SOLD
4---6-campaspe-crescent-keilor-vic-3036,1270000,11-Mar-2020,5,3,3,1093,m2,House,https://www.domain.com.au/4-6-campaspe-crescent-keilor-vic-3036-2016063241,,1.1-1.5-3.7,3,
33-barwon-avenue-keilor-vic-3036,1152500,12-Feb-2020,5,2,2,928,m2,House,https://www.domain.com.au/33-barwon-avenue-keilor-vic-3036-2016007890,,1-1.1-4.6,3,Feb/2020/1152500.0/SOLD-May/1998/272000.0/SOLD
1017-old-calder-highway-keilor-vic-3036,2370000,14-Nov-2019,6,5,8,-1,None,House,https://www.domain.com.au/1017-old-calder-highway-keilor-vic-3036-2015769298,,1.2-1.2-5.9,3,Nov/2019/2370000.0/SOLD-Apr/2000/265000.0/SOLD
3-evan-court-keilor-vic-3036,1455000,12-Nov-2019,5,2,2,-1,None,House,https://www.domain.com.au/3-evan-court-keilor-vic-3036-2015458895,"In-ground Pool (Heated)-""House Alarm""-""Alarm/Security System""-""Remote Garage Opener""-""Ducted Heating""-""R""",0.9-1.4-5,3,Nov/2019/1455000.0/SOLD-Aug/1997/140000.0/SOLD-Jul/1994/120000.0/SOLD
8-robbins-street-keilor-vic-3036,1016000,26-Oct-2019,5,3,2,-1,None,House,https://www.domain.com.au/8-robbins-street-keilor-vic-3036-2015696326,Study,0.8-1.8-3.9,3,Oct/2019/1016000.0/SOLD-Sep/2014/804000.0/SOLD
20-karina-court-keilor-vic-3036,1010000,19-Aug-2019,5,3,2,818,m2,House,https://www.domain.com.au/20-karina-court-keilor-vic-3036-2015485486,,1.2-1.4-5.6,3,Aug/2019/1010000.0/SOLD-Apr/2000/390000.0/SOLD-Aug/1988/278500.0/SOLD
11-green-gully-road-keilor-vic-3036,835000,21-Jun-2019,5,2,4,-1,None,House,https://www.domain.com.au/11-green-gully-road-keilor-vic-3036-2015280976,,0.7-1.4-4.4,3,Jun/2019/835000.0/SOLD-Mar/2014/565000.0/SOLD
15-eagling-street-keilor-vic-3036,1360000,01-Sep-2018,5,3,2,-1,None,House,https://www.domain.com.au/15-eagling-street-keilor-vic-3036-2014548872,,0.4-1.8-4.4,3,Sep/2018/1360000.0/SOLD-Mar/1994/313500.0/SOLD-May/1993/330000.0/SOLD
