,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,6-lower-drive-north-drive-kew-vic-3101,2300000,04-Nov-2021,4,4,2,400,m2,House,https://www.domain.com.au/6-lower-drive-north-drive-kew-vic-3101-2017397715,,1.2-3.2-3.2,3,
1,479-high-street-kew-vic-3101,1870000,19-Oct-2021,4,2,3,-1,None,House,https://www.domain.com.au/479-high-street-kew-vic-3101-2017303690,,0.8-1.8-6.3,3,Oct/2021/1870000.0/SOLD
2,45-studley-avenue-kew-vic-3101,3005000,14-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/45-studley-avenue-kew-vic-3101-2017259722,,0.8-2.5-2.6,3,Oct/2021/3005000.0/SOLD-May/2005/1060000.0/SOLD-Oct/2001/805000.0/SOLD
3,16-park-avenue-kew-vic-3101,2270000,23-Sep-2021,4,4,2,390,m2,House,https://www.domain.com.au/16-park-avenue-kew-vic-3101-2017218967,,1.1-2.9-6.8,3,Sep/2021/2270000.0/SOLD-Dec/2012/1300.0/SOLD
4,52a-adeney-avenue-kew-vic-3101,2200000,08-Sep-2021,4,2,2,-1,None,House,https://www.domain.com.au/52a-adeney-avenue-kew-vic-3101-2017191883,,0.9-1.6-6.1,3,Sep/2021/2200000.0/SOLD
5,16-gordon-avenue-kew-vic-3101,2900000,19-Jun-2021,4,2,1,-1,None,House,https://www.domain.com.au/16-gordon-avenue-kew-vic-3101-2016962132,,0.7-1.4-2.3,3,Jun/2021/2900000.0/SOLD
6,32-sackville-street-kew-vic-3101,3800000,15-May-2021,4,3,2,850,m2,House,https://www.domain.com.au/32-sackville-street-kew-vic-3101-2016944592,,0.8-1.4-1.9,3,May/2021/3800000.0/SOLD
7,27-campbell-street-kew-vic-3101,2900000,06-May-2021,4,2,2,-1,None,House,https://www.domain.com.au/27-campbell-street-kew-vic-3101-2016929964,,0.6-1.1-5.7,3,May/2021/2900000.0/SOLD-Oct/2007/1300000.0/SOLD-Jul/2001/817500.0/SOLD
8,60-pakington-street-kew-vic-3101,2465500,13-Mar-2021,4,1,2,-1,None,House,https://www.domain.com.au/60-pakington-street-kew-vic-3101-2016802642,,0.5-2.4-2.5,3,Mar/2021/2465500.0/SOLD-Nov/2017/2015000.0000000002/SOLD
9,21-thomas-street-kew-vic-3101,6400000,06-Mar-2021,4,2,2,1314,m2,House,https://www.domain.com.au/21-thomas-street-kew-vic-3101-2016761764,"Secure Parking*-""Fireplace(s)*""-""Garden*""",1.1-1.7-2,3,Mar/2021/6400000.0/SOLD-Dec/2018/5000000.0/SOLD
10,15-raven-street-kew-vic-3101,3500000,03-Mar-2021,4,3,4,599,m2,House,https://www.domain.com.au/15-raven-street-kew-vic-3101-2016829707,,0.8-1.3-1.3,3,Mar/2021/3500000.0/SOLD-Jun/2014/2810000.0/SOLD-Sep/2008/2100000.0/SOLD
11,15-raven-street-kew-vic-3101,3500000,03-Mar-2021,4,3,4,599,m2,House,https://www.domain.com.au/15-raven-street-kew-vic-3101-2016830213,,0.8-1.3-1.3,3,Mar/2021/3500000.0/SOLD-Jun/2014/2810000.0/SOLD-Sep/2008/2100000.0/SOLD
12,70-pakington-street-kew-vic-3101,3200000,24-Feb-2021,4,2,2,-1,None,House,https://www.domain.com.au/70-pakington-street-kew-vic-3101-2016764342,,0.5-2.4-6.7,3,Feb/2021/3200000.0/SOLD-Apr/2016/2670000.0/SOLD-Mar/2006/615000.0/SOLD
13,6-churchill-street-kew-vic-3101,2470000,13-Jan-2021,4,2,2,-1,None,House,https://www.domain.com.au/6-churchill-street-kew-vic-3101-2017363342,,0.4-1.5-5.9,3,Jan/2021/2470000.0/SOLD-Dec/1994/260000.0/SOLD-May/1987/175000.0/SOLD
14,10-willsmere-road-kew-vic-3101,1742500,19-Dec-2020,4,2,3,-1,None,House,https://www.domain.com.au/10-willsmere-road-kew-vic-3101-2016667099,,0.7-2.7-2.8,3,Dec/2020/1742500.0/SOLD-Jul/2012/920000.0/SOLD
15,11-cobden-street-kew-vic-3101,1914000,12-Dec-2020,4,3,2,-1,None,House,https://www.domain.com.au/11-cobden-street-kew-vic-3101-2016642687,,0.2-2.2-2.5,3,Dec/2020/1914000.0/SOLD-Sep/2004/606000.0/SOLD-May/1999/333000.0/SOLD
16,19-dunlop-avenue-kew-vic-3101,2760000,12-Dec-2020,4,3,2,626,m2,House,https://www.domain.com.au/19-dunlop-avenue-kew-vic-3101-2016652087,"Gas*-""Study*""-""Garden*""",0.9-2.1-2.3,3,Dec/2020/2760000.0/SOLD-May/2019/2049999.9999999998/SOLD
17,160-brougham-street-kew-vic-3101,2030000,23-Nov-2020,4,2,2,-1,None,House,https://www.domain.com.au/160-brougham-street-kew-vic-3101-2016224453,,0.7-2.6-6.8,3,Nov/2020/2029999.9999999998/SOLD-Oct/2015/1080000.0/SOLD
18,87-gladstone-street-kew-vic-3101,2125000,07-Nov-2020,4,2,2,-1,None,House,https://www.domain.com.au/87-gladstone-street-kew-vic-3101-2016548820,,0.7-1.8-6.2,3,Mar/2021/2225000.0/SOLD-Jun/2015/1900000.0/SOLD-Oct/2003/930000.0/SOLD
19,53-normanby-road-kew-vic-3101,2355000,31-Oct-2020,4,2,2,670,m2,House,https://www.domain.com.au/53-normanby-road-kew-vic-3101-2016520135,,0.7-1.4-5.8,3,Oct/2020/2355000.0/SOLD-Nov/2015/1900000.0/SOLD
20,2-lalla-street-kew-vic-3101,3760000,11-Aug-2020,4,4,7,-1,None,House,https://www.domain.com.au/2-lalla-street-kew-vic-3101-2015865870,,0.8-1.5-6,3,Aug/2020/3760000.0/SOLD-Oct/2006/721000.0/SOLD
21,107-edgevale-road-kew-vic-3101,2170000,05-Aug-2020,4,2,1,-1,None,House,https://www.domain.com.au/107-edgevale-road-kew-vic-3101-2016376042,,1.1-1.4-2.4,3,Aug/2020/2170000.0/SOLD-Sep/2013/1300000.0/SOLD
22,24-holroyd-street-kew-vic-3101,2485000,04-Aug-2020,4,3,2,737,m2,House,https://www.domain.com.au/24-holroyd-street-kew-vic-3101-2016264494,,0.9-2.4-2.5,3,Aug/2020/2485000.0/SOLD
23,4-blythswood-court-kew-vic-3101,3055000,20-Jul-2020,4,3,2,814,m2,House,https://www.domain.com.au/4-blythswood-court-kew-vic-3101-2016342715,,1-1.3-1.5,3,Jul/2020/3055000.0/SOLD
24,48-parkhill-road-kew-vic-3101,1950000,29-Jun-2020,4,2,2,582,m2,House,https://www.domain.com.au/48-parkhill-road-kew-vic-3101-2016291025,,0.9-1.9-6.5,3,Jun/2020/1950000.0/SOLD
25,16-miller-grove-kew-vic-3101,2540000,27-Jun-2020,4,1,1,-1,None,House,https://www.domain.com.au/16-miller-grove-kew-vic-3101-2016292655,,1.1-1.6-2,3,Jun/2020/2540000.0/SOLD
26,103-disraeli-street-kew-vic-3101,1480000,13-Jun-2020,4,2,2,-1,None,House,https://www.domain.com.au/103-disraeli-street-kew-vic-3101-2016273595,,0.9-1.9-6.2,3,Jun/2020/1480000.0/SOLD-Dec/2006/639000.0/SOLD
27,24-denmark-street-kew-vic-3101,2037000,19-May-2020,4,2,1,-1,None,House,https://www.domain.com.au/24-denmark-street-kew-vic-3101-2016220660,,0.9-1.6-1.7,3,May/2020/2037000.0/SOLD-Aug/2015/1300.0/SOLD
28,77-davis-street-kew-vic-3101,2700000,26-Mar-2020,4,3,2,-1,None,House,https://www.domain.com.au/77-davis-street-kew-vic-3101-2016117077,Ensuite,1.3-1.6-2.1,3,Mar/2020/2700000.0/SOLD
29,26-hillcrest-avenue-kew-vic-3101,2910000,11-Mar-2020,4,2,2,864,m2,House,https://www.domain.com.au/26-hillcrest-avenue-kew-vic-3101-2016097791,,0.8-2-2.1,3,Mar/2020/2910000.0/SOLD
30,30-cypress-way-kew-vic-3101,2180000,04-Mar-2020,4,3,2,482,m2,House,https://www.domain.com.au/30-cypress-way-kew-vic-3101-2016008681,"Air conditioning-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""-""Carpeted""",1.3-3.2-7,3,Mar/2020/2180000.0/SOLD-Jun/2012/2060000.0/SOLD
31,4-balmoral-avenue-kew-vic-3101,3450000,29-Feb-2020,4,2,2,828,m2,House,https://www.domain.com.au/4-balmoral-avenue-kew-vic-3101-2016045529,,0.7-1.2-1.8,3,Feb/2020/3450000.0/SOLD-Nov/1985/177500.0/SOLD
32,3-kent-street-kew-vic-3101,1830000,15-Feb-2020,4,2,-1,540,m2,House,https://www.domain.com.au/3-kent-street-kew-vic-3101-2016018550,,0.6-1.8-2.4,3,Feb/2020/1830000.0/SOLD-Nov/2008/850000.0/SOLD
33,36-foley-street-kew-vic-3101,2200000,06-Feb-2020,4,3,3,395,m2,House,https://www.domain.com.au/36-foley-street-kew-vic-3101-2017363428,,0.9-1.7-1.7,3,Feb/2020/2200000.0/SOLD-Dec/2018/1360000.0/SOLD-Jul/1984/77500.0/SOLD
34,4-arbour-drive-kew-vic-3101,2185000,06-Dec-2019,4,2,2,488,m2,House,https://www.domain.com.au/4-arbour-drive-kew-vic-3101-2015886081,,0.9-2.9-6.9,3,Dec/2019/2185000.0/SOLD
35,108-eglinton-street-kew-vic-3101,2425000,30-Nov-2019,4,2,1,-1,None,House,https://www.domain.com.au/108-eglinton-street-kew-vic-3101-2015842267,,0.7-2.1-6.4,3,Nov/2019/2425000.0/SOLD-Dec/2008/848000.0/SOLD-Nov/2000/365000.0/SOLD
36,3-edward-street-kew-vic-3101,3100000,23-Nov-2019,4,2,3,736,m2,House,https://www.domain.com.au/3-edward-street-kew-vic-3101-2015823680,,0.7-1.5-1.7,3,Nov/2019/850.0/SOLD
37,5-macartney-ave-kew-vic-3101,3275000,16-Nov-2019,4,2,4,-1,None,House,https://www.domain.com.au/5-macartney-ave-kew-vic-3101-2015794041,,0.7-1.3-1.9,3,
