address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
6-city-view-drive-maribyrnong-vic-3032,2025000,10-Jul-2021,5,3,2,-1,None,House,https://www.domain.com.au/6-city-view-drive-maribyrnong-vic-3032-2017076074,Study,1.4-1.6-3,3,Jul/2021/2025000.0/SOLD-Nov/1998/200000.0/SOLD
4-kallara-grove-maribyrnong-vic-3032,1270000,27-Mar-2021,5,2,1,-1,None,House,https://www.domain.com.au/4-kallara-grove-maribyrnong-vic-3032-2016822498,"Built in wardrobes*-""Secure Parking*""-""Fireplace(s)*""-""Heating*""-""Balcony / Deck*""",0.6-0.7-0.7,3,Mar/2021/1270000.0/SOLD
143-145-raleigh-road-maribyrnong-vic-3032,1780000,27-Mar-2021,6,2,2,-1,None,House,https://www.domain.com.au/143-145-raleigh-road-maribyrnong-vic-3032-2016840329,,1.2-1.6-3,3,
1-summit-rise-maribyrnong-vic-3032,1300000,19-Feb-2021,6,3,4,484,m2,House,https://www.domain.com.au/1-summit-rise-maribyrnong-vic-3032-2016903313,"Secure Parking*-""Heating*""-""Study*""-""Garden*""-""Balcony / Deck*""",1.4-1.5-1.8,3,Feb/2021/1300000.0/SOLD-Jun/2017/1100000.0/SOLD
23-kallara-grove-maribyrnong-vic-3032,930000,27-Nov-2020,5,3,2,-1,None,House,https://www.domain.com.au/23-kallara-grove-maribyrnong-vic-3032-2016562136,,0.5-0.7-3,3,Nov/2020/930000.0/SOLD-Apr/1997/55000.0/SOLD-Jun/1993/12929.0/SOLD
24-saltwater-crescent-maribyrnong-vic-3032,1645000,12-Apr-2020,5,3,2,-1,None,House,https://www.domain.com.au/24-saltwater-crescent-maribyrnong-vic-3032-2016155746,,1.3-1.5-1.7,3,Apr/2020/1645000.0/SOLD-Jul/2016/1640000.0/SOLD
55-magazine-way-maribyrnong-vic-3032,1450000,09-Apr-2020,5,3,2,-1,None,House,https://www.domain.com.au/55-magazine-way-maribyrnong-vic-3032-2016143238,,0.7-1.1-1.2,3,Apr/2020/1450000.0/SOLD-Apr/2009/470000.0/SOLD
139-raleigh-road-maribyrnong-vic-3032,750000,14-Mar-2020,5,2,2,423,m2,House,https://www.domain.com.au/139-raleigh-road-maribyrnong-vic-3032-2016082707,,1.2-1.6-3.1,3,Mar/2020/750000.0/SOLD-Aug/2011/387000.0/SOLD-Oct/1983/36000.0/SOLD
12-owen-street-maribyrnong-vic-3032,1170000,18-Dec-2019,5,3,2,522,m2,House,https://www.domain.com.au/12-owen-street-maribyrnong-vic-3032-2015850043,,0.4-0.8-0.9,3,Dec/2019/1170000.0/SOLD-Mar/2004/625000.0/SOLD-Oct/2001/236000.0/SOLD
2/3-magazine-way-maribyrnong-vic-3032,1305000,02-Dec-2019,5,2,4,-1,None,House,https://www.domain.com.au/2-3-magazine-way-maribyrnong-vic-3032-2015874989,,0.8-0.9-1.2,3,
1/17-waterside-place-maribyrnong-vic-3032,1450000,12-Oct-2019,5,4,2,-1,None,House,https://www.domain.com.au/1-17-waterside-place-maribyrnong-vic-3032-2015413366,,0.9-1.1-1.1,3,
3-la-scala-avenue-maribyrnong-vic-3032,1500000,04-Oct-2019,6,2,4,636,m2,House,https://www.domain.com.au/3-la-scala-avenue-maribyrnong-vic-3032-2015487045,"Heating*-""Air conditioning""-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Security Alarm""-""Garden""-""Secure Parking""-""Floorboards""-""Formal Lounge""-""Separate Dining""-""Terrace-Balcony""",0.4-1.1-3.3,3,Oct/2019/1500000.0/SOLD-Dec/2002/350000.0/SOLD
6-sunset-place-maribyrnong-vic-3032,1387000,18-Aug-2019,5,2,4,384,m2,House,https://www.domain.com.au/6-sunset-place-maribyrnong-vic-3032-2014668446,Study,0.4-1-3.2,3,Jul/2019/1387000.0/SOLD-May/2013/825550.0/SOLD
52a-mitchell-street-maribyrnong-vic-3032,830000,04-Apr-2019,5,3,2,452,m2,House,https://www.domain.com.au/52a-mitchell-street-maribyrnong-vic-3032-2015030745,,0.5-0.5-2.6,3,Apr/2019/830000.0/SOLD
8-owen-street-maribyrnong-vic-3032,1177000,23-Feb-2019,5,3,2,623,m2,House,https://www.domain.com.au/8-owen-street-maribyrnong-vic-3032-2014902258,,0.5-0.7-0.9,3,Feb/2019/1177000.0/SOLD-Jun/2013/875000.0/SOLD-Nov/2001/215000.0/SOLD
40-woodruff-avenue-maribyrnong-vic-3032,1245000,24-Nov-2018,6,3,2,-1,None,House,https://www.domain.com.au/40-woodruff-avenue-maribyrnong-vic-3032-2014401517,,0.6-1.2-1.3,3,Nov/2018/1245000.0/SOLD-Nov/2009/955000.0/SOLD-May/2006/275000.0/SOLD
9-waterford-avenue-maribyrnong-vic-3032,1100000,21-Aug-2018,5,2,2,-1,None,House,https://www.domain.com.au/9-waterford-avenue-maribyrnong-vic-3032-2014501903,,1.3-1.5-2.1,3,Aug/2018/1100000.0/SOLD
27-shearwater-crescent-maribyrnong-vic-3032,2400000,18-Jun-2018,5,2,2,-1,None,House,https://www.domain.com.au/27-shearwater-crescent-maribyrnong-vic-3032-2014357365,,0.6-0.6-1.3,3,May/2018/2400000.0/SOLD-Jul/2015/1870000.0/SOLD-Jun/2006/500000.0/SOLD
2-valnere-street-maribyrnong-vic-3032,1085000,19-May-2018,5,2,2,-1,None,House,https://www.domain.com.au/2-valnere-street-maribyrnong-vic-3032-2014338780,,0.5-0.6-2.6,3,May/2018/1085000.0/SOLD-Jun/1997/166000.0/SOLD-May/1980/32000.0/SOLD
5-the-grand-maribyrnong-vic-3032,1160000,28-Apr-2018,5,4,2,-1,None,House,https://www.domain.com.au/5-the-grand-maribyrnong-vic-3032-2014281099,,0.7-1-3.4,3,Apr/2018/1160000.0/SOLD-Jul/2016/932000.0/SOLD-Oct/2009/100000.0/SOLD
13-bream-street-maribyrnong-vic-3032,1725000,15-Nov-2017,5,2,2,-1,None,House,https://www.domain.com.au/13-bream-street-maribyrnong-vic-3032-2013924099,,1.1-1.8-3.2,3,Nov/2019/1420000.0/SOLD-Nov/2017/1725000.0/SOLD-Nov/2014/1450000.0/SOLD
18-valnere-street-maribyrnong-vic-3032,985000,22-Oct-2017,5,2,2,-1,None,House,https://www.domain.com.au/18-valnere-street-maribyrnong-vic-3032-2013861633,,0.4-0.7-2.6,3,Oct/2017/530.0/SOLD-Apr/2001/985000.0/SOLD
11-cornwall-place-maribyrnong-vic-3032,1700000,10-Oct-2017,5,3,6,-1,None,House,https://www.domain.com.au/11-cornwall-place-maribyrnong-vic-3032-2013906589,,0.5-1.1-1.1,3,Oct/2017/1700000.0/SOLD-Sep/2012/403750.0/SOLD
37-woodruff-avenue-maribyrnong-vic-3032,1330000,29-Sep-2017,5,2,2,-1,None,House,https://www.domain.com.au/37-woodruff-avenue-maribyrnong-vic-3032-2013881185,,0.7-1.2-1.3,3,Sep/2017/1330000.0/SOLD-Feb/2006/670000.0/SOLD-Oct/2004/288000.0/SOLD
46-williamson-road-maribyrnong-vic-3032,1170000,16-May-2017,5,3,2,-1,None,House,https://www.domain.com.au/46-williamson-road-maribyrnong-vic-3032-2013536877,,1-1.5-2.2,3,May/2017/1170000.0/SOLD-Nov/2000/405000.0/SOLD
23-saltwater-crescent-maribyrnong-vic-3032,1665000,15-May-2017,6,4,7,494,m2,House,https://www.domain.com.au/23-saltwater-crescent-maribyrnong-vic-3032-2013502469,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Security Alarm""-""Garden""-""Secure Parking""-""Formal Lounge""-""Separate Dining""-""Terrace-Balcony""",1.3-1.5-1.8,3,May/2017/1665000.0/SOLD-May/1998/164000.0/SOLD
6-high-court-maribyrnong-vic-3032,1620000,29-Apr-2017,5,3,2,-1,None,House,https://www.domain.com.au/6-high-court-maribyrnong-vic-3032-2013497404,,1.3-1.8-3.1,3,Apr/2017/1620000.0/SOLD-Nov/2013/1126000.0/SOLD-Jun/2004/550000.0/SOLD
7-woodruff-avenue-maribyrnong-vic-3032,1425000,27-Mar-2017,5,2,4,-1,None,House,https://www.domain.com.au/7-woodruff-avenue-maribyrnong-vic-3032-2013437955,,0.6-1.3-1.3,3,Mar/2017/1425000.0/SOLD-Aug/2005/343500.0/SOLD-Oct/2004/348000.0/SOLD
1-mitchell-street-maribyrnong-vic-3032,1157000,25-Mar-2017,5,1,3,575,m2,House,https://www.domain.com.au/1-mitchell-street-maribyrnong-vic-3032-2013427353,,0.5-0.7-3.1,3,
29-shearwater-cr-maribyrnong-vic-3032,1900000,01-Mar-2017,5,3,2,-1,None,House,https://www.domain.com.au/29-shearwater-cr-maribyrnong-vic-3032-2013192680,,0.6-0.6-1.3,3,Feb/2017/1900000.0/SOLD-May/2014/1750000.0/SOLD-Dec/2004/495000.0/SOLD
11-cedar-drive-maribyrnong-vic-3032,990000,10-Dec-2016,5,2,2,-1,None,House,https://www.domain.com.au/11-cedar-drive-maribyrnong-vic-3032-2013224817,,1.3-1.5-1.9,3,Dec/2016/990000.0/SOLD
5-sandpiper-grove-maribyrnong-vic-3032,1160000,01-Dec-2016,5,2,2,-1,None,House,https://www.domain.com.au/5-sandpiper-grove-maribyrnong-vic-3032-2013203220,,1.1-1.5-3.5,3,
4-kallara-grove-maribyrnong-vic-3032,962000,22-Oct-2016,5,2,2,-1,None,House,https://www.domain.com.au/4-kallara-grove-maribyrnong-vic-3032-2012994161,,0.6-0.7-0.7,3,Mar/2021/1270000.0/SOLD
62-skyline-drive-maribyrnong-vic-3032,912000,14-Oct-2016,5,3,2,-1,None,House,https://www.domain.com.au/62-skyline-drive-maribyrnong-vic-3032-2013063921,City Views,0.7-1-3.4,3,Dec/2020/1050000.0/SOLD-Oct/2016/912000.0/SOLD
32-riverpark-terrace-maribyrnong-vic-3032,1866000,11-Oct-2016,5,5,2,-1,None,House,https://www.domain.com.au/32-riverpark-terrace-maribyrnong-vic-3032-2012784406,,1.3-1.5-2,3,
15-cornwall-place-maribyrnong-vic-3032,1480000,05-Oct-2016,6,3,4,-1,None,House,https://www.domain.com.au/15-cornwall-place-maribyrnong-vic-3032-2013051989,,0.5-1.1-1.1,3,Sep/2012/350000.0/SOLD
5-high-court-maribyrnong-vic-3032,1448000,21-Sep-2016,5,2,2,-1,None,House,https://www.domain.com.au/5-high-court-maribyrnong-vic-3032-2013023167,,1.3-1.8-3.1,3,Dec/2016/1448000.0/SOLD-Jul/2015/1310000.0/SOLD-Jan/2011/1145000.0/SOLD
10-view-grand-road-maribyrnong-vic-3032,1200000,16-Sep-2016,5,3,3,-1,None,House,https://www.domain.com.au/10-view-grand-road-maribyrnong-vic-3032-2012776530,"Ensuite(s)-""Secure Parking""",1.3-1.7-3,3,Aug/2016/1200000.0/SOLD-Apr/2009/900000.0/SOLD
4-platypus-court-maribyrnong-vic-3032,1150000,01-Sep-2016,5,3,2,-1,None,House,https://www.domain.com.au/4-platypus-court-maribyrnong-vic-3032-2012991426,,1.4-1.4-2.1,3,Aug/2016/1150000.0/SOLD-Feb/2001/486000.0/SOLD
24-saltwater-crescent-maribyrnong-vic-3032,1640000,05-Jul-2016,5,3,2,-1,None,House,https://www.domain.com.au/24-saltwater-crescent-maribyrnong-vic-3032-2012830346,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Formal Lounge""-""Garden""-""Floorboards""-""Security Alarm""-""Secure Parking""-""Separate Dining""-""Terrace-Balcony""",1.3-1.5-1.7,3,Apr/2020/1645000.0/SOLD-Jul/2016/1640000.0/SOLD
7-pridham-street-maribyrnong-vic-3032,1151000,25-Jun-2016,5,2,5,-1,None,House,https://www.domain.com.au/7-pridham-street-maribyrnong-vic-3032-2012840263,,0.3-0.9-3.1,3,Jun/2016/1151000.0/SOLD-Jul/1999/200000.0/SOLD-Nov/1997/45000.0/SOLD
29-cedar-drive-maribyrnong-vic-3032,845000,11-Apr-2016,5,4,2,-1,None,House,https://www.domain.com.au/29-cedar-drive-maribyrnong-vic-3032-2012585413,,1.4-1.4-1.8,3,
79-edgewater-boulevard-maribyrnong-vic-3032,1150000,01-Oct-2015,5,2,2,-1,None,House,https://www.domain.com.au/79-edgewater-boulevard-maribyrnong-vic-3032-2012267937,,0.7-1-1.3,3,Oct/2015/1150000.0/SOLD-Aug/2005/260000.0/SOLD
5-magazine-way-maribyrnong-vic-3032,1241000,29-Aug-2015,5,3,2,-1,None,House,https://www.domain.com.au/5-magazine-way-maribyrnong-vic-3032-2012165227,,0.8-0.8-1.2,3,Aug/2015/1241000.0/SOLD-Jan/2005/255000.0/SOLD
51-endeavour-drive-maribyrnong-vic-3032,905000,15-Aug-2015,5,2,2,-1,None,House,https://www.domain.com.au/51-endeavour-drive-maribyrnong-vic-3032-2012127476,,1.3-1.8-2.6,3,Aug/2015/905000.0/SOLD-Jan/2012/720000.0/SOLD-Oct/2008/610000.0/SOLD
12-the-esplanade-maribyrnong-vic-3032,1330000,15-Jul-2015,6,3,4,646,m2,House,https://www.domain.com.au/12-the-esplanade-maribyrnong-vic-3032-2011651943,"Ensuite-""Balcony""-""Remote Garage""-""Secure Parking""-""Fully fenced""-""Split System Heating""-""Split System AirCon""-""Built in wardrobes""-""Dishwasher""-""Ducted Heating""-""Stainless Steel Appliances""",0.8-1.7-4.2,3,May/2015/1330000.0/SOLD-Apr/2014/1120000.0/SOLD-Oct/2007/825000.0/SOLD
1-woodruff-avenue-maribyrnong-vic-3032,1130000,14-Nov-2014,5,3,2,-1,None,House,https://www.domain.com.au/1-woodruff-avenue-maribyrnong-vic-3032-2011535253,,0.5-1.1-1.2,3,Nov/2014/1130000.0/SOLD-May/2003/305000.0/SOLD
107-raleigh-road-maribyrnong-vic-3032,1075000,22-Jul-2014,5,3,2,-1,None,House,https://www.domain.com.au/107-raleigh-road-maribyrnong-vic-3032-2011267493,"Close to schools-""Close to shops""-""Close to transport""",1.2-1.5-3.3,3,
15-central-park-avenue-maribyrnong-vic-3032,855000,12-Jun-2014,5,2,2,-1,None,House,https://www.domain.com.au/15-central-park-avenue-maribyrnong-vic-3032-2011145286,,1.3-1.5-2,3,Jun/2014/855000.0/SOLD-Nov/1997/81500.0/SOLD
20-lakeside-crescent-maribyrnong-vic-3032,1650000,10-Jun-2014,5,4,2,-1,None,House,https://www.domain.com.au/20-lakeside-crescent-maribyrnong-vic-3032-2010915631,,1-1-1.2,3,Apr/2014/1650000.0/SOLD-Mar/2006/430000.0/SOLD
29-shearwater-crescent-maribyrnong-vic-3032,1750000,15-May-2014,5,3,2,-1,None,House,https://www.domain.com.au/29-shearwater-crescent-maribyrnong-vic-3032-2010994861,,0.6-0.6-1.3,3,Feb/2017/1900000.0/SOLD-May/2014/1750000.0/SOLD-Dec/2004/495000.0/SOLD
24-lakeside-crescent-maribyrnong-vic-3032,2226000,21-Feb-2014,5,2,2,-1,None,House,https://www.domain.com.au/24-lakeside-crescent-maribyrnong-vic-3032-2010853531,,1-1-1.1,3,Dec/2013/2226000.0/SOLD-Mar/2006/620000.0/SOLD
6-high-court-maribyrnong-vic-3032,1126000,09-Nov-2013,5,3,2,-1,None,House,https://www.domain.com.au/6-high-court-maribyrnong-vic-3032-2010741908,,1.3-1.8-3.1,3,Apr/2017/1620000.0/SOLD-Nov/2013/1126000.0/SOLD-Jun/2004/550000.0/SOLD
8-owen-street-maribyrnong-vic-3032,875000,15-Jun-2013,5,3,2,-1,None,House,https://www.domain.com.au/8-owen-street-maribyrnong-vic-3032-2010461229,,0.5-0.7-0.9,3,Feb/2019/1177000.0/SOLD-Jun/2013/875000.0/SOLD-Nov/2001/215000.0/SOLD
1-rylie-lane-maribyrnong-vic-3032,630000,07-Jun-2013,5,2,2,-1,None,House,https://www.domain.com.au/1-rylie-lane-maribyrnong-vic-3032-2010299042,,1.3-1.6-2.3,3,May/2013/630000.0/SOLD
1-raven-lane-maribyrnong-vic-3032,945000,13-May-2013,5,3,2,-1,None,House,https://www.domain.com.au/1-raven-lane-maribyrnong-vic-3032-2010371202,,0.8-0.9-1.3,3,Jun/2013/945000.0/SOLD-Dec/2007/838000.0/SOLD
6-sunset-place-maribyrnong-vic-3032,825550,30-Apr-2013,5,2,2,-1,None,House,https://www.domain.com.au/6-sunset-place-maribyrnong-vic-3032-2010239870,,0.4-1-3.2,3,
70-cumberland-drive-maribyrnong-vic-3032,2150000,19-Apr-2013,5,3,2,-1,None,House,https://www.domain.com.au/70-cumberland-drive-maribyrnong-vic-3032-2010326008,,0.7-0.7-1.2,3,Apr/2013/2150000.0/SOLD-May/2007/615000.0/SOLD
3-lyric-street-maribyrnong-vic-3032,886500,06-Apr-2013,5,3,2,-1,None,House,https://www.domain.com.au/3-lyric-street-maribyrnong-vic-3032-2010264398,,0.4-1-3.2,3,Apr/2013/886500.0/SOLD-Aug/2002/270000.0/SOLD
36-rowe-st-maribyrnong-vic-3032,600000,21-Feb-2013,5,2,-1,-1,None,House,https://www.domain.com.au/36-rowe-st-maribyrnong-vic-3032-2010221906,"Air conditioning-""Close to schools""-""Close to shops""-""Close to transport""",0.1-0.9-2.9,3,Jan/2013/600000.0/SOLD
39-woodruff-avenue-maribyrnong-vic-3032,1145000,24-Nov-2012,5,3,2,-1,None,House,https://www.domain.com.au/39-woodruff-avenue-maribyrnong-vic-3032-2010093731,,0.7-1.2-1.3,3,
