"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
20-cairn-road-mccrae-vic-3938,2870000,04-Dec-2021,4,2,6,1485,m2,House,https://www.domain.com.au/20-cairn-road-mccrae-vic-3938-2017395056,Air conditioning*-Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Shed*-Solar panels*,1.9-3.9-2.5,3,Dec/2021/2870000.0/SOLD-Dec/2015/550000.0/SOLD
585-point-nepean-road-mccrae-vic-3938,1800000,02-Dec-2021,4,2,2,813,m2,House,https://www.domain.com.au/585-point-nepean-road-mccrae-vic-3938-2017204262,nan,2.1-5-4,3,Dec/2021/1800000.0/SOLD-Jan/2012/735000.0/SOLD
241-bayview-road-mccrae-vic-3938,911000,29-Oct-2021,4,3,2,832,m2,House,https://www.domain.com.au/241-bayview-road-mccrae-vic-3938-2017262618,Secure Parking*-Heating*-Dishwasher*,1.2-2.9-1.7,3,Oct/2021/911000.0/SOLD
14-talbot-grove-mccrae-vic-3938,1025000,12-Oct-2021,4,3,2,617,m2,House,https://www.domain.com.au/14-talbot-grove-mccrae-vic-3938-2017283227,Internal Laundry*-Secure Parking*,1.6-3.3-2,3,Oct/2021/1024999.9999999999/SOLD-Jun/2017/320.0/SOLD
22-arthurs-avenue-mccrae-vic-3938,1480000,31-Jul-2021,4,3,3,941,m2,House,https://www.domain.com.au/22-arthurs-avenue-mccrae-vic-3938-2017091509,Air conditioning*-Internal Laundry*-Secure Parking*-Garden*,2-5.1-3.9,3,Jul/2021/1480000.0/SOLD-Mar/2015/618000.0/SOLD
15-surrey-street-mccrae-vic-3938,688000,17-Jul-2021,4,2,1,541,m2,House,https://www.domain.com.au/15-surrey-street-mccrae-vic-3938-2017090325,Built in wardrobes*-Internal Laundry*-Heating*-Garden*,1.2-3.1-2,3,Jul/2021/688000.0/SOLD-Jan/1986/57000.0/SOLD
27a-bass-street-mccrae-vic-3938,1225000,02-Jul-2021,4,2,2,940,m2,House,https://www.domain.com.au/27a-bass-street-mccrae-vic-3938-2017068376,Secure Parking*-Heating*-Study*-Garden*-Balcony / Deck-Dishwasher-Fully fenced-Fireplace(s)-Shed-Air conditioning-Water Views,2.2-4.1-2.7,3,Jun/2021/1225000.0/SOLD-Feb/2020/825000.0/SOLD
27-bartels-street-mccrae-vic-3938,1640000,23-May-2021,4,2,4,1011,m2,House,https://www.domain.com.au/27-bartels-street-mccrae-vic-3938-2016931232,Pets Allowed*-Balcony / Deck-Built in wardrobes-Garden / Courtyard-Dishwasher-Floorboards-Fully fenced-Heating-Fireplace(s)-Secure Parking-Rainwater storage tank-Ensuite-Water Views,2-4.2-3.2,3,May/2021/1640000.0/SOLD-Sep/1998/175000.0/SOLD
191-bayview-road-mccrae-vic-3938,1095000,14-May-2021,4,2,4,669,m2,House,https://www.domain.com.au/191-bayview-road-mccrae-vic-3938-2016933060,nan,1.4-3.4-2.2,3,May/2021/1095000.0/SOLD-Aug/2009/325000.0/SOLD
110-cinerama-crescent-mccrae-vic-3938,1238000,30-Apr-2021,4,3,3,974,m2,House,https://www.domain.com.au/110-cinerama-crescent-mccrae-vic-3938-2016904550,Internal Laundry*-Secure Parking*-Bath*-Fireplace(s)*-Dishwasher*-Shed*-Garden*-Balcony / Deck*,1.8-3.6-2.2,3,Apr/2021/1238000.0/SOLD-Feb/2018/850000.0/SOLD-Jun/2013/630000.0/SOLD
