address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
9-whitfield-court-mill-park-vic-3082,1000000,07-Dec-2021,4,2,2,956,m2,House,https://www.domain.com.au/9-whitfield-court-mill-park-vic-3082-2017425848,"Secure Parking*-""Heating*""-""Solar panels*""",0.3-1.1-3.1,3,Dec/2021/1000000.0/SOLD-Oct/2014/490000.0/SOLD-Aug/1990/185000.0/SOLD
22-golf-links-drive-mill-park-vic-3082,805000,04-Dec-2021,4,2,2,598,m2,House,https://www.domain.com.au/22-golf-links-drive-mill-park-vic-3082-2017402077,"Secure Parking*-""Heating*""",0.5-1.2-3.1,3,Dec/2021/805000.0/SOLD-Feb/2011/425000.0/SOLD-Aug/2002/242500.0/SOLD
11-melrose-place-mill-park-vic-3082,765000,02-Dec-2021,4,2,1,302,m2,House,https://www.domain.com.au/11-melrose-place-mill-park-vic-3082-2017399866,"Secure Parking*-""Heating*""-""Shed*""-""Study""",0.6-1.3-4,3,Dec/2021/765000.0/SOLD-Dec/2011/422000.0/SOLD-Feb/2001/69000.0/SOLD
24-development-boulevard-mill-park-vic-3082,1185000,24-Nov-2021,4,2,2,686,m2,House,https://www.domain.com.au/24-development-boulevard-mill-park-vic-3082-2017396806,"Secure Parking*-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""-""Carpeted""-""Window Treatments""-""Split System""-""Study""",1.2-1.9-1.7,3,Dec/2021/1185000.0/SOLD-Dec/1999/90000.0/SOLD
54-development-boulevard-mill-park-vic-3082,1100000,22-Nov-2021,4,2,2,646,m2,House,https://www.domain.com.au/54-development-boulevard-mill-park-vic-3082-2017355675,"Secure Parking*-""Balcony / Deck*""-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""-""Carpeted""-""Window Treatments""",1.1-1.8-2.1,3,Nov/2021/1100000.0/SOLD-Aug/1999/93500.0/SOLD
166-blossom-park-drive-mill-park-vic-3082,975000,20-Nov-2021,4,2,2,634,m2,House,https://www.domain.com.au/166-blossom-park-drive-mill-park-vic-3082-2017361758,"Secure Parking*-""Heating*""",0.5-1.7-1.9,3,Nov/2021/975000.0/SOLD-Apr/1997/71000.0/SOLD-Mar/1996/63000.0/SOLD
111-mill-park-drive-mill-park-vic-3082,856000,20-Nov-2021,4,2,4,700,m2,House,https://www.domain.com.au/111-mill-park-drive-mill-park-vic-3082-2017361730,"Secure Parking*-""Heating*""-""Dishwasher*""-""Shed*""-""Balcony / Deck*""",0.4-0.9-4.2,3,Nov/2021/856000.0/SOLD-Apr/2017/715000.0/SOLD-Apr/2004/320000.0/SOLD
1-roycroft-avenue-mill-park-vic-3082,765000,13-Nov-2021,4,2,4,586,m2,House,https://www.domain.com.au/1-roycroft-avenue-mill-park-vic-3082-2017348034,"Secure Parking*-""Heating*""",0.7-0.8-3.9,3,Nov/2021/765000.0/SOLD-Oct/2017/665000.0/SOLD-Sep/2009/395000.0/SOLD
22-veronica-crescent-mill-park-vic-3082,790000,13-Nov-2021,4,2,2,614,m2,House,https://www.domain.com.au/22-veronica-crescent-mill-park-vic-3082-2017342581,Laundry,0.5-1.3-1.4,3,Nov/2021/790000.0/SOLD-Jan/2000/165000.0/SOLD-Apr/1991/125000.0/SOLD
8-romeo-court-mill-park-vic-3082,895000,06-Nov-2021,4,2,1,589,m2,House,https://www.domain.com.au/8-romeo-court-mill-park-vic-3082-2017321879,"Heating*-""Dishwasher*""-""Shed*""",1-1.5-5,3,Nov/2021/895000.0/SOLD-Dec/1992/153000.0/SOLD
128-blossom-park-drive-mill-park-vic-3082,1255000,30-Oct-2021,4,2,3,644,m2,House,https://www.domain.com.au/128-blossom-park-drive-mill-park-vic-3082-2017292548,"Internal Laundry*-""Secure Parking*""-""Balcony / Deck*""-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Spa""-""Close to schools""-""Ensuite""-""Window Treatments""-""Study""-""Split System""",0.4-1.8-2,3,Oct/2021/1255000.0/SOLD-Oct/2017/1075000.0/SOLD-Sep/2007/565000.0/SOLD
11-clayton-court-mill-park-vic-3082,677000,30-Oct-2021,4,2,3,610,m2,House,https://www.domain.com.au/11-clayton-court-mill-park-vic-3082-2017316242,"Secure Parking*-""Air conditioning""-""Heating""-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""-""Window Treatments""",0.6-0.9-2.8,3,Oct/2021/677000.0/SOLD-Mar/2005/286000.0/SOLD-Jul/1993/52000.0/SOLD
