"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
5-inglewood-court-mill-park-vic-3082,1180000,04-Dec-2021,5,3,2,745,m2,House,https://www.domain.com.au/5-inglewood-court-mill-park-vic-3082-2017384570,Built in wardrobes-Separate Dining Room-Secure Parking,0.9-1.8-2.2,3,Dec/2021/1180000.0/SOLD-Jan/2020/860000.0/SOLD-Aug/2017/806888.0/SOLD
7-henry-cable-court-mill-park-vic-3082,1050000,04-Dec-2021,5,2,2,560,m2,House,https://www.domain.com.au/7-henry-cable-court-mill-park-vic-3082-2017400600,Air conditioning-Floorboards-Built in wardrobes-Internal Laundry-Pets Allowed-Bath-Separate Dining Room-Heating-Dishwasher-Study-Secure Parking-Shed-Fully fenced-Garden / Courtyard,0.3-1.3-3.2,3,Dec/2021/1050000.0/SOLD-Dec/2014/570000.0/SOLD-Feb/2001/94000.0/SOLD
12-parkhill-crescent-mill-park-vic-3082,1350000,27-Nov-2021,5,2,2,689,m2,House,https://www.domain.com.au/12-parkhill-crescent-mill-park-vic-3082-2017380435,nan,0.7-1.1-1.5,3,Nov/2021/1350000.0/SOLD-May/1996/78000.0/SOLD
142-blossom-park-drive-mill-park-vic-3082,1478000,20-Nov-2021,5,3,2,-1,None,House,https://www.domain.com.au/142-blossom-park-drive-mill-park-vic-3082-2017347868,Internal Laundry*-Secure Parking*-Fireplace(s)*-Dishwasher*-Balcony / Deck*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Study,0.3-1.7-1.9,3,Nov/2021/1478000.0/SOLD-Mar/2000/120000.0/SOLD-Aug/1994/74000.0/SOLD
7-parkhaven-way-mill-park-vic-3082,1175000,15-Nov-2021,5,2,2,600,m2,House,https://www.domain.com.au/7-parkhaven-way-mill-park-vic-3082-2017342410,Internal Laundry*-Secure Parking*-Intercom*-Bath*-Heating*-Dishwasher*-Study,1-1.6-1.9,3,Nov/2021/1175000.0/SOLD-Sep/2013/655000.0/SOLD-Jun/2011/680000.0/SOLD
31-telopea-crescent-mill-park-vic-3082,1690000,13-Nov-2021,5,3,2,870,m2,House,https://www.domain.com.au/31-telopea-crescent-mill-park-vic-3082-2017319851,nan,0.4-1-1.2,3,Nov/2021/1690000.0/SOLD
299-childs-road-mill-park-vic-3082,860000,08-Nov-2021,6,6,4,640,m2,House,https://www.domain.com.au/299-childs-road-mill-park-vic-3082-2016310029,Ensuite,0.5-0.6-3.7,3,Aug/2018/640000.0/SOLD
29-delacombe-drive-mill-park-vic-3082,1570000,07-Oct-2021,5,4,2,1364,m2,House,https://www.domain.com.au/29-delacombe-drive-mill-park-vic-3082-2017170516,Internal Laundry*-Secure Parking*-Swimming Pool*-Fireplace(s)*-Heating*-Shed*-Garden*-Solar panels*-Study,0.9-2.3-1.7,3,Oct/2021/1570000.0/SOLD
10-emmerson-court-mill-park-vic-3082,790000,24-Jul-2021,5,2,2,-1,None,House,https://www.domain.com.au/10-emmerson-court-mill-park-vic-3082-2017123728,nan,0.7-0.8-4,3,Jul/2021/790000.0/SOLD-Dec/1994/141000.0/SOLD
6-latham-close-mill-park-vic-3082,997500,21-Jun-2021,5,2,5,538,m2,House,https://www.domain.com.au/6-latham-close-mill-park-vic-3082-2016988062,Gas*-Secure Parking*-Bath*-Heating*-Dishwasher*-Garden*-Balcony / Deck*,0.7-1.3-1.7,3,Jun/2021/997500.0/SOLD-Jul/2012/460.0/SOLD
100-telopea-crescent-mill-park-vic-3082,1330000,27-May-2021,5,2,2,-1,None,House,https://www.domain.com.au/100-telopea-crescent-mill-park-vic-3082-2016986746,Internal Laundry*-Secure Parking*-Fireplace(s)*-Heating*-Garden*,0.3-1.3-1.6,3,May/2021/1330000.0/SOLD-Feb/1990/76000.0/SOLD
19-pollock-drive-mill-park-vic-3082,796000,15-May-2021,5,3,1,505,m2,House,https://www.domain.com.au/19-pollock-drive-mill-park-vic-3082-2016956435,Secure Parking*-Heating*-Garden*-Study,1.3-1.5-4.7,3,May/2021/796000.0/SOLD-Dec/2013/480000.0/SOLD-May/1998/53000.0/SOLD
75-mill-park-drive-mill-park-vic-3082,785000,08-May-2021,5,2,2,637,m2,House,https://www.domain.com.au/75-mill-park-drive-mill-park-vic-3082-2016935611,Pets Allowed*-Heating*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden,0.4-1.3-4.1,3,May/2021/785000.0/SOLD-Mar/2017/500000.0/SOLD
6-whitfield-court-mill-park-vic-3082,773000,17-Apr-2021,5,2,2,915,m2,House,https://www.domain.com.au/6-whitfield-court-mill-park-vic-3082-2016892840,Built in wardrobes*-Secure Parking*-Bath*-Heating*-Study*-Garden*,0.3-1.1-3.1,3,Apr/2021/773000.0/SOLD-Nov/1988/152000.0/SOLD-Oct/1985/29500.0/SOLD
1-landy-close-mill-park-vic-3082,810000,06-Mar-2021,7,3,2,-1,None,House,https://www.domain.com.au/1-landy-close-mill-park-vic-3082-2016581427,nan,0.4-0.9-3.5,3,Mar/2021/810000.0/SOLD
32-coventry-crescent-mill-park-vic-3082,760000,18-Feb-2021,6,2,2,615,m2,House,https://www.domain.com.au/32-coventry-crescent-mill-park-vic-3082-2016690091,nan,0.4-1.5-4.9,3,Feb/2021/760000.0/SOLD-Oct/2018/710000.0/SOLD-Jun/1977/58000.0/SOLD
1-gardiner-court-mill-park-vic-3082,963000,12-Feb-2021,5,2,4,675,m2,House,https://www.domain.com.au/1-gardiner-court-mill-park-vic-3082-2016745868,Internal Laundry*-Secure Parking*-Fireplace(s)*-Shed*-Study,0.6-0.8-4.8,3,Feb/2021/963000.0/SOLD
142-mill-park-drive-mill-park-vic-3082,801000,06-Feb-2021,5,2,2,680,m2,House,https://www.domain.com.au/142-mill-park-drive-mill-park-vic-3082-2016726084,Heating*-Study*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining,0.4-0.9-4.2,3,Feb/2021/530.0/SOLD-Dec/2015/801000.0/SOLD
68-pindari-avenue-mill-park-vic-3082,880000,06-Feb-2021,5,3,2,554,m2,House,https://www.domain.com.au/68-pindari-avenue-mill-park-vic-3082-2016732050,nan,0.2-1.4-3.5,3,Feb/2021/880000.0/SOLD-Feb/1998/65000.0/SOLD-Aug/1991/53000.0/SOLD
