address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
81-beauchamp-street-preston-vic-3072,1410000,06-Dec-2021,4,2,2,385,m2,House,https://www.domain.com.au/81-beauchamp-street-preston-vic-3072-2017383659,"Air conditioning*-""Built in wardrobes*""-""Internal Laundry*""-""Secure Parking*""-""Heating*""-""Balcony / Deck*""-""Study""",0.4-0.9-2.7,3,Dec/2021/1410000.0/SOLD-Feb/1977/31000.0/SOLD
2-stanworth-court-preston-vic-3072,1361000,04-Dec-2021,4,1,2,835,m2,House,https://www.domain.com.au/2-stanworth-court-preston-vic-3072-2017395715,Heating*,0.5-0.8-2.5,3,Dec/2021/1361000.0/SOLD
2-lunette-avenue-preston-vic-3072,1350000,30-Nov-2021,4,1,2,-1,None,House,https://www.domain.com.au/2-lunette-avenue-preston-vic-3072-2017380175,,0.5-0.9-2.4,3,
113b-tyler-street-preston-vic-3072,1250000,29-Nov-2021,4,3,2,323,m2,House,https://www.domain.com.au/113b-tyler-street-preston-vic-3072-2017411543,"Secure Parking*-""Bath*""-""Heating*""",0.3-0.8-1.2,3,Dec/2021/1250000.0/SOLD
28-oak-street-preston-vic-3072,797000,27-Nov-2021,4,1,2,297,m2,House,https://www.domain.com.au/28-oak-street-preston-vic-3072-2017380392,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Heating*""-""Fully fenced*""",0.1-0.8-1.4,3,
3-grandview-road-preston-vic-3072,1901000,26-Nov-2021,4,2,2,571,m2,House,https://www.domain.com.au/3-grandview-road-preston-vic-3072-2017378728,Study,0.9-1.2-2.6,3,Dec/2021/1901000.0/SOLD-Nov/1991/108000.0/SOLD
7-collins-street-preston-vic-3072,1484000,20-Nov-2021,4,1,2,512,m2,House,https://www.domain.com.au/7-collins-street-preston-vic-3072-2017366833,"Internal Laundry*-""Heating""-""Close to transport""-""Close to shops""-""Close to schools""-""Toilet Facilities""",0.4-1.2-1.8,3,Nov/2021/1484000.0/SOLD
5-isaacs-street-preston-vic-3072,1330000,13-Nov-2021,4,1,2,491,m2,House,https://www.domain.com.au/5-isaacs-street-preston-vic-3072-2017341158,,0.7-0.9-2.3,3,Nov/2021/1330000.0/SOLD-Mar/1992/195.0/SOLD
20-garnet-street-preston-vic-3072,1300000,13-Nov-2021,4,1,2,445,m2,House,https://www.domain.com.au/20-garnet-street-preston-vic-3072-2017337820,"Gas*-""Internal Laundry*""-""Dishwasher*""-""Study*""-""Solar panels*""",0.4-0.6-2.5,3,Nov/2021/1300000.0/SOLD-Mar/2011/590000.0/SOLD
71-pender-street-preston-vic-3072,1532000,06-Nov-2021,4,1,2,-1,None,House,https://www.domain.com.au/71-pender-street-preston-vic-3072-2017321361,"Internal Laundry*-""Fireplace(s)*""-""Heating*""-""Dishwasher*""-""Balcony / Deck*""",0.5-0.8-2.6,3,Nov/2021/1532000.0/SOLD-Jan/1997/99000.0/SOLD-Oct/1993/176500.0/SOLD
8-mutimer-street-preston-vic-3072,1580000,06-Nov-2021,4,2,4,568,m2,House,https://www.domain.com.au/8-mutimer-street-preston-vic-3072-2017312719,,0.6-1-3.4,3,Sep/1988/135000.0/SOLD
30-erval-avenue-preston-vic-3072,1660000,23-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/30-erval-avenue-preston-vic-3072-2017232541,,0.4-0.6-3,3,Oct/2021/1660000.0/SOLD
100-regent-street-preston-vic-3072,1755000,18-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/100-regent-street-preston-vic-3072-2017290451,"Built in wardrobes*-""Secure Parking*""-""Intercom*""-""Heating*""-""Balcony / Deck*""",0.8-1.7-2.2,3,Oct/2021/1755000.0/SOLD-Nov/1996/135000.0/SOLD
6a-ellison-street-preston-vic-3072,1210000,12-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/6a-ellison-street-preston-vic-3072-2017240467,"Internal Laundry*-""Secure Parking*""-""Intercom*""-""Heating*""",0.2-1.1-2,3,Oct/2021/1210000.0/SOLD-Sep/2018/1085000.0/SOLD
10-pender-street-preston-vic-3072,1830000,02-Oct-2021,4,3,2,-1,None,House,https://www.domain.com.au/10-pender-street-preston-vic-3072-2017163741,,0.6-0.7-2.3,3,Oct/2021/1830000.0/SOLD-Jun/2016/875000.0/SOLD
16-sylvester-grove-preston-vic-3072,1185000,26-Sep-2021,4,1,2,-1,None,House,https://www.domain.com.au/16-sylvester-grove-preston-vic-3072-2017258820,"Heating*-""Balcony / Deck*""",0.8-1-1,3,Sep/2021/1185000.0/SOLD-Oct/2018/755000.0/SOLD
18-youngman-street-preston-vic-3072,1435000,19-Jul-2021,4,2,4,-1,None,House,https://www.domain.com.au/18-youngman-street-preston-vic-3072-2017004117,,0.6-0.7-2.5,3,Jul/2021/750.0/SOLD-Nov/2017/1435000.0/SOLD
15-laha-crescent-preston-vic-3072,900000,17-Jul-2021,4,1,2,600,m2,House,https://www.domain.com.au/15-laha-crescent-preston-vic-3072-2017088402,"Heating*-""Garden*""",0.4-0.6-1.5,3,Jul/2021/900000.0/SOLD-Mar/2004/268000.0/SOLD
83-bruce-street-preston-vic-3072,1820000,10-Jul-2021,4,2,4,617,m2,House,https://www.domain.com.au/83-bruce-street-preston-vic-3072-2017067228,"Secure Parking*-""Heating*""-""Garden*""-""Balcony / Deck*""",0.5-1.1-1.9,3,Jul/2021/1820000.0/SOLD-Dec/1979/100000.0/SOLD-Nov/1978/32500.0/SOLD
17a-tennyson-avenue-preston-vic-3072,1360000,10-Jul-2021,4,2,2,-1,None,House,https://www.domain.com.au/17a-tennyson-avenue-preston-vic-3072-2017072148,"Air conditioning*-""Internal Laundry*""-""Secure Parking*""-""Bath*""-""Heating*""-""Garden*""-""Balcony / Deck*""",0.2-1-2.2,3,Jul/2021/1360000.0/SOLD
2a-leonard-street-preston-vic-3072,1444000,10-Jul-2021,4,1,2,-1,None,House,https://www.domain.com.au/2a-leonard-street-preston-vic-3072-2017079186,,0.4-1-2.4,3,Jul/2021/1444000.0/SOLD
