,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,356-gilbert-road-preston-vic-3072,1520000,23-Oct-2021,7,2,4,660,m2,House,https://www.domain.com.au/356-gilbert-road-preston-vic-3072-2017284591,,0.4-1.5-2.9,3,Oct/2021/1520000.0/SOLD
1,648-bell-street-preston-vic-3072,1550000,16-Oct-2021,5,1,1,1045,m2,House,https://www.domain.com.au/648-bell-street-preston-vic-3072-2017309014,,0.5-1.4-2.3,3,Nov/2021/1550000.0/SOLD
2,218-murray-road-preston-vic-3072,1180000,13-Oct-2021,5,3,2,397,m2,House,https://www.domain.com.au/218-murray-road-preston-vic-3072-2017292517,"Secure Parking*-""Balcony / Deck*""",0.4-0.9-2.5,3,Oct/2021/1180000.0/SOLD-Feb/2018/870000.0/SOLD-Feb/2011/566000.0/SOLD
3,329-331-plenty-road-preston-vic-3072,2600000,29-Jul-2021,6,2,3,1125,m2,House,https://www.domain.com.au/329-331-plenty-road-preston-vic-3072-2017129782,,0.2-0.7-3.1,3,
4,45-goldsmith-avenue-preston-vic-3072,1580000,09-Jul-2021,5,3,4,553,m2,House,https://www.domain.com.au/45-goldsmith-avenue-preston-vic-3072-2016924368,"Gas*-""Secure Parking*""-""Bath*""-""Heating*""-""Dishwasher*""-""Study*""-""Garden*""-""Balcony / Deck*""",0.3-0.9-2.2,3,Jul/2021/1580000.0/SOLD-May/1990/310000.0/SOLD-Aug/1986/60000.0/SOLD
5,86-wood-street-preston-vic-3072,1190000,05-Jun-2021,5,1,4,716,m2,House,https://www.domain.com.au/86-wood-street-preston-vic-3072-2016997737,"Heating*-""Close to schools""-""Close to shops""-""Close to transport""",0.4-0.5-1.5,3,Jun/2021/1190000.0/SOLD
6,24-wurruk-avenue-preston-vic-3072,1450000,28-May-2021,8,5,4,641,m2,House,https://www.domain.com.au/24-wurruk-avenue-preston-vic-3072-2016983516,"Secure Parking*-""Study*""-""Garden*""",0.4-1-2.3,3,
7,25-wurruk-avenue-preston-vic-3072,1375000,10-Apr-2021,6,3,3,-1,None,House,https://www.domain.com.au/25-wurruk-avenue-preston-vic-3072-2016830189,"Garden*-""Study""",0.4-1-2.4,3,Jun/1994/85000.0/SOLD-Feb/1985/57500.0/SOLD-Aug/1976/25500.0/SOLD
8,29-stafford-street-preston-vic-3072,1900000,12-Feb-2021,5,3,6,-1,None,House,https://www.domain.com.au/29-stafford-street-preston-vic-3072-2016748671,,0.7-1.1-2.2,3,Feb/2021/1900000.0/SOLD-Nov/2015/1170000.0/SOLD-Jun/2007/674000.0/SOLD
9,100-murray-road-preston-vic-3072,1200000,10-Feb-2021,5,2,4,709,m2,House,https://www.domain.com.au/100-murray-road-preston-vic-3072-2016561780,"Internal Laundry*-""Air conditioning""-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Garden""-""Secure Parking""-""Floorboards""-""Formal Lounge""-""Separate Dining""-""Terrace-Balcony""-""Study""-""Californian bungalow""",0.5-1-1.2,3,Feb/2021/1200000.0/SOLD-Apr/2005/537000.0/SOLD-Aug/1992/83000.0/SOLD
10,33-sheila-street-preston-vic-3072,930000,22-Jan-2021,5,2,2,522,m2,House,https://www.domain.com.au/33-sheila-street-preston-vic-3072-2016604118,,0.3-0.5-1.7,3,Jan/2021/930000.0/SOLD-May/1999/160500.0/SOLD-Jan/1992/122000.0/SOLD
11,166-gower-street-preston-vic-3072,1265000,28-Nov-2020,5,2,4,531,m2,House,https://www.domain.com.au/166-gower-street-preston-vic-3072-2016588483,,0.8-1-3.5,3,Nov/2020/1265000.0/SOLD-Nov/2007/668000.0/SOLD-Jul/1997/132500.0/SOLD
12,15-townhall-avenue-preston-vic-3072,1570000,28-Jan-2020,6,4,2,-1,None,House,https://www.domain.com.au/15-townhall-avenue-preston-vic-3072-2015984223,,0.2-0.8-3.2,3,Jan/2020/1570000.0/SOLD-Sep/2009/495000.0/SOLD-Feb/1992/90000.0/SOLD
13,15-townhall-avenue-preston-vic-3072,1570000,28-Jan-2020,6,4,2,-1,None,House,https://www.domain.com.au/15-townhall-avenue-preston-vic-3072-2015986626,,0.2-0.8-3.2,3,Jan/2020/1570000.0/SOLD-Sep/2009/495000.0/SOLD-Feb/1992/90000.0/SOLD
14,8-edith-street-preston-vic-3072,1280000,26-Oct-2019,5,3,2,-1,None,House,https://www.domain.com.au/8-edith-street-preston-vic-3072-2015704773,,0.5-0.6-2.4,3,Oct/2019/1280000.0/SOLD
15,82-cramer-street-preston-vic-3072,1500000,17-Aug-2019,5,2,2,-1,None,House,https://www.domain.com.au/82-cramer-street-preston-vic-3072-2015492717,,0.2-1.1-1.9,3,Aug/2019/1500000.0/SOLD-Aug/1985/100600.0/SOLD
16,3-leonard-street-preston-vic-3072,1515000,10-Aug-2019,5,3,4,-1,None,House,https://www.domain.com.au/3-leonard-street-preston-vic-3072-2015452442,,0.4-1-2.3,3,Aug/2019/1515000.0/SOLD-Aug/1982/38000.0/SOLD
17,26-etnam-street-preston-vic-3072,1200000,27-Jul-2019,5,2,2,482,m2,House,https://www.domain.com.au/26-etnam-street-preston-vic-3072-2015414057,,0.1-1.6-1.9,3,Jul/2019/1200000.0/SOLD
18,75-wallace-street-preston-vic-3072,1909000,17-Jul-2019,5,4,4,-1,None,House,https://www.domain.com.au/75-wallace-street-preston-vic-3072-2015311503,,0.6-1.4-1.6,3,Jul/2019/1909000.0/SOLD-Oct/2014/840000.0/SOLD
19,590-bell-street-preston-vic-3072,1050000,27-Jun-2019,5,1,4,-1,None,House,https://www.domain.com.au/590-bell-street-preston-vic-3072-2015327815,,0.5-1.4-1.6,3,Jun/2019/1050000.0/SOLD
20,153-murray-road-preston-vic-3072,1018000,22-Oct-2018,5,2,2,-1,None,House,https://www.domain.com.au/153-murray-road-preston-vic-3072-2014634034,,0.6-1-2.2,3,Oct/2018/590.0/SOLD-Apr/2014/1018000.0/SOLD
21,588-plenty-road-preston-vic-3072,1200000,12-Sep-2018,5,4,2,1202,m2,House,https://www.domain.com.au/588-plenty-road-preston-vic-3072-2014466156,"Close to schools-""Close to shops""-""Close to transport""",0.6-0.9-2,3,Aug/2018/1200000.0/SOLD-Aug/2014/800000.0/SOLD
22,84-regent-street-preston-vic-3072,1475000,02-Jun-2018,5,3,3,-1,None,House,https://www.domain.com.au/84-regent-street-preston-vic-3072-2014366200,,0.9-1.6-2.3,3,Jun/2018/1475000.0/SOLD-Jun/2015/725000.0/SOLD-May/2010/5566.0/SOLD
23,4-evelyn-street-preston-vic-3072,1570000,26-Feb-2018,5,3,2,-1,None,House,https://www.domain.com.au/4-evelyn-street-preston-vic-3072-2014010908,,0.4-1.4-1.7,3,Feb/2018/1570000.0/SOLD
24,2-shakespeare-avenue-preston-vic-3072,1455000,16-Dec-2017,5,2,2,-1,None,House,https://www.domain.com.au/2-shakespeare-avenue-preston-vic-3072-2014027047,,0.4-1.1-1.8,3,Dec/2017/1455000.0/SOLD-Aug/2005/371000.0/SOLD-Jul/2000/195000.0/SOLD
25,28-may-street-preston-vic-3072,1740000,02-Dec-2017,5,3,1,-1,None,House,https://www.domain.com.au/28-may-street-preston-vic-3072-2014037547,,0.5-1.2-2.3,3,Dec/2017/1740000.0/SOLD-Jul/2011/640000.0/SOLD-May/1992/110000.0/SOLD
26,20-shakespeare-avenue-preston-vic-3072,2035000,18-Nov-2017,5,2,5,-1,None,House,https://www.domain.com.au/20-shakespeare-avenue-preston-vic-3072-2013951551,Study,0.3-1.1-1.9,3,Nov/2017/2035000.0000000002/SOLD-Oct/2003/326000.0/SOLD
27,1-bellarine-street-preston-vic-3072,1425000,25-Jul-2017,5,2,2,558,m2,House,https://www.domain.com.au/1-bellarine-street-preston-vic-3072-2013575164,,0.3-1.1-2.2,3,Jul/2017/1425000.0/SOLD-Dec/2010/1085000.0/SOLD-Feb/1996/124500.0/SOLD
28,47-cooper-street-preston-vic-3072,1350000,10-Jul-2017,7,3,4,-1,None,House,https://www.domain.com.au/47-cooper-street-preston-vic-3072-2013692984,"Close to schools-""Close to shops""-""Close to transport""",0.2-1.2-2.1,3,Sep/2019/1480000.0/SOLD-Jul/2017/1350000.0/SOLD
29,173-raglan-street-preston-vic-3072,1350000,24-Jun-2017,5,3,4,525,m2,House,https://www.domain.com.au/173-raglan-street-preston-vic-3072-2013622322,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""-""Garden""-""Separate Dining""-""Terrace-Balcony""",0.5-1.1-2.7,3,Oct/2018/1150000.0/SOLD-Jun/2017/1350000.0/SOLD
30,477-murray-road-preston-vic-3072,1060000,16-May-2017,5,2,2,559,m2,House,https://www.domain.com.au/477-murray-road-preston-vic-3072-2013567767,,0.7-1.4-3.1,3,May/2017/1060000.0/SOLD-Jul/2010/500.0/SOLD
31,14-preston-street-preston-vic-3072,1000000,17-Feb-2017,5,1,2,394,m2,House,https://www.domain.com.au/14-preston-street-preston-vic-3072-2013083969,,0.2-0.8-2.9,3,Feb/2019/890000.0/SOLD
32,33a-goldsmith-avenue-preston-vic-3072,1030000,19-Dec-2016,5,1,2,-1,None,House,https://www.domain.com.au/33a-goldsmith-avenue-preston-vic-3072-2013244938,,0.3-0.9-2.1,3,Dec/2016/720.0/SOLD
33,3-hodson-street-preston-vic-3072,1200000,12-Aug-2016,5,4,2,569,m2,House,https://www.domain.com.au/3-hodson-street-preston-vic-3072-2012027560,,0.8-1.1-3,3,Aug/2016/1200000.0/SOLD-Aug/2009/905000.0/SOLD
34,24-wurruk-avenue-preston-vic-3072,910000,19-Apr-2016,7,4,6,644,m2,House,https://www.domain.com.au/24-wurruk-avenue-preston-vic-3072-2012649118,,0.4-1-2.3,3,
35,189-murray-road-preston-vic-3072,1100000,09-Apr-2016,5,3,4,600,m2,House,https://www.domain.com.au/189-murray-road-preston-vic-3072-2012662903,,0.3-0.9-2.5,3,Apr/2016/750.0/SOLD
36,100-102-david-street-preston-vic-3072,3350000,12-Mar-2016,14,12,10,-1,None,House,https://www.domain.com.au/100-102-david-street-preston-vic-3072-2012596723,,0.2-0.6-2.8,3,Oct/2016/3685000.0/SOLD-Mar/2016/3350000.0/SOLD-Feb/1999/1378000.0/SOLD
37,7-margaret-grove-preston-vic-3072,975000,15-Jan-2016,5,3,2,650,m2,House,https://www.domain.com.au/7-margaret-grove-preston-vic-3072-2012432353,,0.8-0.9-2.1,3,Jan/2016/975000.0/SOLD-May/1975/24000.0/SOLD
38,1-neale-street-preston-vic-3072,910000,12-Dec-2015,5,2,2,572,m2,House,https://www.domain.com.au/1-neale-street-preston-vic-3072-2012418008,,0.8-1.1-3.3,3,Dec/2015/910000.0/SOLD
39,43-&-43a-garnet-street-preston-vic-3072,1036000,21-Nov-2015,5,2,2,-1,None,House,https://www.domain.com.au/43-43a-garnet-street-preston-vic-3072-2012370675,,0.6-0.7-2.3,3,
40,8-tintern-avenue-preston-vic-3072,1490000,16-Nov-2015,5,3,2,648,m2,House,https://www.domain.com.au/8-tintern-avenue-preston-vic-3072-2012355231,,0.6-1.5-3,3,Apr/2016/1490000.0/SOLD-Sep/1981/35500.0/SOLD
41,30-collins-street-preston-vic-3072,1504000,19-Sep-2015,5,2,2,1045,m2,House,https://www.domain.com.au/30-collins-street-preston-vic-3072-2012207901,,0.5-1.4-1.6,3,Sep/2015/500.0/SOLD
42,17-lahinch-street-preston-vic-3072,760000,19-Sep-2015,6,2,3,-1,None,House,https://www.domain.com.au/17-lahinch-street-preston-vic-3072-2012212716,,0.9-0.9-1,3,Sep/2015/760000.0/SOLD-Dec/2000/174000.0/SOLD-Nov/1986/73000.0/SOLD
43,24-sylvester-grove-preston-vic-3072,1420000,08-Aug-2015,5,3,2,654,m2,House,https://www.domain.com.au/24-sylvester-grove-preston-vic-3072-2012107065,Study,0.8-0.9-2.1,3,Aug/2015/1420000.0/SOLD-Jun/1993/112000.0/SOLD
44,218-wood-street-preston-vic-3072,825000,22-Jun-2015,5,2,3,-1,None,House,https://www.domain.com.au/218-wood-street-preston-vic-3072-2011557826,,0.4-1-2,3,Jun/2015/825000.0/SOLD-May/1987/69000.0/SOLD
45,84-regent-street-preston-vic-3072,725000,13-Jun-2015,5,2,2,-1,None,House,https://www.domain.com.au/84-regent-street-preston-vic-3072-2011990970,,0.9-1.6-2.3,3,Jun/2018/1475000.0/SOLD-Jun/2015/725000.0/SOLD-May/2010/5566.0/SOLD
46,1-jessie-street-preston-vic-3072,907000,02-May-2015,5,2,2,-1,None,House,https://www.domain.com.au/1-jessie-street-preston-vic-3072-2011895338,,0.5-1.2-1.9,3,May/2015/907000.0/SOLD-May/1981/29500.0/SOLD-Feb/1978/24500.0/SOLD
47,474---474b-murray-road-preston-vic-3072,1650000,02-May-2015,7,1,-1,-1,None,House,https://www.domain.com.au/474-474b-murray-road-preston-vic-3072-2011897341,,0.7-1.4-3.1,3,
48,27-murphy-grove-preston-vic-3072,1760000,18-Apr-2015,5,2,2,1256,m2,House,https://www.domain.com.au/27-murphy-grove-preston-vic-3072-2011858060,,0.8-0.9-1,3,Apr/2015/1760000.0/SOLD-Sep/1982/84000.0/SOLD
49,8-paywit-street-preston-vic-3072,1100000,13-Dec-2014,5,3,2,592,m2,House,https://www.domain.com.au/8-paywit-street-preston-vic-3072-2011591916,,0.4-1.1-2.3,3,Jan/2015/1100000.0/SOLD-Aug/1991/130000.0/SOLD-Jun/1986/71000.0/SOLD
50,45-garnet-street-preston-vic-3072,690000,29-Nov-2014,6,3,2,555,m2,House,https://www.domain.com.au/45-garnet-street-preston-vic-3072-2011569659,,0.6-0.7-2.3,3,Nov/2014/690000.0/SOLD-Aug/2002/300000.0/SOLD-Apr/2000/186500.0/SOLD
51,15-dalgety-street-preston-vic-3072,766000,02-Aug-2014,5,2,1,-1,None,House,https://www.domain.com.au/15-dalgety-street-preston-vic-3072-2011297332,,0.2-0.7-2.8,3,Nov/2016/1055000.0/SOLD-Aug/2014/766000.0/SOLD-Feb/1999/210000.0/SOLD
52,8-first-court-preston-vic-3072,620000,27-Jun-2014,5,2,3,421,m2,House,https://www.domain.com.au/8-first-court-preston-vic-3072-2011010711,,0.6-1.2-3.2,3,May/2014/620000.0/SOLD-Sep/1997/65000.0/SOLD
53,3-youngman-street-preston-vic-3072,770000,18-Apr-2014,6,2,1,-1,None,House,https://www.domain.com.au/3-youngman-street-preston-vic-3072-2010980008,"Air conditioning-""Close to schools""-""Close to shops""-""Close to transport""-""Garden""-""Floorboards""-""Ducted Heating""-""Video intercom""",0.6-0.7-2.2,3,Mar/2014/770000.0/SOLD-May/1992/95000.0/SOLD
54,25-cynga-street-preston-vic-3072,625000,22-Jun-2013,5,2,4,800,m2,House,https://www.domain.com.au/25-cynga-street-preston-vic-3072-2010483260,,0.9-1-1.1,3,
55,79-madeline-street-preston-vic-3072,975000,01-Jun-2013,5,3,3,-1,None,House,https://www.domain.com.au/79-madeline-street-preston-vic-3072-2010449568,,0.7-1-1.3,3,Jun/2013/975000.0/SOLD
56,12-14-sheffield-street-preston-vic-3072,1425000,23-Apr-2013,5,3,2,-1,None,House,https://www.domain.com.au/12-14-sheffield-street-preston-vic-3072-2010352727,Study,0.7-1.6-2.1,3,Jun/2015/595.0/SOLD
