"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
10-autumndale-avenue-reservoir-vic-3073,990000,24-Nov-2021,2,1,1,586,m2,House,https://www.domain.com.au/10-autumndale-avenue-reservoir-vic-3073-2017380081,,0.4-2-0.7,3,Nov/2021/990000.0/SOLD
24-chenies-street-reservoir-vic-3073,720000,05-Nov-2021,2,1,1,170,m2,House,https://www.domain.com.au/24-chenies-street-reservoir-vic-3073-2017245079,Secure Parking*-Heating*,0.8-1.4-0.8,3,Nov/2021/720000.0/SOLD-May/2018/645000.0/SOLD
27-clingin-street-reservoir-vic-3073,820000,04-Nov-2021,2,1,1,579,m2,House,https://www.domain.com.au/27-clingin-street-reservoir-vic-3073-2017125461,,0.7-0.8-5.6,3,Nov/2021/820000.0/SOLD-Oct/2008/285000.0/SOLD
12-landy-street-reservoir-vic-3073,870000,03-Nov-2021,2,1,1,574,m2,House,https://www.domain.com.au/12-landy-street-reservoir-vic-3073-2017316657,Gas*-Bath*-Study,1.3-1.9-6,3,Nov/2021/870000.0/SOLD-Nov/2001/190000.0/SOLD-May/1998/89000.0/SOLD
27-banff-street-reservoir-vic-3073,820000,30-Oct-2021,2,1,2,-1,None,House,https://www.domain.com.au/27-banff-street-reservoir-vic-3073-2017298261,Internal Laundry*-Heating*-Dishwasher*-Balcony / Deck*,0.3-2-0.5,3,Nov/2021/820000.0/SOLD-Feb/2017/500250.0/SOLD-Jun/1999/100000.0/SOLD
4/41-hobbs-crescent-reservoir-vic-3073,670000,27-Oct-2021,2,1,1,-1,None,House,https://www.domain.com.au/4-41-hobbs-crescent-reservoir-vic-3073-2017317402,Built in wardrobes*-Internal Laundry*-Dishwasher*-Solar panels*,0.6-1.3-6.6,3,
31-seston-street-reservoir-vic-3073,980000,23-Oct-2021,2,1,2,708,m2,House,https://www.domain.com.au/31-seston-street-reservoir-vic-3073-2017288470,,0.5-1-5.5,3,Oct/2021/980000.0/SOLD-Jul/2011/455000.0/SOLD
69-keon-parade-reservoir-vic-3073,617500,16-Oct-2021,2,1,1,309,m2,House,https://www.domain.com.au/69-keon-parade-reservoir-vic-3073-2017171589,Internal Laundry*-Heating*-Garden*,1.1-1.1-0.7,3,Oct/2021/617500.0/SOLD
40-liston-avenue-reservoir-vic-3073,700000,15-Oct-2021,2,1,2,233,m2,House,https://www.domain.com.au/40-liston-avenue-reservoir-vic-3073-2017299711,Secure Parking*-Heating*,1-1.3-0.7,3,Oct/2021/700000.0/SOLD-Apr/2019/482000.0/SOLD-Aug/2009/315000.0/SOLD
18-rubicon-street-reservoir-vic-3073,1190000,02-Oct-2021,2,1,3,694,m2,House,https://www.domain.com.au/18-rubicon-street-reservoir-vic-3073-2017222072,Secure Parking*,0.4-0.9-5.2,3,Oct/2021/1190000.0/SOLD-Aug/1984/69500.0/SOLD
1/21-kerang-avenue-reservoir-vic-3073,765000,01-Oct-2021,2,1,1,-1,None,House,https://www.domain.com.au/1-21-kerang-avenue-reservoir-vic-3073-2017245472,Secure Parking*-Bath*-Heating*-Balcony / Deck*,0.4-0.5-0.9,3,
5-roff-street-reservoir-vic-3073,793500,01-Oct-2021,2,1,2,201,m2,House,https://www.domain.com.au/5-roff-street-reservoir-vic-3073-2017163870,Secure Parking*-Heating*-Dishwasher*,0.9-2.1-0.9,3,Oct/2021/793500.0/SOLD-Feb/2009/180000.0/SOLD
55-wattle-grove-reservoir-vic-3073,1090000,22-Sep-2021,2,1,1,-1,None,House,https://www.domain.com.au/55-wattle-grove-reservoir-vic-3073-2017289422,,0.5-2.7-5,3,Sep/2021/1090000.0/SOLD
74-arundel-avenue-reservoir-vic-3073,960500,18-Sep-2021,2,1,2,590,m2,House,https://www.domain.com.au/74-arundel-avenue-reservoir-vic-3073-2017219609,Internal Laundry*-Bath*-Garden*,1-1.1-0.6,3,Sep/2021/960500.0/SOLD
