,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,87-mahoneys-road-reservoir-vic-3073,842000,04-Dec-2021,4,1,2,-1,None,House,https://www.domain.com.au/87-mahoneys-road-reservoir-vic-3073-2017381455,"Air conditioning*-""Built in wardrobes*""-""Internal Laundry*""-""Secure Parking*""-""Heating*""",0.6-0.6-7.8,3,Dec/2021/842000.0/SOLD
1,3-robinson-road-reservoir-vic-3073,1651000,20-Nov-2021,4,2,3,724,m2,House,https://www.domain.com.au/3-robinson-road-reservoir-vic-3073-2017364005,,0.6-1.4-2.4,3,May/2006/520000.0/SOLD-May/2005/330750.0/SOLD-Oct/2002/321000.0/SOLD
2,11-glenvale-road-reservoir-vic-3073,920000,08-Nov-2021,4,1,1,-1,None,House,https://www.domain.com.au/11-glenvale-road-reservoir-vic-3073-2017269823,"Gas*-""Secure Parking""-""Built in wardrobes""-""Floorboards""-""Air conditioning""-""Separate Dining Room""-""Heating""-""Dishwasher""-""Fully fenced""-""Garden / Courtyard""",0.4-2.4-4.8,3,Nov/2021/920000.0/SOLD-Feb/2003/260000.0/SOLD-May/1995/57500.0/SOLD
3,17-aberdeen-street-reservoir-vic-3073,1162000,06-Nov-2021,4,2,1,840,m2,House,https://www.domain.com.au/17-aberdeen-street-reservoir-vic-3073-2017327844,,0.4-1.7-0.2,3,Nov/2021/1162000.0/SOLD
4,9-wattlebrae-street-reservoir-vic-3073,1530000,05-Nov-2021,4,2,5,520,m2,House,https://www.domain.com.au/9-wattlebrae-street-reservoir-vic-3073-2017316830,"Internal Laundry*-""Heating*""-""Shed*""-""Balcony / Deck*""-""Study""",0.4-2.3-5.1,3,Nov/2021/1530000.0/SOLD
5,54-banbury-road-reservoir-vic-3073,705000,28-Oct-2021,4,1,2,-1,None,House,https://www.domain.com.au/54-banbury-road-reservoir-vic-3073-2017297323,,1.4-1.9-6.1,3,Oct/2021/705000.0/SOLD
6,5-titus-court-reservoir-vic-3073,956000,27-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/5-titus-court-reservoir-vic-3073-2017301699,"Internal Laundry*-""Heating*""-""Dishwasher*""-""Solar panels*""",0.6-2.1-0.7,3,Oct/2021/956000.0/SOLD
7,94-north-road-reservoir-vic-3073,1430000,23-Oct-2021,4,1,4,715,m2,House,https://www.domain.com.au/94-north-road-reservoir-vic-3073-2017277852,,0.4-1.1-5.3,3,Oct/2021/1430000.0/SOLD
8,9-darebin-boulevard-reservoir-vic-3073,1010000,23-Oct-2021,4,1,4,911,m2,House,https://www.domain.com.au/9-darebin-boulevard-reservoir-vic-3073-2017241313,"Built in wardrobes-""Renovator's Delight""",0.2-1.8-0.1,3,Oct/2021/1010000.0/SOLD
9,27-hobbs-crescent-reservoir-vic-3073,1242000,16-Oct-2021,4,2,5,855,m2,House,https://www.domain.com.au/27-hobbs-crescent-reservoir-vic-3073-2017157280,"Fireplace(s)*-""Heating*""-""Garden*""",0.6-1.2-6.7,3,Oct/2021/1242000.0/SOLD-Feb/1984/54190.0/SOLD
10,157-darebin-boulevard-reservoir-vic-3073,980000,16-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/157-darebin-boulevard-reservoir-vic-3073-2017272114,"Secure Parking*-""Heating*""",1-2.5-1.4,3,Oct/2021/980000.0/SOLD-Aug/2018/815000.0/SOLD
11,18-merrilands-road-reservoir-vic-3073,1045000,16-Oct-2021,4,2,2,879,m2,House,https://www.domain.com.au/18-merrilands-road-reservoir-vic-3073-2017267422,"Built in wardrobes*-""Bath*""-""Heating*""",0.4-0.4-7.8,3,Oct/2021/1044999.9999999999/SOLD
12,50a-henty-street-reservoir-vic-3073,960000,13-Oct-2021,4,2,2,330,m2,House,https://www.domain.com.au/50a-henty-street-reservoir-vic-3073-2017074816,"Air conditioning*-""Internal Laundry*""-""Intercom*""-""Heating*""-""Ensuite""",0.5-2.5-5.1,3,Oct/2021/960000.0/SOLD
13,102-broadway-reservoir-vic-3073,711000,09-Oct-2021,4,1,2,339,m2,House,https://www.domain.com.au/102-broadway-reservoir-vic-3073-2017108913,,0.3-0.9-0.7,3,Oct/2021/711000.0/SOLD
14,75-mcfadzean-avenue-reservoir-vic-3073,1150000,20-Sep-2021,4,2,8,-1,None,House,https://www.domain.com.au/75-mcfadzean-avenue-reservoir-vic-3073-2017139738,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Bath*""-""Heating*""-""Study""",1-1.1-6.6,3,Sep/2021/1150000.0/SOLD-Jul/2011/550.0/SOLD
15,98-lawley-street-reservoir-vic-3073,1160000,11-Sep-2021,4,1,4,-1,None,House,https://www.domain.com.au/98-lawley-street-reservoir-vic-3073-2017116480,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Garden*""",1-1.1-7.3,3,Sep/2021/1160000.0/SOLD-Feb/1980/63000.0/SOLD
16,768-plenty-road-reservoir-vic-3073,902000,24-Aug-2021,4,1,1,562,m2,House,https://www.domain.com.au/768-plenty-road-reservoir-vic-3073-2017110912,Garden*,0.7-1-5,3,Aug/2021/902000.0/SOLD-Aug/2005/270000.0/SOLD-Jul/2002/245000.0/SOLD
17,15b-nocton-street-reservoir-vic-3073,1312000,14-Aug-2021,4,3,2,290,m2,House,https://www.domain.com.au/15b-nocton-street-reservoir-vic-3073-2017098254,"Internal Laundry*-""Secure Parking*""-""Dishwasher*""-""Garden*""-""Air conditioning""-""Built in wardrobes""-""Alarm System""-""Ensuite""-""Ducted Heating""-""Study""",0.5-2.2-4.4,3,Aug/2021/1312000.0/SOLD
18,94-winter-crescent-reservoir-vic-3073,1356000,14-Aug-2021,4,2,2,628,m2,House,https://www.domain.com.au/94-winter-crescent-reservoir-vic-3073-2017117113,"Internal Laundry*-""Secure Parking*""-""Fireplace(s)*""-""Heating*""-""Dishwasher*""-""Garden*""",0.6-0.9-0.6,3,Aug/2021/1356000.0/SOLD-Sep/2000/130000.0/SOLD
19,748-750-plenty-road-reservoir-vic-3073,1860000,03-Aug-2021,4,1,2,1092,m2,House,https://www.domain.com.au/748-750-plenty-road-reservoir-vic-3073-2017156421,"Secure Parking*-""Fireplace(s)*""",0.7-1.2-4.8,3,
20,22-don-street-reservoir-vic-3073,1465000,03-Jul-2021,4,1,1,1364,m2,House,https://www.domain.com.au/22-don-street-reservoir-vic-3073-2017057452,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Garden*""-""Balcony / Deck*""",0.8-1.9-1.1,3,Jul/2021/1465000.0/SOLD-Feb/1984/122500.0/SOLD
21,29-dundee-street-reservoir-vic-3073,1330000,30-Jun-2021,4,2,7,837,m2,House,https://www.domain.com.au/29-dundee-street-reservoir-vic-3073-2017072131,"Swimming Pool*-""Heating*""-""Balcony / Deck*""",0.3-1.8-0.2,3,Jun/2021/1330000.0/SOLD-Sep/1995/81000.0/SOLD
22,21-vale-street-reservoir-vic-3073,1385000,26-Jun-2021,4,2,2,549,m2,House,https://www.domain.com.au/21-vale-street-reservoir-vic-3073-2017030275,"Fireplace(s)*-""Heating*""-""Dishwasher*""-""Study*""-""Shed*""-""Solar panels*""-""Balcony / Deck*""",0.5-2.1-4.1,3,Jun/2021/1385000.0/SOLD-Jun/2015/715000.0/SOLD-Oct/2003/394000.0/SOLD
23,56-lockton-avenue-reservoir-vic-3073,1000000,21-Jun-2021,4,2,2,-1,None,House,https://www.domain.com.au/56-lockton-avenue-reservoir-vic-3073-2016993273,Study,1.2-1.4-7.6,3,Jun/2021/1000000.0/SOLD-Dec/1986/185000.0/SOLD-Dec/1981/9000.0/SOLD
24,17-robb-street-reservoir-vic-3073,1310000,29-May-2021,4,2,3,522,m2,House,https://www.domain.com.au/17-robb-street-reservoir-vic-3073-2016981006,"Internal Laundry*-""Bath*""-""Fireplace(s)*""-""Heating*""-""Shed*""-""Garden*""-""Balcony / Deck*""-""Close to schools""-""Close to shops""-""Close to transport""",0.7-1.3-1.4,3,May/2021/1310000.0/SOLD-Dec/2015/550000.0/SOLD
25,14a-summerhill-road-reservoir-vic-3073,862000,29-May-2021,4,2,2,280,m2,House,https://www.domain.com.au/14a-summerhill-road-reservoir-vic-3073-2016980971,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Study*""-""Close to schools""-""Close to shops""-""Close to transport""",0.7-0.9-5.8,3,May/2021/862000.0/SOLD-Feb/2011/500888.0/SOLD-Mar/2007/370000.0/SOLD
