"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
199-highett-street-richmond-vic-3121,1700000,30-Jun-2021,5,3,1,-1,None,House,https://www.domain.com.au/199-highett-street-richmond-vic-3121-2016819585,Secure Parking*-Heating*-Study*-Garden*-Balcony / Deck*,0.3-0.4-0.4,3,Jun/2021/1700000.0/SOLD-Mar/2004/650000.0/SOLD-Sep/2001/580000.0/SOLD
15-manton-street-richmond-vic-3121,2700000,09-Nov-2020,5,2,2,551,m2,House,https://www.domain.com.au/15-manton-street-richmond-vic-3121-2015853484,,0.5-0.9-0.9,3,Oct/2020/2700000.0/SOLD-Dec/1999/1300.0/SOLD
1/175-kent-street-richmond-vic-3121,1890000,23-Nov-2019,6,3,1,-1,None,House,https://www.domain.com.au/1-175-kent-street-richmond-vic-3121-2015828922,,0.1-0.5-0.6,3,
98-stawell-street-richmond-vic-3121,1393000,13-Nov-2019,5,2,-1,-1,None,House,https://www.domain.com.au/98-stawell-street-richmond-vic-3121-2015809594,,0.5-0.9-1,3,Nov/2019/700.0/SOLD-Apr/1986/1393000.0/SOLD
9-cameron-street-richmond-vic-3121,2100000,26-Nov-2018,5,3,2,-1,None,House,https://www.domain.com.au/9-cameron-street-richmond-vic-3121-2014661780,,0.3-0.5-0.6,3,Nov/2018/2100000.0/SOLD-Apr/2011/1368000.0/SOLD-Jun/1999/402000.0/SOLD
78-davison-street-richmond-vic-3121,3200000,27-Feb-2017,5,3,3,618,m2,House,https://www.domain.com.au/78-davison-street-richmond-vic-3121-2013371925,,0.1-0.5-0.5,3,Feb/2017/3200000.0/SOLD-May/2004/800000.0/SOLD
293-church-street-richmond-vic-3121,5550000,23-Mar-2016,5,2,4,1135,m2,House,https://www.domain.com.au/293-church-street-richmond-vic-3121-2012616450,,0.5-0.5-0.9,3,Mar/2016/5550000.0/SOLD
111-hoddle-street-richmond-vic-3121,1100000,04-Jul-2015,5,1,-1,-1,None,House,https://www.domain.com.au/111-hoddle-street-richmond-vic-3121-2012035483,,0.4-1-1.1,3,May/2021/1925000.0/SOLD-Sep/2019/300.0/SOLD
2-duke-street-richmond-vic-3121,1257000,14-Mar-2015,5,2,1,-1,None,House,https://www.domain.com.au/2-duke-street-richmond-vic-3121-2011779913,,0.5-0.6-0.9,3,Jan/2021/1000.0/SOLD-Mar/2015/1610000.0/SOLD
43-erin-street-richmond-vic-3121,4070000,30-Aug-2014,5,2,8,-1,None,House,https://www.domain.com.au/43-erin-street-richmond-vic-3121-2011392869,,0.4-0.8-0.9,3,Aug/2014/4070000.0000000005/SOLD-Apr/1987/607500.0/SOLD
36-butler-street-richmond-vic-3121,950000,16-Mar-2013,5,3,2,-1,None,House,https://www.domain.com.au/36-butler-street-richmond-vic-3121-2010293592,,0.3-0.9-0.9,3,Mar/2013/950000.0/SOLD-Feb/1989/112900.0/SOLD
23-erin-street-richmond-vic-3121,1850000,05-Dec-2012,5,1,4,-1,None,House,https://www.domain.com.au/23-erin-street-richmond-vic-3121-2010106526,,0.4-0.9-1,3,Dec/2012/1850000.0/SOLD-Apr/2003/1100000.0/SOLD
12-park-avenue-richmond-vic-3121,1900000,26-May-2012,5,3,3,-1,None,House,https://www.domain.com.au/12-park-avenue-richmond-vic-3121-2009673107,,0.1-0.4-1.1,3,May/2012/1900000.0/SOLD-Sep/1991/339000.0/SOLD-Jan/1982/67000.0/SOLD
