,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,11-baron-court-ringwood-vic-3134,1075000,01-Dec-2021,5,2,1,669,m2,House,https://www.domain.com.au/11-baron-court-ringwood-vic-3134-2017328093,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Broadband internet access*""-""Fireplace(s)*""-""Study*""",0.6-1.2-1,3,Dec/2021/1075000.0/SOLD
1,23-holyrood-crescent-ringwood-vic-3134,1362000,24-Sep-2021,5,3,2,791,m2,House,https://www.domain.com.au/23-holyrood-crescent-ringwood-vic-3134-2017170366,"Built in wardrobes*-""Secure Parking*""-""Bath*""-""Dishwasher*""",0.4-1.3-1,3,Sep/2021/1362000.0/SOLD
2,2a-sylvia-grove-ringwood-vic-3134,927000,20-Aug-2021,5,2,1,521,m2,House,https://www.domain.com.au/2a-sylvia-grove-ringwood-vic-3134-2017135494,"Heating-""Built in wardrobes""-""Close to transport""-""Close to shops""-""Close to schools""",1.2-1.5-4.7,3,Aug/2021/927000.0/SOLD
3,10-ellison-street-ringwood-vic-3134,1680000,13-Aug-2021,5,2,3,647,m2,House,https://www.domain.com.au/10-ellison-street-ringwood-vic-3134-2017105809,,0.9-1-5.5,3,Aug/2021/1680000.0/SOLD-Oct/1995/155000.0/SOLD-Jul/1987/91700.0/SOLD
4,5-kismet-close-ringwood-vic-3134,1070000,07-Aug-2021,6,3,2,927,m2,House,https://www.domain.com.au/5-kismet-close-ringwood-vic-3134-2017112449,,0.6-0.9-1.2,3,
5,13-gordon-court-ringwood-vic-3134,1592000,30-Jun-2021,6,3,4,1112,m2,House,https://www.domain.com.au/13-gordon-court-ringwood-vic-3134-2016961921,"Built in wardrobes*-""Secure Parking*""-""Heating*""-""Garden*""-""Balcony / Deck*""-""Air conditioning""",0.6-0.6-4.3,3,
6,9-parkgate-drive-ringwood-vic-3134,1275000,15-May-2021,5,2,5,1069,m2,House,https://www.domain.com.au/9-parkgate-drive-ringwood-vic-3134-2016953388,"Dishwasher*-""Study*""-""Garden*""-""Balcony / Deck*""-""Air conditioning""-""Heating""-""Built in wardrobes""-""Vacuum System""-""Ensuite""",0.4-1.2-0.5,3,May/2021/1275000.0/SOLD
7,3-jacks-place-ringwood-vic-3134,1708800,04-May-2021,5,3,2,800,m2,House,https://www.domain.com.au/3-jacks-place-ringwood-vic-3134-2016944751,,0.7-1.5-0.4,3,Apr/2021/950.0/SOLD-Mar/2015/1708800.0/SOLD
8,24-sonia-street-ringwood-vic-3134,1145000,24-Mar-2021,5,2,2,669,m2,House,https://www.domain.com.au/24-sonia-street-ringwood-vic-3134-2016757923,"Built in wardrobes*-""Gas*""-""Internal Laundry*""-""Broadband internet access*""-""Bath*""-""Heating*""-""Dishwasher*""-""Study*""-""Garden*""-""Balcony / Deck*""",0.5-0.6-1.1,3,Mar/2021/1145000.0/SOLD
9,23-graeme-avenue-ringwood-vic-3134,1330000,05-Mar-2021,5,2,3,1158,m2,House,https://www.domain.com.au/23-graeme-avenue-ringwood-vic-3134-2016795379,,0.2-0.4-0.6,3,Mar/2021/1330000.0/SOLD-Jun/2002/360000.0/SOLD
10,6-parkgate-drive-ringwood-vic-3134,1732000,12-Feb-2021,5,2,2,1336,m2,House,https://www.domain.com.au/6-parkgate-drive-ringwood-vic-3134-2016755749,,0.5-1.3-0.4,3,Feb/2021/1732000.0/SOLD-Feb/1992/278000.0/SOLD-Apr/1985/60000.0/SOLD
11,10-towerhill-drive-ringwood-vic-3134,1415000,06-Feb-2021,5,4,3,912,m2,House,https://www.domain.com.au/10-towerhill-drive-ringwood-vic-3134-2016729731,"Built in wardrobes-""Close to transport""-""Close to shops""-""Close to schools""-""Ensuite""-""Study""",0.8-1.1-0.8,3,Feb/2021/1415000.0/SOLD-Sep/2015/805000.0/SOLD-Dec/2006/360000.0/SOLD
12,10a-poynton-avenue-ringwood-vic-3134,1650000,11-Jan-2021,5,5,5,903,m2,House,https://www.domain.com.au/10a-poynton-avenue-ringwood-vic-3134-2016672767,"Gas*-""Bath*""-""Dishwasher*""-""Garden*""-""Built-in Watering""-""Study""-""Deck""-""Rumpus Room""-""Floorboards""-""Remote Garage""-""Water Tank""-""Ducted Heating""-""Fully fenced""-""Living Areas""-""Built in wardrobes""-""Ducted Cooling""",0.8-1.9-1.4,3,Jan/2021/1650000.0/SOLD
13,88-oban-road-ringwood-vic-3134,1180000,19-Dec-2020,5,2,2,-1,None,House,https://www.domain.com.au/88-oban-road-ringwood-vic-3134-2016667863,"Balcony-""Secure Parking""-""Rumpus Room""-""Workshop""",0.5-0.8-0.5,3,Dec/2020/1180000.0/SOLD-Nov/2002/400000.0/SOLD-Jun/2001/315000.0/SOLD
14,197-wantirna-road-ringwood-vic-3134,1050000,15-Dec-2020,5,3,3,653,m2,House,https://www.domain.com.au/197-wantirna-road-ringwood-vic-3134-2016389308,Laundry,0.5-0.6-4.5,3,Dec/2020/1050000.0/SOLD-Jan/2002/180000.0/SOLD-Jun/1986/80000.0/SOLD
