address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
19-mitchell-street-st-kilda-vic-3182,2590000,22-Oct-2021,4,1,1,431,m2,House,https://www.domain.com.au/19-mitchell-street-st-kilda-vic-3182-2017246884,,0.3-1.5-5.1,3,Oct/2021/2590000.0/SOLD-Sep/1999/470000.0/SOLD-Jun/1994/237500.0/SOLD
6-mozart-street-st-kilda-vic-3182,2551000,27-Sep-2021,4,1,-1,380,m2,House,https://www.domain.com.au/6-mozart-street-st-kilda-vic-3182-2017242501,Study,0.1-1.3-5.4,3,Sep/2021/2551000.0/SOLD-Apr/2008/450.0/SOLD
33-vale-street-st-kilda-vic-3182,2170000,25-May-2021,4,2,2,-1,None,House,https://www.domain.com.au/33-vale-street-st-kilda-vic-3182-2016974874,,0.4-1.7-5,3,May/2021/2170000.0/SOLD-Nov/2015/1571000.0/SOLD
5-irymple-avenue-st-kilda-vic-3182,1905000,01-May-2021,4,2,2,-1,None,House,https://www.domain.com.au/5-irymple-avenue-st-kilda-vic-3182-2016924394,,0.1-1.5-5.3,3,May/2021/1905000.0/SOLD-Mar/1992/700.0/SOLD
28-acland-street-st-kilda-vic-3182,2730000,18-Apr-2021,4,2,2,310,m2,House,https://www.domain.com.au/28-acland-street-st-kilda-vic-3182-2017018028,,1-1.9-4.5,3,
1/185-inkerman-street-st-kilda-vic-3182,1525000,18-Feb-2021,4,2,1,-1,None,House,https://www.domain.com.au/1-185-inkerman-street-st-kilda-vic-3182-2016731072,,0.5-1.9-5.2,3,
1a-neptune-lane-st-kilda-vic-3182,1880000,03-Feb-2021,4,2,2,-1,None,House,https://www.domain.com.au/1a-neptune-lane-st-kilda-vic-3182-2016154986,,0.6-2.1-4.4,3,Feb/2021/1880000.0/SOLD-Apr/2007/831000.0/SOLD-Sep/1999/433000.0/SOLD
5-foster-avenue-st-kilda-vic-3182,2400000,30-Dec-2020,4,2,3,-1,None,House,https://www.domain.com.au/5-foster-avenue-st-kilda-vic-3182-2016536449,,0.5-1.5-5,3,Dec/2020/2400000.0/SOLD-Feb/1992/285000.0/SOLD
1-odessa-street-st-kilda-vic-3182,1376000,12-Dec-2020,4,1,-1,375,m2,House,https://www.domain.com.au/1-odessa-street-st-kilda-vic-3182-2016665239,,0.8-2.3-4.9,3,Dec/2020/1376000.0/SOLD-Dec/1989/250000.0/SOLD-May/1986/121000.0/SOLD
299-barkly-street-st-kilda-vic-3182,2345000,17-Oct-2020,4,3,2,538,m2,House,https://www.domain.com.au/299-barkly-street-st-kilda-vic-3182-2016520801,,0.9-1-5.3,3,Oct/2020/2345000.0/SOLD-Feb/2020/2251000.0/SOLD
11-marlton-crescent-st-kilda-vic-3182,2825000,16-Oct-2020,4,2,-1,422,m2,House,https://www.domain.com.au/11-marlton-crescent-st-kilda-vic-3182-2016527815,,0.6-0.8-4.8,3,Oct/2020/2825000.0/SOLD-Nov/2013/2005999.9999999998/SOLD
50-chaucer-street-st-kilda-vic-3182,3710000,15-Feb-2020,4,2,5,-1,None,House,https://www.domain.com.au/50-chaucer-street-st-kilda-vic-3182-2016017058,,0.7-1.4-5,3,
299-barkly-street-st-kilda-vic-3182,2251000,15-Feb-2020,4,3,2,538,m2,House,https://www.domain.com.au/299-barkly-street-st-kilda-vic-3182-2016029032,,0.9-1-5.3,3,Oct/2020/2345000.0/SOLD-Feb/2020/2251000.0/SOLD
38c-grey-street-st-kilda-vic-3182,3420000,09-Nov-2019,4,3,2,-1,None,House,https://www.domain.com.au/38c-grey-street-st-kilda-vic-3182-2015420839,,0.3-2.4-4.2,3,Nov/2019/2300.0/SOLD
38e-grey-street-st-kilda-vic-3182,3378000,09-Nov-2019,4,5,2,-1,None,House,https://www.domain.com.au/38e-grey-street-st-kilda-vic-3182-2015420847,,0.3-2.4-4.2,3,Nov/2019/3378000.0/SOLD
38e-grey-street-st-kilda-vic-3182,3378000,09-Nov-2019,4,5,2,-1,None,House,https://www.domain.com.au/38e-grey-street-st-kilda-vic-3182-2016033344,,0.3-2.4-4.2,3,Nov/2019/3378000.0/SOLD
38b-grey-street-st-kilda-vic-3182,3620000,09-Nov-2019,4,4,2,-1,None,House,https://www.domain.com.au/38b-grey-street-st-kilda-vic-3182-2015420829,,0.3-2.4-4.2,3,Nov/2019/3620000.0/SOLD
38d-grey-street-st-kilda-vic-3182,3450000,09-Nov-2019,4,5,2,-1,None,House,https://www.domain.com.au/38d-grey-street-st-kilda-vic-3182-2015420844,,0.3-2.4-4.2,3,Nov/2019/2500.0/SOLD
39-wordsworth-street-st-kilda-vic-3182,2280000,08-Nov-2019,4,3,2,-1,None,House,https://www.domain.com.au/39-wordsworth-street-st-kilda-vic-3182-2015517689,"Air conditioning-""Built in wardrobes""",0.8-1.1-5.2,3,Nov/2019/2280000.0/SOLD-Oct/2017/1100000.0/SOLD
51-octavia-street-st-kilda-vic-3182,1565000,16-Mar-2019,4,2,1,-1,None,House,https://www.domain.com.au/51-octavia-street-st-kilda-vic-3182-2014893980,,0.8-0.8-4.6,3,Mar/2019/1565000.0/SOLD-Mar/2013/1350000.0/SOLD-Apr/2006/890000.0/SOLD
43-blanche-street-st-kilda-vic-3182,1600000,16-Mar-2019,4,2,1,-1,None,House,https://www.domain.com.au/43-blanche-street-st-kilda-vic-3182-2014904274,,0.5-1.8-5,3,Mar/2019/1600000.0/SOLD-Feb/2002/680000.0/SOLD-Apr/2000/290000.0/SOLD
22-acland-street-st-kilda-vic-3182,1700000,16-Feb-2019,4,2,-1,-1,None,House,https://www.domain.com.au/22-acland-street-st-kilda-vic-3182-2014887668,"Close to schools-""Close to shops""-""Close to transport""-""Ensuite""-""Fireplace(s)""-""Formal Lounge""-""Garden""-""Pergola""-""Open Fireplace""-""Built in wardrobes""-""Dishwasher""-""Floorboards""-""Hydronic Heating""",0.7-2-4.3,3,Feb/2019/1700000.0/SOLD-Mar/2014/950.0/SOLD
92-pakington-street-st-kilda-vic-3182,1625000,22-Jan-2019,4,2,-1,-1,None,House,https://www.domain.com.au/92-pakington-street-st-kilda-vic-3182-2014755538,,0.4-1.8-5.3,3,Jan/2019/1625000.0/SOLD-May/2013/973000.0/SOLD
9-gurner-street-st-kilda-vic-3182,2450000,14-Dec-2018,4,2,2,-1,None,House,https://www.domain.com.au/9-gurner-street-st-kilda-vic-3182-2014748394,,0.5-2.2-4.4,3,Dec/2018/2450000.0/SOLD
51-pakington-street-st-kilda-vic-3182,1505000,01-Dec-2018,4,2,1,-1,None,House,https://www.domain.com.au/51-pakington-street-st-kilda-vic-3182-2014757907,,0.3-1.8-5.3,3,Dec/2018/1505000.0/SOLD-Sep/2006/950.0/SOLD
62-blessington-street-st-kilda-vic-3182,2650000,17-Nov-2018,4,1,2,426,m2,House,https://www.domain.com.au/62-blessington-street-st-kilda-vic-3182-2014721487,,0.4-1.4-5.1,3,Nov/2018/2650000.0/SOLD-Jul/2007/1810500.0/SOLD-Feb/2005/1215000.0/SOLD
44-clyde-street-st-kilda-vic-3182,1555000,25-Oct-2018,4,2,1,-1,None,House,https://www.domain.com.au/44-clyde-street-st-kilda-vic-3182-2014699336,,0.9-1.9-4.5,3,Oct/2018/1555000.0/SOLD-May/2011/1470000.0/SOLD-Nov/1998/453000.0/SOLD
11a-baker-street-st-kilda-vic-3182,2615000,17-Sep-2018,4,4,2,-1,None,House,https://www.domain.com.au/11a-baker-street-st-kilda-vic-3182-2014610753,,0.9-1.1-5.2,3,Sep/2018/2615000.0/SOLD
12-victoria-street-st-kilda-vic-3182,1926000,28-Jul-2018,4,1,1,-1,None,House,https://www.domain.com.au/12-victoria-street-st-kilda-vic-3182-2014466223,,0.7-2.2-4.1,3,Jul/2018/1941000.0/SOLD
8-st-leonards-place-st-kilda-vic-3182,1770000,16-Jun-2018,4,2,2,-1,None,House,https://www.domain.com.au/8-st-leonards-place-st-kilda-vic-3182-2014420471,,0.5-2.2-4.3,3,Jun/2018/1770000.0/SOLD-Jun/1994/138000.0/SOLD
27-brighton-road-st-kilda-vic-3182,1610000,19-May-2018,4,2,-1,-1,None,House,https://www.domain.com.au/27-brighton-road-st-kilda-vic-3182-2014329816,,0-1.4-5.4,3,May/2018/1610000.0/SOLD-Aug/2013/1020999.9999999999/SOLD-Sep/1994/200000.0/SOLD
20a-wordsworth-street-st-kilda-vic-3182,2810000,17-Feb-2018,4,5,3,-1,None,House,https://www.domain.com.au/20a-wordsworth-street-st-kilda-vic-3182-2014116985,,0.8-1.1-5.2,3,Sep/2018/2810000.0/SOLD-Feb/2018/2810000.0/SOLD
22-charles-street-st-kilda-vic-3182,1630000,17-Oct-2017,4,2,2,-1,None,House,https://www.domain.com.au/22-charles-street-st-kilda-vic-3182-2013900162,,0.8-2.1-4.7,3,Oct/2017/1630000.0/SOLD-Dec/2000/389000.0/SOLD-May/2000/485500.0/SOLD
19-spenser-street-st-kilda-vic-3182,2200000,14-Oct-2017,4,1,-1,-1,None,House,https://www.domain.com.au/19-spenser-street-st-kilda-vic-3182-2013864259,,0.9-1.5-4.8,3,Oct/2017/950.0/SOLD
73-carlisle-street-st-kilda-vic-3182,1200000,21-Jun-2017,4,1,2,-1,None,House,https://www.domain.com.au/73-carlisle-street-st-kilda-vic-3182-2013611780,,0.4-1.6-5.1,3,Jun/2017/1200000.0/SOLD
32-acland-street-st-kilda-vic-3182,1580000,09-Jun-2017,4,2,1,-1,None,House,https://www.domain.com.au/32-acland-street-st-kilda-vic-3182-2013562363,,1-1.9-4.5,3,Jun/2017/1000.0/SOLD
35-wordsworth-street-st-kilda-vic-3182,2260000,29-Apr-2017,4,2,1,-1,None,House,https://www.domain.com.au/35-wordsworth-street-st-kilda-vic-3182-2013505126,,0.9-1.1-5.2,3,Apr/2017/2260000.0/SOLD-Jun/2015/800.0/SOLD
2-bundalohn-court-st-kilda-vic-3182,2175500,11-Apr-2017,4,2,3,503,m2,House,https://www.domain.com.au/2-bundalohn-court-st-kilda-vic-3182-2013396569,,0.3-1.4-5.2,3,Apr/2017/2157500.0/SOLD-Oct/1994/305000.0/SOLD
91-spenser-street-st-kilda-vic-3182,2455000,06-Mar-2017,4,1,1,300,m2,House,https://www.domain.com.au/91-spenser-street-st-kilda-vic-3182-2013378132,"Close to schools-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Garden""-""Secure Parking""-""Floorboards""-""Formal Lounge""-""Separate Dining""-""Terrace-Balcony""-""No heritage overlay""-""2 street frontages""-""facing park""-""near the beach.""",0.9-1.2-5.1,3,Jul/2021/2380000.0/SOLD-Mar/2017/2455000.0/SOLD
32-gurner-street-st-kilda-vic-3182,2220000,04-Mar-2017,4,2,2,-1,None,House,https://www.domain.com.au/32-gurner-street-st-kilda-vic-3182-2013363551,Remote Garage,0.5-2.3-4.4,3,Mar/2017/1000.0/SOLD
42-alma-road-st-kilda-vic-3182,2150000,12-Dec-2016,4,2,2,-1,None,House,https://www.domain.com.au/42-alma-road-st-kilda-vic-3182-2013201348,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Security Alarm""-""Garden""-""Secure Parking""-""Floorboards""-""Formal Lounge""-""Separate Dining""-""Terrace-Balcony""",0.9-1.1-4.7,3,Dec/2016/2150000.0/SOLD-Aug/1996/415000.0/SOLD-Mar/1994/395000.0/SOLD
7-foster-avenue-st-kilda-vic-3182,2405000,22-Oct-2016,4,2,3,-1,None,House,https://www.domain.com.au/7-foster-avenue-st-kilda-vic-3182-2013079482,,0.5-1.5-5,3,Oct/2016/1300.0/SOLD-Apr/1999/2405000.0/SOLD
