address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
205-hampshire-road-sunshine-vic-3020,3300000,05-Feb-2020,1,2,7,512,m2,House,https://www.domain.com.au/205-hampshire-road-sunshine-vic-3020-2015023595,,0.6-2.7-3.6,3,
77---79-hampshire-road-sunshine-vic-3020,1350000,24-Mar-2018,1,1,-1,550,m2,House,https://www.domain.com.au/77-79-hampshire-road-sunshine-vic-3020-2013557783,,0.1-0.3-3.2,3,
205-hampshire-road-sunshine-vic-3020,3000000,09-Mar-2017,1,1,7,512,m2,House,https://www.domain.com.au/205-hampshire-road-sunshine-vic-3020-2013379757,,0.6-2.7-3.6,3,
3/20-devonshire-road-sunshine-vic-3020,990000,18-Jul-2016,1,1,-1,-1,None,House,https://www.domain.com.au/3-20-devonshire-road-sunshine-vic-3020-2012853154,,0.7-2.7-3.6,3,
19/437-ballarat-road-sunshine-vic-3020,175000,06-Sep-2015,1,1,1,-1,None,House,https://www.domain.com.au/19-437-ballarat-road-sunshine-vic-3020-2012211399,,0.8-2.2-3.3,3,
8/33-king-edward-avenue-sunshine-vic-3020,170000,05-Dec-2014,1,1,1,-1,None,House,https://www.domain.com.au/8-33-king-edward-avenue-sunshine-vic-3020-2011511332,,0.6-1-2.4,3,
8-union-street-sunshine-vic-3020,445000,10-May-2014,1,1,1,-1,None,House,https://www.domain.com.au/8-union-street-sunshine-vic-3020-2011084252,,0.6-1.3-1.5,3,May/2014/440.0/SOLD
9/117-anderson-road-sunshine-vic-3020,150000,27-Nov-2013,1,1,1,-1,None,House,https://www.domain.com.au/9-117-anderson-road-sunshine-vic-3020-2010455765,,0.6-0.7-2.6,3,
420---424-ballarate-road-sunshine-vic-3020,930000,05-Oct-2012,1,1,2,1837,m2,House,https://www.domain.com.au/420-424-ballarate-road-sunshine-vic-3020-2010000721,,0.7-2.2-3.3,3,
2-city-place-sunshine-vic-3020,430000,26-Jul-2010,1,1,-1,-1,None,House,https://www.domain.com.au/2-city-place-sunshine-vic-3020-2008428898,,0.3-0.4-3,3,
28-couch-street-sunshine-vic-3020,366000,24-Jul-2010,1,1,-1,-1,None,House,https://www.domain.com.au/28-couch-street-sunshine-vic-3020-2008441233,,0.5-0.6-3.8,3,Jan/2016/625000.0/SOLD-Jul/2010/366000.0/SOLD
20/437-ballarat-road-sunshine-vic-3020,206000,08-May-2010,1,1,-1,-1,None,House,https://www.domain.com.au/20-437-ballarat-road-sunshine-vic-3020-2008313239,,0.8-2.2-3.3,3,
13-thwaites-street-sunshine-vic-3020,3000000,09-Feb-2010,1,1,-1,-1,None,House,https://www.domain.com.au/13-thwaites-street-sunshine-vic-3020-2007868307,,0.9-2.2-2.3,3,
17/7-pengelly-court-sunshine-vic-3020,215000,20-Oct-2009,1,1,1,-1,None,House,https://www.domain.com.au/17-7-pengelly-court-sunshine-vic-3020-2008037145,,0.7-2.5-3.6,3,
2/12-forrest-street-sunshine-vic-3020,167500,05-Sep-2009,1,1,1,-1,None,House,https://www.domain.com.au/2-12-forrest-street-sunshine-vic-3020-2007922980,,0.6-0.8-2.6,3,
13-thwiates-street-sunshine-vic-3020,531000,09-Jun-2009,1,1,-1,-1,None,House,https://www.domain.com.au/13-thwiates-street-sunshine-vic-3020-2007779330,,0.9-2.2-2.3,3,
6/33-king-edward-avenue-sunshine-vic-3020,151000,20-Mar-2009,1,1,1,-1,None,House,https://www.domain.com.au/6-33-king-edward-avenue-sunshine-vic-3020-2007539058,Undercover Parking,0.6-1-2.3,3,
