"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
204/254-hampshire-road-sunshine-vic-3020,570000,22-Nov-2021,2,2,1,-1,None,House,https://www.domain.com.au/204-254-hampshire-road-sunshine-vic-3020-2017439519,,0.6-2.7-3.7,3,
42-ardoyne-street-sunshine-vic-3020,431000,31-Oct-2021,2,1,1,292,m2,House,https://www.domain.com.au/42-ardoyne-street-sunshine-vic-3020-2017196575,,0.8-0.9-4,3,Oct/2021/431000.0/SOLD-Aug/1991/74000.0/SOLD
4a-roselea-court-sunshine-vic-3020,647000,30-Oct-2021,2,1,1,-1,None,House,https://www.domain.com.au/4a-roselea-court-sunshine-vic-3020-2017133053,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Study,0.8-2.1-3.2,3,Oct/2021/647000.0/SOLD
52-ardoyne-street-sunshine-vic-3020,870000,23-Oct-2021,2,1,1,570,m2,House,https://www.domain.com.au/52-ardoyne-street-sunshine-vic-3020-2017276848,Secure Parking*,0.7-0.8-3.9,3,Oct/2021/870000.0/SOLD-Jul/2015/471000.0/SOLD
312/254-hampshire-road-sunshine-vic-3020,570000,23-Sep-2021,2,2,1,-1,None,House,https://www.domain.com.au/312-254-hampshire-road-sunshine-vic-3020-2017277810,,0.6-2.7-3.7,3,
153-cornwall-road-sunshine-vic-3020,915000,18-Jul-2021,2,1,1,510,m2,House,https://www.domain.com.au/153-cornwall-road-sunshine-vic-3020-2017079798,,0.5-0.5-1.2,3,Jul/2021/915000.0/SOLD-Mar/2015/330.0/SOLD
52-couch-street-sunshine-vic-3020,740000,29-May-2021,2,1,-1,427,m2,House,https://www.domain.com.au/52-couch-street-sunshine-vic-3020-2016968036,Internal Laundry*-Heating*-Garden*,0.5-0.5-3.7,3,May/2021/740000.0/SOLD-Sep/2012/315.0/SOLD
8-gertrude-street-sunshine-vic-3020,1100000,16-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/8-gertrude-street-sunshine-vic-3020-2016953468,,0.7-1.2-3,3,May/2021/1100000.0/SOLD-Jan/1993/320.0/SOLD
6-mcgrath-street-sunshine-vic-3020,785000,08-May-2021,2,1,-1,-1,None,House,https://www.domain.com.au/6-mcgrath-street-sunshine-vic-3020-2016920092,Air conditioning*-Built in wardrobes*-Heating*-Garden*,0.5-1.1-1.4,3,May/2021/785000.0/SOLD
9-neil-street-sunshine-vic-3020,1360000,01-May-2021,2,1,3,600,m2,House,https://www.domain.com.au/9-neil-street-sunshine-vic-3020-2016909296,,0.9-2.4-3.5,3,May/2021/300.0/SOLD
2-yewers-street-sunshine-vic-3020,538000,24-Apr-2021,2,1,-1,-1,None,House,https://www.domain.com.au/2-yewers-street-sunshine-vic-3020-2016898815,Internal Laundry*-Garden*-Floorboards,0.5-1.1-1.4,3,Apr/2021/538000.0/SOLD
9-stonemark-street-sunshine-vic-3020,839000,19-Apr-2021,2,1,3,515,m2,House,https://www.domain.com.au/9-stonemark-street-sunshine-vic-3020-2016880043,,0.8-2.2-3.4,3,Apr/2021/839000.0/SOLD
37-boreham-street-sunshine-vic-3020,685000,12-Apr-2021,2,1,4,561,m2,House,https://www.domain.com.au/37-boreham-street-sunshine-vic-3020-2016872712,,1-4.2-4.8,3,Apr/2021/685000.0/SOLD
16-wilkinson-road-sunshine-vic-3020,750000,02-Mar-2021,2,1,-1,527,m2,House,https://www.domain.com.au/16-wilkinson-road-sunshine-vic-3020-2016772794,,0.6-1-2.7,3,Feb/2021/750000.0/SOLD-Aug/1986/49000.0/SOLD
11-mellor-street-sunshine-vic-3020,830000,20-Feb-2021,2,2,1,527,m2,House,https://www.domain.com.au/11-mellor-street-sunshine-vic-3020-2016745887,Air conditioning,0.8-2.3-3.4,3,Feb/2021/830000.0/SOLD
8-stonemark-street-sunshine-vic-3020,637000,09-Feb-2021,2,1,2,321,m2,House,https://www.domain.com.au/8-stonemark-street-sunshine-vic-3020-2016621676,,0.7-2.3-3.4,3,Jan/2021/637000.0/SOLD-Jan/2001/156500.0/SOLD
29-alice-street-sunshine-vic-3020,615000,21-Dec-2020,2,2,1,330,m2,House,https://www.domain.com.au/29-alice-street-sunshine-vic-3020-2016288843,,0.2-0.7-1.1,3,Dec/2020/615000.0/SOLD-Feb/2017/1050000.0/SOLD
16-nixon-street-sunshine-vic-3020,650000,23-Oct-2020,2,1,1,-1,None,House,https://www.domain.com.au/16-nixon-street-sunshine-vic-3020-2016527855,Air conditioning*-Secure Parking*-Heating*-Shed*-Garden*,0.5-1.2-1.4,3,Oct/2020/650000.0/SOLD
