,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,10-greig-street-sunshine-vic-3020,928000,19-Jun-2021,6,2,4,607,m2,House,https://www.domain.com.au/10-greig-street-sunshine-vic-3020-2016994833,,0.6-2.3-3.5,3,
1,2-monica-street-sunshine-vic-3020,998000,19-Dec-2020,5,2,3,582,m2,House,https://www.domain.com.au/2-monica-street-sunshine-vic-3020-2016653534,"Internal Laundry*-""Secure Parking*""-""Heating*""-""Study*""-""Shed*""-""Garden*""",0.9-1.5-3.6,3,Dec/2020/998000.0/SOLD
2,3-kathleen-crt-sunshine-vic-3020,850000,20-Nov-2019,5,3,1,-1,None,House,https://www.domain.com.au/3-kathleen-crt-sunshine-vic-3020-2016117340,,0.6-2.4-3.5,3,
3,5-norma-street-sunshine-vic-3020,720000,16-Mar-2019,5,2,1,687,m2,House,https://www.domain.com.au/5-norma-street-sunshine-vic-3020-2014930280,,0.9-1.5-3.6,3,Mar/2019/720000.0/SOLD-May/2015/350.0/SOLD
4,42-graham-street-sunshine-vic-3020,920000,14-Dec-2018,5,2,2,894,m2,House,https://www.domain.com.au/42-graham-street-sunshine-vic-3020-2014690009,"Deck-""Courtyard""-""Dishwasher""-""Built in wardrobes""-""Floorboards""-""Fireplace(s)""-""Air-Conditioner""-""Split System Heating""-""Alarm""-""Secure Parking""-""Outdoor Entertainment""-""Shed""-""Fully fenced""",0.4-0.5-2.8,3,May/2021/1153800.0/SOLD-Dec/2018/920000.0/SOLD
5,119-121-cornwall-road-sunshine-vic-3020,1650000,09-May-2018,5,2,2,1246,m2,House,https://www.domain.com.au/119-121-cornwall-road-sunshine-vic-3020-2013810661,"Built in wardrobes-""Floorboards""-""Air-Conditioner""-""Evaporative Cooling""-""Secure Parking""-""Shed""-""Fully fenced""",0.4-0.7-2.7,3,
6,91-monash-st-sunshine-vic-3020,1075000,24-Feb-2018,5,1,2,-1,None,House,https://www.domain.com.au/91-monash-st-sunshine-vic-3020-2014126599,,0.5-1.6-3.2,3,Feb/2018/480.0/SOLD-Feb/1996/1075000.0/SOLD
7,13-ernest-street-sunshine-vic-3020,710500,13-Sep-2017,5,2,5,-1,None,House,https://www.domain.com.au/13-ernest-street-sunshine-vic-3020-2013803108,Split System AirCon,0.3-0.5-1,3,Sep/2017/710500.0/SOLD
8,30-nixon-street-sunshine-vic-3020,730000,22-Apr-2017,6,2,2,-1,None,House,https://www.domain.com.au/30-nixon-street-sunshine-vic-3020-2013307184,,0.5-1.1-1.3,3,
9,20-norma-street-sunshine-vic-3020,890000,09-Jul-2016,5,2,2,-1,None,House,https://www.domain.com.au/20-norma-street-sunshine-vic-3020-2012865669,,0.8-1.4-3.6,3,Jul/2016/890000.0/SOLD-May/2014/585000.0/SOLD-Jan/1985/54000.0/SOLD
10,36-matthews-street-sunshine-vic-3020,950000,07-May-2016,5,2,2,-1,None,House,https://www.domain.com.au/36-matthews-street-sunshine-vic-3020-2012716586,,0.9-1.8-3.7,3,May/2016/950000.0/SOLD-Jan/1994/85000.0/SOLD-Jan/1986/37500.0/SOLD
11,40-graham-street-sunshine-vic-3020,865000,02-Apr-2016,5,3,2,822,m2,House,https://www.domain.com.au/40-graham-street-sunshine-vic-3020-2012638836,,0.4-0.5-2.8,3,Apr/2016/865000.0/SOLD
12,13-dorothy-avenue-sunshine-vic-3020,780000,20-Mar-2016,5,2,8,730,m2,House,https://www.domain.com.au/13-dorothy-avenue-sunshine-vic-3020-2012599779,,0.2-0.7-1.1,3,Mar/2016/780000.0/SOLD-Sep/2008/389000.0/SOLD-Feb/2007/275000.0/SOLD
13,115-cornwall-road-sunshine-vic-3020,935000,20-Feb-2016,5,2,2,-1,None,House,https://www.domain.com.au/115-cornwall-road-sunshine-vic-3020-2012547270,,0.4-0.8-2.7,3,Feb/2016/935000.0/SOLD-Oct/2002/384000.0/SOLD-Mar/2001/257000.0/SOLD
14,88-devonshire-road-sunshine-vic-3020,745000,13-Feb-2016,6,2,8,-1,None,House,https://www.domain.com.au/88-devonshire-road-sunshine-vic-3020-2012479289,"Air conditioning-""Heating""",0.6-1.1-2.9,3,
15,42-graham-street-sunshine-vic-3020,815000,10-Feb-2016,5,2,5,-1,None,House,https://www.domain.com.au/42-graham-street-sunshine-vic-3020-2012360894,Ensuite,0.4-0.5-2.8,3,May/2021/1153800.0/SOLD-Dec/2018/920000.0/SOLD
16,3-anderson-road-sunshine-vic-3020,500000,22-Dec-2015,5,3,-1,-1,None,House,https://www.domain.com.au/3-anderson-road-sunshine-vic-3020-2012381787,,0.5-0.6-3.7,3,Dec/2015/340.0/SOLD
17,6-ritchie-court-sunshine-vic-3020,660000,14-Dec-2015,5,2,1,-1,None,House,https://www.domain.com.au/6-ritchie-court-sunshine-vic-3020-2012421331,,0.5-1.6-3,3,Jan/2016/660000.0/SOLD-Sep/1996/91500.0/SOLD
18,14-hutchinson-street-sunshine-vic-3020,525000,21-Mar-2015,5,1,1,697,m2,House,https://www.domain.com.au/14-hutchinson-street-sunshine-vic-3020-2011775992,,0.5-1.2-2.4,3,
19,11-&-13-king-edward-avenue-(albion)-sunshine-vic-3020,2330000,12-Nov-2014,6,1,1,-1,None,House,https://www.domain.com.au/11-13-king-edward-avenue-albion-sunshine-vic-3020-2011022766,,0.5-1.8-2.6,3,
20,127-cornwall-road-sunshine-vic-3020,760000,10-Nov-2014,5,3,2,-1,None,House,https://www.domain.com.au/127-cornwall-road-sunshine-vic-3020-2011469773,,0.4-0.6-2.6,3,Nov/2014/760000.0/SOLD-Jun/1994/95500.0/SOLD
21,6-kathleen-court-sunshine-vic-3020,625000,08-Nov-2014,7,3,2,-1,None,House,https://www.domain.com.au/6-kathleen-court-sunshine-vic-3020-2011439938,,0.6-0.6-2.4,3,Nov/2014/625000.0/SOLD
22,42-graham-street-sunshine-vic-3020,676000,30-Aug-2014,5,2,2,893,m2,House,https://www.domain.com.au/42-graham-street-sunshine-vic-3020-2011356259,,0.4-0.5-2.8,3,May/2021/1153800.0/SOLD-Dec/2018/920000.0/SOLD
23,39-monash-street-sunshine-vic-3020,600000,09-Aug-2014,6,2,1,555,m2,House,https://www.domain.com.au/39-monash-street-sunshine-vic-3020-2011303484,Study,0.8-1.4-3.4,3,Jul/2014/600000.0/SOLD-Oct/2005/255000.0/SOLD
24,111-wright-street-sunshine-vic-3020,518000,23-Jun-2014,5,2,3,-1,None,House,https://www.domain.com.au/111-wright-street-sunshine-vic-3020-2010658865,"Air conditioning-""Built in wardrobes""-""Barbecue""",0.6-0.8-3.8,3,
