"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
50-broughton-road-surrey-hills-vic-3127,2071000,07-Dec-2021,4,3,1,-1,None,House,https://www.domain.com.au/50-broughton-road-surrey-hills-vic-3127-2017378751,Internal Laundry*-Dishwasher*-Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Alarm System-Close to schools-Ensuite-Lift Installed,0.7-2.5-2.7,3,Dec/2021/2071000.0000000002/SOLD-Jun/2000/300000.0/SOLD
8-goodwood-street-surrey-hills-vic-3127,2855000,20-Nov-2021,4,2,2,784,m2,House,https://www.domain.com.au/8-goodwood-street-surrey-hills-vic-3127-2017360792,nan,1-2.7-6.9,3,Nov/2021/2855000.0/SOLD-Mar/2015/2160000.0/SOLD-Jun/1997/253000.0/SOLD
15-pembroke-street-surrey-hills-vic-3127,2405000,20-Nov-2021,4,2,1,664,m2,House,https://www.domain.com.au/15-pembroke-street-surrey-hills-vic-3127-2017353033,nan,0.8-2.2-2.8,3,Nov/2021/2405000.0/SOLD-Sep/1996/272000.0/SOLD-Feb/1990/222500.0/SOLD
729-canterbury-road-surrey-hills-vic-3127,1920000,31-Oct-2021,4,3,2,-1,None,House,https://www.domain.com.au/729-canterbury-road-surrey-hills-vic-3127-2017293913,nan,0.5-2-2.8,3,Oct/2021/1920000.0/SOLD-Mar/2020/1400000.0/SOLD-Mar/1988/175000.0/SOLD
19-james-street-surrey-hills-vic-3127,3000000,27-Oct-2021,4,2,4,747,m2,House,https://www.domain.com.au/19-james-street-surrey-hills-vic-3127-2017301181,Built in wardrobes*-Gas*-Internal Laundry*-Bath*-Fireplace(s)*-Heating*,0.4-1.6-2.3,3,Oct/2021/3000000.0/SOLD-Feb/2002/820000.0/SOLD-Sep/1986/138000.0/SOLD
727-canterbury-road-(corner-benwerrin-road)-surrey-hills-vic-3127,2700000,21-Oct-2021,4,2,4,910,m2,House,https://www.domain.com.au/727-canterbury-road-corner-benwerrin-road-surrey-hills-vic-3127-2017299099,nan,0.5-2-2.9,3,
22-shepherd-street-surrey-hills-vic-3127,2080000,01-Oct-2021,4,3,2,426,m2,House,https://www.domain.com.au/22-shepherd-street-surrey-hills-vic-3127-2017232991,Secure Parking*-Intercom*-Balcony / Deck*-Internal Laundry-North Facing-Alarm System-Dishwasher-Shed,0.9-2.6-3,3,Sep/2021/2080000.0/SOLD-Mar/2016/1676000.0/SOLD
40-grovedale-road-surrey-hills-vic-3127,2600000,31-Jul-2021,4,3,3,627,m2,House,https://www.domain.com.au/40-grovedale-road-surrey-hills-vic-3127-2017088158,Gas*-Garden*-Balcony / Deck*,0.2-1.8-2.1,3,Jul/2021/2600000.0/SOLD-Aug/2016/870.0/SOLD
13-elm-street-surrey-hills-vic-3127,1902000,15-May-2021,4,2,1,604,m2,House,https://www.domain.com.au/13-elm-street-surrey-hills-vic-3127-2016958480,nan,1-2.7-2.9,3,May/2021/795.0/SOLD-Jul/2006/1902000.0/SOLD
16-anderson-street-surrey-hills-vic-3127,1924000,08-May-2021,4,2,2,-1,None,House,https://www.domain.com.au/16-anderson-street-surrey-hills-vic-3127-2016934609,nan,0.8-1.9-2.4,3,May/2021/1924000.0/SOLD
