"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
16a-glyndebourne-avenue-toorak-vic-3142,3525000,02-Sep-2021,3,2,2,-1,None,House,https://www.domain.com.au/16a-glyndebourne-avenue-toorak-vic-3142-2016962019,nan,1.5-1.6-7.4,3,Sep/2021/3525000.0/SOLD-Sep/2017/2950000.0/SOLD
244-williams-road-toorak-vic-3142,1880000,14-May-2021,3,1,1,-1,None,House,https://www.domain.com.au/244-williams-road-toorak-vic-3142-2016944981,nan,0.5-1.5-2.5,3,May/2021/1880000.0/SOLD-Jun/1989/390000.0/SOLD
4/226a-kooyong-road-toorak-vic-3142,3315000,08-May-2021,3,3,2,-1,None,House,https://www.domain.com.au/4-226a-kooyong-road-toorak-vic-3142-2016916287,Study,1.3-1.8-7.2,3,
residence-2/1009-malvern-road-toorak-vic-3142,2610000,24-Mar-2021,3,2,2,-1,None,House,https://www.domain.com.au/residence-2-1009-malvern-road-toorak-vic-3142-2016836624,nan,0.3-2.7-6.7,3,
15a-woodside-crescent-toorak-vic-3142,3103000,18-Mar-2021,3,2,4,-1,None,House,https://www.domain.com.au/15a-woodside-crescent-toorak-vic-3142-2016839114,nan,0.4-1.6-2.4,3,Mar/2021/3103000.0/SOLD-Apr/2019/2450000.0/SOLD-Sep/2004/1335000.0/SOLD
2c-denham-place-toorak-vic-3142,2350000,17-Dec-2020,3,2,2,-1,None,House,https://www.domain.com.au/2c-denham-place-toorak-vic-3142-2016401940,nan,0.7-2-7.5,3,Dec/2020/2350000.0/SOLD-Jul/1999/601000.0/SOLD
4-matthews-court-toorak-vic-3142,3770000,08-Dec-2020,3,2,2,-1,None,House,https://www.domain.com.au/4-matthews-court-toorak-vic-3142-2016604557,nan,1.1-1.2-1.9,3,Dec/2020/3770000.0/SOLD-Mar/2017/1195.0/SOLD
5-culshaw-street-toorak-vic-3142,1500000,05-Dec-2020,3,1,-1,-1,None,House,https://www.domain.com.au/5-culshaw-street-toorak-vic-3142-2016621326,nan,0.4-1.7-2.9,3,Dec/2020/1500000.0/SOLD-Sep/2010/849000.0/SOLD
27-mathoura-road-toorak-vic-3142,2535000,05-Dec-2020,3,1,1,-1,None,House,https://www.domain.com.au/27-mathoura-road-toorak-vic-3142-2016608708,nan,0.4-1.5-2.8,3,Dec/2020/2535000.0/SOLD
17-mandeville-crescent-toorak-vic-3142,2960000,21-Nov-2020,3,2,1,-1,None,House,https://www.domain.com.au/17-mandeville-crescent-toorak-vic-3142-2016598006,nan,0.4-2.9-2.9,3,Nov/2020/2960000.0/SOLD-Sep/2004/1175000.0/SOLD-May/1986/270000.0/SOLD
97-canterbury-road-toorak-vic-3142,5000000,18-Nov-2020,3,2,4,315,m2,House,https://www.domain.com.au/97-canterbury-road-toorak-vic-3142-2016593035,nan,0.1-1.8-2.4,3,Nov/2020/5000000.0/SOLD-May/2009/750.0/SOLD
101-canterbury-road-toorak-vic-3142,3780000,16-Nov-2020,3,2,2,-1,None,House,https://www.domain.com.au/101-canterbury-road-toorak-vic-3142-2016551215,Ensuite-Study-Dishwasher-Built in wardrobes-Floorboards-Fireplace(s)-Air-Conditioner-Ducted Heating-Alarm-Secure Parking-Courtyard-Outdoor Entertainment-Fully fenced,0.1-1.8-2.4,3,Nov/2020/3780000.0/SOLD-May/2016/2920000.0/SOLD-Feb/2012/1851000.0/SOLD
15b-woodside-crescent-toorak-vic-3142,2970000,12-Oct-2020,3,2,4,248,m2,House,https://www.domain.com.au/15b-woodside-crescent-toorak-vic-3142-2016470070,nan,0.4-1.6-2.4,3,Oct/2020/2970000.0/SOLD-Dec/2018/2700000.0/SOLD-Nov/1999/1050000.0/SOLD
22-balmerino-avenue-toorak-vic-3142,3000000,03-Jul-2020,3,3,1,-1,None,House,https://www.domain.com.au/22-balmerino-avenue-toorak-vic-3142-2016286513,Ensuite-Study-Built in wardrobes-Floorboards-Fireplace(s)-Intercom-Secure Parking-Courtyard,1-1.6-2.1,3,Jul/2020/3000000.0/SOLD-Feb/2014/973000.0/SOLD-May/1991/200000.0/SOLD
22-cloverdale-avenue-toorak-vic-3142,4300000,11-Jun-2020,3,3,2,-1,None,House,https://www.domain.com.au/22-cloverdale-avenue-toorak-vic-3142-2016259956,Study,0.9-1.6-2,3,Jun/2020/4300000.0/SOLD-Apr/2015/3500000.0/SOLD-Jun/2006/2530000.0/SOLD
11-torresdale-court-toorak-vic-3142,3600000,16-May-2020,3,3,2,383,m2,House,https://www.domain.com.au/11-torresdale-court-toorak-vic-3142-2016154052,nan,1.4-1.6-2.2,3,May/2020/1950.0/SOLD
19-ross-street-toorak-vic-3142,4500000,27-Mar-2020,3,3,2,-1,None,House,https://www.domain.com.au/19-ross-street-toorak-vic-3142-2016080001,nan,0.2-1.9-2.3,3,Mar/2020/4500000.0/SOLD-Dec/2017/4200000.0/SOLD-Mar/2011/1852000.0/SOLD
1/25-mathoura-road-toorak-vic-3142,2920000,21-Mar-2020,3,2,2,-1,None,House,https://www.domain.com.au/1-25-mathoura-road-toorak-vic-3142-2016105411,nan,0.4-1.5-2.8,3,
673-orrong-road-toorak-vic-3142,2700000,17-Mar-2020,3,2,2,490,m2,House,https://www.domain.com.au/673-orrong-road-toorak-vic-3142-2016098133,nan,0.3-2.1-2.4,3,Mar/2020/1495.0/SOLD
20-cloverdale-avenue-toorak-vic-3142,3365000,13-Dec-2019,3,1,1,397,m2,House,https://www.domain.com.au/20-cloverdale-avenue-toorak-vic-3142-2015853736,nan,0.9-1.6-2,3,Nov/2019/3365000.0/SOLD
