,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,13-tashinny-road-toorak-vic-3142,4500000,01-Apr-2021,4,4,3,-1,None,House,https://www.domain.com.au/13-tashinny-road-toorak-vic-3142-2016358728,,0.4-1.5-2.6,3,Apr/2021/4500000.0/SOLD-Jun/2019/3000.0/SOLD
1,18-may-road-toorak-vic-3142,3000000,12-Dec-2020,4,4,2,-1,None,House,https://www.domain.com.au/18-may-road-toorak-vic-3142-2016636659,,0.5-1.2-2.9,3,Dec/2020/2000.0/SOLD
2,6-cleeve-court-toorak-vic-3142,7000000,09-Nov-2020,4,5,2,511,m2,House,https://www.domain.com.au/6-cleeve-court-toorak-vic-3142-2016584237,,0.7-2.4-2.4,3,Nov/2020/7000000.0/SOLD-Dec/2015/5570000.0/SOLD-Dec/2008/2502500.0/SOLD
3,4-verdant-avenue-toorak-vic-3142,8100000,29-Oct-2020,4,3,4,831,m2,House,https://www.domain.com.au/4-verdant-avenue-toorak-vic-3142-2016305198,,0.9-1.7-2.1,3,Oct/2020/8100000.0/SOLD-Jun/2016/6875000.0/SOLD-Mar/1995/1000000.0/SOLD
4,18-gordon-street-toorak-vic-3142,3640000,27-Oct-2020,4,3,2,474,m2,House,https://www.domain.com.au/18-gordon-street-toorak-vic-3142-2016518334,,0.3-1.6-2.5,3,Oct/2020/3640000.0/SOLD
5,8-montalto-avenue-toorak-vic-3142,5500000,25-Jul-2020,4,3,5,669,m2,House,https://www.domain.com.au/8-montalto-avenue-toorak-vic-3142-2016270507,,0.3-2-2.3,3,Jul/2020/5500000.0/SOLD
6,23-canberra-road-toorak-vic-3142,4050000,27-Jun-2020,4,4,2,-1,None,House,https://www.domain.com.au/23-canberra-road-toorak-vic-3142-2016292408,,1-1.4-2,3,Jun/2020/4050000.0/SOLD-Jul/2009/2600000.0/SOLD
7,8-blackfriars-close-toorak-vic-3142,5000000,07-Dec-2019,4,3,2,988,m2,House,https://www.domain.com.au/8-blackfriars-close-toorak-vic-3142-2015873535,Study,0.9-1.6-2.4,3,Dec/2019/5000000.0/SOLD-Aug/2017/130000.0/SOLD-Aug/2011/3250000.0/SOLD
8,248-williams-road-toorak-vic-3142,1980000,14-Sep-2019,4,1,1,-1,None,House,https://www.domain.com.au/248-williams-road-toorak-vic-3142-2015535288,,0.5-1.5-2.4,3,May/2013/1302500.0/SOLD
9,1a-grong-grong-court-toorak-vic-3142,5580000,21-Aug-2019,4,4,2,-1,None,House,https://www.domain.com.au/1a-grong-grong-court-toorak-vic-3142-2015511323,,1.3-1.6-7.5,3,Aug/2019/5580000.0/SOLD-Sep/2015/2170000.0/SOLD
