"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
152-tarneit-road-werribee-vic-3030,500000,07-Dec-2021,4,1,2,544,m2,House,https://www.domain.com.au/152-tarneit-road-werribee-vic-3030-2017367589,Built in wardrobes-Secure Parking,0.8-1-1.3,3,Dec/2021/500000.0/SOLD-Apr/2018/350.0/SOLD
40-racecourse-road-werribee-vic-3030,599950,07-Dec-2021,4,2,1,498,m2,House,https://www.domain.com.au/40-racecourse-road-werribee-vic-3030-2017377250,nan,0.2-1.9-1,3,Mar/2016/390000.0/SOLD
27-salinga-drive-werribee-vic-3030,625000,06-Dec-2021,4,2,2,-1,None,House,https://www.domain.com.au/27-salinga-drive-werribee-vic-3030-2017462587,nan,0.6-3.1-2.1,3,Dec/2021/625000.0/SOLD-Sep/2018/360.0/SOLD
5-thrush-court-werribee-vic-3030,580000,04-Dec-2021,4,2,2,753,m2,House,https://www.domain.com.au/5-thrush-court-werribee-vic-3030-2017391859,Gas*-Secure Parking*-Dishwasher*-Study*,0.4-2.2-0.6,3,Dec/2021/580000.0/SOLD
1-eagle-street-werribee-vic-3030,1200000,03-Dec-2021,4,2,5,537,m2,House,https://www.domain.com.au/1-eagle-street-werribee-vic-3030-2017422424,nan,0.3-0.7-0.2,3,Dec/2021/1200000.0/SOLD-Sep/1995/166500.0/SOLD
32-dongala-drive-werribee-vic-3030,650000,02-Dec-2021,4,2,2,536,m2,House,https://www.domain.com.au/32-dongala-drive-werribee-vic-3030-2017390640,nan,0.4-2.3-1.2,3,Dec/2021/650000.0/SOLD-Dec/2000/187500.0/SOLD-Oct/1995/127900.0/SOLD
59-exploration-avenue-werribee-vic-3030,730000,01-Dec-2021,4,2,2,420,m2,House,https://www.domain.com.au/59-exploration-avenue-werribee-vic-3030-2017260032,nan,0.3-3.1-2.3,3,Dec/2021/730000.0/SOLD-Mar/2012/233700.0/SOLD
33-alfred-road-werribee-vic-3030,595000,30-Nov-2021,4,2,2,350,m2,House,https://www.domain.com.au/33-alfred-road-werribee-vic-3030-2017356693,nan,0.7-3.6-2.6,3,Nov/2021/595000.0/SOLD-May/2017/360.0/SOLD
12-wolsely-close-werribee-vic-3030,810000,29-Nov-2021,4,2,3,714,m2,House,https://www.domain.com.au/12-wolsely-close-werribee-vic-3030-2017372260,Ensuite-Built in wardrobes-Internal Laundry-Gas-Bath-Separate Dining Room-Heating-Dishwasher-Study-Secure Parking-Shed-Fully fenced-Garden / Courtyard,0.5-1.8-0.3,3,Nov/2021/810000.0/SOLD
39-goldeneye-circuit-werribee-vic-3030,835000,29-Nov-2021,4,2,4,470,m2,House,https://www.domain.com.au/39-goldeneye-circuit-werribee-vic-3030-2017336117,nan,1-3.4-4.4,3,Nov/2021/835000.0/SOLD-Sep/2016/259000.0/SOLD
