address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
12/88-victoria-street-williamstown-vic-3016,320000,27-Mar-2021,1,1,1,-1,None,House,https://www.domain.com.au/12-88-victoria-street-williamstown-vic-3016-2016854881,"Garden*-""Built in wardrobes""",0.5-0.6-9.5,3,
15-haslam-street-williamstown-vic-3016,720000,26-Oct-2019,1,1,-1,-1,None,House,https://www.domain.com.au/15-haslam-street-williamstown-vic-3016-2015694592,,0.6-1.2-9.3,3,Oct/2019/525.0/SOLD-Feb/1987/720000.0/SOLD
8/95-melbourne-road-williamstown-vic-3016,276000,17-Oct-2019,1,1,1,-1,None,House,https://www.domain.com.au/8-95-melbourne-road-williamstown-vic-3016-2015635049,,0.4-0.8-9.4,3,
1/9-adeline-street-williamstown-vic-3016,417500,19-Mar-2019,1,1,1,-1,None,House,https://www.domain.com.au/1-9-adeline-street-williamstown-vic-3016-2014975752,,0.3-0.8-8.9,3,
30-thomas-street-williamstown-vic-3016,981000,25-Mar-2017,1,1,3,-1,None,House,https://www.domain.com.au/30-thomas-street-williamstown-vic-3016-2013413485,,0.6-1.2-8.7,3,Mar/2017/370.0/SOLD
6/1-syme-street-williamstown-vic-3016,282500,20-Jun-2016,1,1,1,-1,None,House,https://www.domain.com.au/6-1-syme-street-williamstown-vic-3016-2011669068,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""",0.5-0.9-10.2,3,
7-alfred-place-williamstown-vic-3016,580000,11-May-2015,1,1,-1,-1,None,House,https://www.domain.com.au/7-alfred-place-williamstown-vic-3016-2011871759,"Close to schools-""Close to shops""-""Close to transport""",0.6-1.3-9.6,3,Feb/2021/1290000.0/SOLD-Sep/2018/1215000.0/SOLD
7/125-ferguson-street-williamstown-vic-3016,295000,05-Aug-2013,1,1,-1,-1,None,House,https://www.domain.com.au/7-125-ferguson-street-williamstown-vic-3016-2010489369,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""",0.3-0.7-9.4,3,
127-douglas-parade-williamstown-vic-3016,1400000,14-May-2013,1,1,-1,-1,None,House,https://www.domain.com.au/127-douglas-parade-williamstown-vic-3016-2010369713,,0.5-1.1-9,3,
2/63-macauly-street-williamstown-vic-3016,304000,26-Feb-2013,1,1,-1,-1,None,House,https://www.domain.com.au/2-63-macauly-street-williamstown-vic-3016-2010240919,"Air conditioning-""Close to schools""-""Close to shops""-""Close to transport""",0.8-0.9-7.8,3,
11/88-victoria-street-williamstown-vic-3016,287000,21-Jul-2011,1,1,1,-1,None,House,https://www.domain.com.au/11-88-victoria-street-williamstown-vic-3016-2009072083,"Close to schools-""Close to shops""-""Close to transport""",0.5-0.6-9.5,3,
205-nelson-place-williamstown-vic-3016,1925000,09-Sep-2010,1,2,-1,-1,None,House,https://www.domain.com.au/205-nelson-place-williamstown-vic-3016-2008398788,,0.3-0.7-10.1,3,
