"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
12-electra-street-williamstown-vic-3016,3310000,04-Dec-2021,4,2,1,597,m2,House,https://www.domain.com.au/12-electra-street-williamstown-vic-3016-2017399411,,0.1-0.4-10,3,Dec/2021/3310000.0/SOLD-Jul/1994/206000.0/SOLD
28-dover-road-williamstown-vic-3016,1550000,27-Nov-2021,4,2,2,-1,None,House,https://www.domain.com.au/28-dover-road-williamstown-vic-3016-2017445121,,0.7-1.3-9.3,3,Dec/2021/1550000.0/SOLD-Aug/2011/930000.0/SOLD-Apr/2000/302000.0/SOLD
15a-kokoda-road-williamstown-vic-3016,1403000,26-Nov-2021,4,3,2,-1,None,House,https://www.domain.com.au/15a-kokoda-road-williamstown-vic-3016-2017380810,,0.3-0.8-9.3,3,Nov/2021/1403000.0/SOLD
8-thompson-street-williamstown-vic-3016,2325000,25-Nov-2021,4,1,1,706,m2,House,https://www.domain.com.au/8-thompson-street-williamstown-vic-3016-2017074160,,0.4-0.8-10.4,3,Nov/2021/2325000.0/SOLD
1-crofton-drive-williamstown-vic-3016,2180000,25-Nov-2021,4,2,3,-1,None,House,https://www.domain.com.au/1-crofton-drive-williamstown-vic-3016-2017391956,,1.4-1.4-9.5,3,Oct/1994/101000.0/SOLD
32-tobruk-crescent-williamstown-vic-3016,2220000,06-Nov-2021,4,1,2,588,m2,House,https://www.domain.com.au/32-tobruk-crescent-williamstown-vic-3016-2017288747,Air conditioning-Built in wardrobes,1-1.1-9.6,3,Nov/2021/2220000.0/SOLD-Dec/2005/557500.0/SOLD-May/1987/120000.0/SOLD
22a-the-strand-williamstown-vic-3016,4400000,05-Nov-2021,4,4,4,-1,None,House,https://www.domain.com.au/22a-the-strand-williamstown-vic-3016-2017325958,,0.9-1.5-1,3,Nov/2021/4400000.0/SOLD-Jul/2017/3800000.0/SOLD
3-hannan-street-williamstown-vic-3016,2385000,30-Oct-2021,4,1,3,428,m2,House,https://www.domain.com.au/3-hannan-street-williamstown-vic-3016-2017280718,,0.9-1.2-10.1,3,Oct/2021/2385000.0/SOLD
167-osborne-street-williamstown-vic-3016,2050000,27-Oct-2021,4,2,3,-1,None,House,https://www.domain.com.au/167-osborne-street-williamstown-vic-3016-2017311297,Internal Laundry*-Secure Parking*-Solar panels*-Close to transport-Close to shops-Close to schools-Study,0.3-0.5-10.1,3,Nov/2021/2049999.9999999998/SOLD-Oct/2005/770000.0/SOLD
8-henry-street-williamstown-vic-3016,1860000,26-Oct-2021,4,2,2,-1,None,House,https://www.domain.com.au/8-henry-street-williamstown-vic-3016-2017306121,,0.7-0.8-8.4,3,Oct/2021/1860000.0/SOLD
