address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
11-tobruk-crescent-williamstown-vic-3016,3000000,20-Nov-2021,5,2,6,-1,None,House,https://www.domain.com.au/11-tobruk-crescent-williamstown-vic-3016-2017352082,,0.9-1-9.6,3,Nov/2021/3000000.0/SOLD-May/2011/1900000.0/SOLD-Jul/2009/1950000.0/SOLD
193-osborne-street-williamstown-vic-3016,1910000,22-Oct-2021,6,2,-1,-1,None,House,https://www.domain.com.au/193-osborne-street-williamstown-vic-3016-2017302876,,0.4-0.7-10,3,Oct/2021/1910000.0/SOLD-Mar/1992/143000.0/SOLD
20-james-street-williamstown-vic-3016,2150000,27-May-2021,5,2,-1,354,m2,House,https://www.domain.com.au/20-james-street-williamstown-vic-3016-2016977450,,0.7-1.4-9.6,3,May/2021/2150000.0/SOLD-Feb/2005/515000.0/SOLD-Oct/2000/315000.0/SOLD
152-melbourne-road-williamstown-vic-3016,1800000,01-Apr-2021,5,2,2,-1,None,House,https://www.domain.com.au/152-melbourne-road-williamstown-vic-3016-2016684104,"Built in wardrobes*-""Secure Parking*""-""Heating*""-""Dishwasher*""",0.2-0.7-8.9,3,Apr/2021/1800000.0/SOLD-Apr/2007/465000.0/SOLD
85-nelson-place-williamstown-vic-3016,2806000,29-Mar-2021,19,6,10,-1,None,House,https://www.domain.com.au/85-nelson-place-williamstown-vic-3016-2016827710,"Heating*-""Garden*""",0.6-1-10.4,3,
4a-mariner-street-williamstown-vic-3016,1800000,12-Feb-2021,5,2,2,-1,None,House,https://www.domain.com.au/4a-mariner-street-williamstown-vic-3016-2016746589,,0.8-1.4-1,3,Feb/2021/1800000.0/SOLD
williamstown-vic-3016,2800100,18-Dec-2020,5,4,4,665,m2,House,https://www.domain.com.au/williamstown-vic-3016-2016661643,"Air conditioning-""Floorboards""-""Alarm System""-""Intercom""-""Built in wardrobes""-""Internal Laundry""-""Gas""-""Broadband internet access""-""Bath""-""Fireplace(s)""-""Heating""-""Dishwasher""-""Study""-""Secure Parking""-""Shed""-""Balcony / Deck""-""Garden / Courtyard""-""Swimming Pool""-""Double glazed windows""-""Energy efficient appliances""-""Water efficient appliances""-""Wall / ceiling insulation""",0.3-0.5-10.4,3,
1-verdon-st-williamstown-vic-3016,1970000,21-Sep-2020,5,2,-1,-1,None,House,https://www.domain.com.au/1-verdon-st-williamstown-vic-3016-2016078050,,0.2-0.2-10.1,3,Sep/2020/1970000.0/SOLD-Oct/1997/237500.0/SOLD
33-laverton-street-williamstown-vic-3016,3110000,15-Sep-2020,5,3,3,-1,None,House,https://www.domain.com.au/33-laverton-street-williamstown-vic-3016-2016219758,"Close to transport-""Close to shops""-""Close to schools""",0.5-0.7-9.7,3,Sep/2020/3110000.0/SOLD-May/2015/2850000.0/SOLD-Apr/2011/2300000.0/SOLD
22-victoria-st-williamstown-vic-3016,2050000,01-Jul-2020,6,2,2,-1,None,House,https://www.domain.com.au/22-victoria-st-williamstown-vic-3016-2016156054,,0.7-1-10,3,Jun/2020/2049999.9999999998/SOLD-Dec/1996/485000.0/SOLD
33-hannan-street-williamstown-vic-3016,2450000,19-Jun-2020,5,2,1,780,m2,House,https://www.domain.com.au/33-hannan-street-williamstown-vic-3016-2016087710,"Built in wardrobes-""Swimming Pool""",0.8-1.1-9.8,3,Jun/2020/2450000.0/SOLD-Sep/2016/2230000.0/SOLD-Jul/2007/1500000.0/SOLD
