"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
134-victoria-avenue-albert-park-vic-3206,1525000,19-Oct-2021,1,1,-1,141,m2,House,https://www.domain.com.au/134-victoria-avenue-albert-park-vic-3206-2017290399,Study,0.2-0.5-1.2,3,Oct/2021/500.0/SOLD
9-young-street-albert-park-vic-3206,1151000,28-Aug-2021,1,1,-1,-1,None,House,https://www.domain.com.au/9-young-street-albert-park-vic-3206-2017178060,,0.5-1.1-1.7,3,Sep/2021/1151000.0/SOLD-Sep/1986/86000.0/SOLD-Jul/1984/60500.0/SOLD
3-little-o'-grady-street-albert-park-vic-3206,1300000,05-May-2021,1,1,-1,-1,None,House,https://www.domain.com.au/3-little-o-grady-street-albert-park-vic-3206-2016898607,,0.3-0.7-1.4,3,
11-little-o'-grady-street-albert-park-vic-3206,1223000,13-Mar-2021,1,1,-1,107,m2,House,https://www.domain.com.au/11-little-o-grady-street-albert-park-vic-3206-2016805392,,0.3-0.7-1.4,3,
15-little-o'grady-street-albert-park-vic-3206,1018000,20-Feb-2017,1,1,-1,-1,None,House,https://www.domain.com.au/15-little-o-grady-street-albert-park-vic-3206-2013339099,Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Floorboards,0.3-0.7-1.4,3,
12-little-o'grady-street-albert-park-vic-3206,950000,26-Sep-2015,1,2,-1,-1,None,House,https://www.domain.com.au/12-little-o-grady-street-albert-park-vic-3206-2012230312,,0.3-0.7-1.4,3,
26-little-o'grady-street-albert-park-vic-3206,840000,21-Feb-2015,1,1,-1,82,m2,House,https://www.domain.com.au/26-little-o-grady-street-albert-park-vic-3206-2011726099,,0.3-0.7-1.3,3,
1-bevan-street-albert-park-vic-3206,790000,21-Jun-2014,1,1,-1,-1,None,House,https://www.domain.com.au/1-bevan-street-albert-park-vic-3206-2011208203,,0.5-1-1.4,3,Jun/2014/790000.0/SOLD
1-page-street-albert-park-vic-3206,800000,13-Nov-2010,1,1,1,-1,None,House,https://www.domain.com.au/1-page-street-albert-park-vic-3206-2008624677,Study,0.3-0.4-1.2,3,
17-little-o'grady-street-albert-park-vic-3206,765000,24-Oct-2010,1,1,-1,-1,None,House,https://www.domain.com.au/17-little-o-grady-street-albert-park-vic-3206-2008464007,,0.3-0.7-1.4,3,
32-little-page-street-albert-park-vic-3206,1425000,04-Dec-2021,2,1,-1,-1,None,House,https://www.domain.com.au/32-little-page-street-albert-park-vic-3206-2017402748,,0.5-0.5-1.4,3,Dec/2021/1425000.0/SOLD-May/2019/987500.0/SOLD
12-durham-street-albert-park-vic-3206,1650000,08-Oct-2021,2,1,-1,-1,None,House,https://www.domain.com.au/12-durham-street-albert-park-vic-3206-2017283043,,0.3-0.4-0.8,3,Oct/2021/1650000.0/SOLD
27-philipson-street-albert-park-vic-3206,187000,29-Sep-2021,2,1,1,-1,None,House,https://www.domain.com.au/27-philipson-street-albert-park-vic-3206-2017270790,,0.5-0.5-1.4,3,Sep/2021/1870000.0/SOLD-Sep/2016/1405000.0/SOLD
53-barrett-street-albert-park-vic-3206,2100000,17-Aug-2021,2,1,1,-1,None,House,https://www.domain.com.au/53-barrett-street-albert-park-vic-3206-2017211657,,0.3-0.3-1.1,3,Aug/2021/2100000.0/SOLD-Apr/2019/1650000.0/SOLD
116-graham-street-albert-park-vic-3206,1668000,10-Jul-2021,2,1,-1,-1,None,House,https://www.domain.com.au/116-graham-street-albert-park-vic-3206-2017075355,,0.2-0.5-1.2,3,Jul/2021/620.0/SOLD
12-canterbury-road-albert-park-vic-3206,2373000,22-May-2021,2,1,2,277,m2,House,https://www.domain.com.au/12-canterbury-road-albert-park-vic-3206-2016968760,,0.5-1.1-1.7,3,May/2021/2373000.0/SOLD-Oct/1995/325000.0/SOLD-Dec/1993/109000.0/SOLD
5-young-street-albert-park-vic-3206,1620000,22-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/5-young-street-albert-park-vic-3206-2016966072,,0.5-1.1-1.7,3,May/2021/1620000.0/SOLD-Jun/1989/500.0/SOLD
42-barrett-street-albert-park-vic-3206,1435000,17-May-2021,2,1,-1,-1,None,House,https://www.domain.com.au/42-barrett-street-albert-park-vic-3206-2016968732,,0.2-0.4-1,3,May/2021/1435000.0/SOLD
1-kerferd-place-albert-park-vic-3206,1325000,08-May-2021,2,1,-1,-1,None,House,https://www.domain.com.au/1-kerferd-place-albert-park-vic-3206-2016932989,,0.5-0.9-1.5,3,May/2021/1325000.0/SOLD
23-herbert-place-albert-park-vic-3206,1807500,01-May-2021,2,1,-1,179,m2,House,https://www.domain.com.au/23-herbert-place-albert-park-vic-3206-2016920848,,0.4-1-1.7,3,May/2021/1807500.0/SOLD
11-herbert-street-albert-park-vic-3206,1680000,17-Apr-2021,2,2,-1,105,m2,House,https://www.domain.com.au/11-herbert-street-albert-park-vic-3206-2016888455,Close to transport-Close to shops-Close to schools-Ensuite-Balcony-Courtyard-Garden / Courtyard-Deck-Dishwasher-Ducted Cooling-Ducted Heating,0.4-0.9-1.7,3,Apr/2021/1680000.0/SOLD
83-graham-street-albert-park-vic-3206,1533000,27-Mar-2021,2,1,-1,-1,None,House,https://www.domain.com.au/83-graham-street-albert-park-vic-3206-2016836513,,0.1-0.5-1,3,Mar/2021/1533000.0/SOLD-Jul/1984/65250.0/SOLD
12-little-page-street-albert-park-vic-3206,1115000,20-Mar-2021,2,1,-1,-1,None,House,https://www.domain.com.au/12-little-page-street-albert-park-vic-3206-2016816502,,0.3-0.5-1.2,3,Mar/2021/1115000.0/SOLD-Dec/1982/34000.0/SOLD
7-page-street-albert-park-vic-3206,2020000,20-Mar-2021,2,1,-1,163,m2,House,https://www.domain.com.au/7-page-street-albert-park-vic-3206-2016816055,Ensuite-Built in wardrobes-Fireplace(s),0.4-0.4-1.3,3,Mar/2021/2020000.0/SOLD
41-withers-street-albert-park-vic-3206,1325000,12-Mar-2021,2,1,-1,120,m2,House,https://www.domain.com.au/41-withers-street-albert-park-vic-3206-2016886698,,0.2-0.6-1.2,3,Mar/2021/700.0/SOLD
126-mills-street-albert-park-vic-3206,1860000,06-Feb-2021,2,1,-1,170,m2,House,https://www.domain.com.au/126-mills-street-albert-park-vic-3206-2016717582,Air conditioning-Built in wardrobes-Fireplace(s),0.1-0.9-1.8,3,Feb/2021/1860000.0/SOLD-Jul/2017/1535000.0/SOLD
33-st-vincent-street-albert-park-vic-3206,1950000,24-Dec-2020,2,1,1,-1,None,Terrace,https://www.domain.com.au/33-st-vincent-street-albert-park-vic-3206-2016440925,,0.2-0.5-0.8,3,Dec/2020/1950000.0/SOLD-May/2018/795.0/SOLD
66-richardson-street-albert-park-vic-3206,1890000,13-Dec-2020,2,1,1,182,m2,House,https://www.domain.com.au/66-richardson-street-albert-park-vic-3206-2016547362,Air conditioning-Floorboards-Built in wardrobes-Pets Allowed-Bath-Heating-Dishwasher-Study-Secure Parking-Garden / Courtyard-Double glazed windows,0.3-0.3-1,3,Dec/2020/1890000.0/SOLD-Mar/2014/1230000.0/SOLD
31-little-page-street-albert-park-vic-3206,1230000,03-Nov-2020,2,1,-1,-1,None,House,https://www.domain.com.au/31-little-page-street-albert-park-vic-3206-2016566285,,0.5-0.6-1.5,3,Nov/2020/1230000.0/SOLD-Sep/2006/407500.0/SOLD
75-kerferd-road-albert-park-vic-3206,1330000,06-Aug-2020,2,1,1,-1,None,House,https://www.domain.com.au/75-kerferd-road-albert-park-vic-3206-2016404689,,0.3-0.8-1.6,3,Aug/2020/1330000.0/SOLD
41-moubray-street-albert-park-vic-3206,1817500,05-Aug-2020,2,1,-1,-1,None,House,https://www.domain.com.au/41-moubray-street-albert-park-vic-3206-2016378749,,0.2-0.5-1.2,3,Aug/2020/1817500.0/SOLD-Oct/1998/350000.0/SOLD-Apr/1985/113000.0/SOLD
27-ogrady-street-albert-park-vic-3206,1700000,20-May-2020,2,1,1,-1,None,House,https://www.domain.com.au/27-ogrady-street-albert-park-vic-3206-2016274997,Secure Parking-Courtyard-Fully fenced-Split System AirCon-Split System Heating-Pets Allowed-Wood Heating,0.3-0.7-1.3,3,May/2020/1700000.0/SOLD-Dec/2017/570.0/SOLD
14-withers-street-albert-park-vic-3206,1000000,18-Apr-2020,2,1,-1,94,m2,House,https://www.domain.com.au/14-withers-street-albert-park-vic-3206-2016142797,,0.1-0.4-1,3,Apr/2020/1000000.0/SOLD-May/1984/46000.0/SOLD
62-little-page-street-albert-park-vic-3206,922000,31-Mar-2020,2,1,-1,-1,None,House,https://www.domain.com.au/62-little-page-street-albert-park-vic-3206-2016381130,,0.3-0.7-1.6,3,Mar/2020/922000.0/SOLD-Mar/1977/25500.0/SOLD
60-little-page-street-albert-park-vic-3206,981000,31-Mar-2020,2,1,-1,-1,None,House,https://www.domain.com.au/60-little-page-street-albert-park-vic-3206-2016184494,,0.3-0.7-1.6,3,Mar/2020/981000.0/SOLD-Nov/2005/465000.0/SOLD
30-withers-street-albert-park-vic-3206,1300000,30-Mar-2020,2,1,-1,-1,None,House,https://www.domain.com.au/30-withers-street-albert-park-vic-3206-2016202361,,0.2-0.3-1,3,Mar/2020/1300000.0/SOLD-Nov/2006/495000.0/SOLD
83-little-page-street-albert-park-vic-3206,1380000,19-Dec-2019,2,1,-1,115,m2,House,https://www.domain.com.au/83-little-page-street-albert-park-vic-3206-2015985730,,0.2-0.9-1.8,3,Dec/2019/1380000.0/SOLD-Jul/2016/650.0/SOLD
34-withers-street-albert-park-vic-3206,1326000,07-Dec-2019,2,1,-1,120,m2,House,https://www.domain.com.au/34-withers-street-albert-park-vic-3206-2015878404,,0.2-0.4-1,3,Dec/2019/550.0/SOLD
21-carter-street-albert-park-vic-3206,1980000,09-Nov-2019,2,2,1,-1,None,House,https://www.domain.com.au/21-carter-street-albert-park-vic-3206-2015771391,,0.3-0.9-1.7,3,Nov/2019/1980000.0/SOLD-Dec/2012/1037500.0000000001/SOLD
97-st-vincent-street-albert-park-vic-3206,900000,21-Sep-2019,2,1,-1,91,m2,House,https://www.domain.com.au/97-st-vincent-street-albert-park-vic-3206-2015554158,,0.3-0.4-0.7,3,Sep/2019/900000.0/SOLD
8-little-ogrady-street-albert-park-vic-3206,1165000,28-Aug-2019,2,1,-1,-1,None,House,https://www.domain.com.au/8-little-ogrady-street-albert-park-vic-3206-2015647793,,0.3-0.7-1.4,3,Aug/2019/1165000.0/SOLD
3-finlay-street-albert-park-vic-3206,1275000,24-Aug-2019,2,1,-1,-1,None,House,https://www.domain.com.au/3-finlay-street-albert-park-vic-3206-2015498573,,0.4-0.8-1.5,3,Aug/2019/1275000.0/SOLD
8-little-finlay-street-albert-park-vic-3206,970000,10-Aug-2019,2,1,-1,-1,None,House,https://www.domain.com.au/8-little-finlay-street-albert-park-vic-3206-2015450943,,0.3-0.6-1.4,3,Aug/2019/650.0/SOLD-Apr/2009/970000.0/SOLD
95-st-vincent-street-albert-park-vic-3206,855000,29-Jun-2019,2,1,-1,-1,None,House,https://www.domain.com.au/95-st-vincent-street-albert-park-vic-3206-2015311962,,0.3-0.4-0.7,3,Jun/2019/855000.0/SOLD
81-little-page-street-albert-park-vic-3206,1510000,27-Jun-2019,2,1,-1,-1,None,House,https://www.domain.com.au/81-little-page-street-albert-park-vic-3206-2015409837,,0.2-0.9-1.8,3,Jun/2019/1510000.0/SOLD-Feb/2012/670000.0/SOLD
5-herbert-place-albert-park-vic-3206,1030000,22-Jun-2019,2,1,-1,-1,None,House,https://www.domain.com.au/5-herbert-place-albert-park-vic-3206-2015297713,,0.5-1-1.7,3,Jun/2019/1030000.0/SOLD
32-little-page-street-albert-park-vic-3206,987500,06-May-2019,2,1,-1,-1,None,House,https://www.domain.com.au/32-little-page-street-albert-park-vic-3206-2015115779,,0.5-0.5-1.4,3,Dec/2021/1425000.0/SOLD-May/2019/987500.0/SOLD
53-barrett-street-albert-park-vic-3206,1650000,06-Apr-2019,2,1,1,-1,None,House,https://www.domain.com.au/53-barrett-street-albert-park-vic-3206-2015004020,,0.3-0.3-1.1,3,Aug/2021/2100000.0/SOLD-Apr/2019/1650000.0/SOLD
7-merton-place-albert-park-vic-3206,1525000,23-Mar-2019,2,1,1,-1,None,House,https://www.domain.com.au/7-merton-place-albert-park-vic-3206-2014971501,Floorboards-Built in wardrobes-Internal Laundry-Bath-Heating-Dishwasher-Secure Parking,0.4-0.6-1.4,3,Mar/2019/1525000.0/SOLD
29-carter-street-albert-park-vic-3206,1175000,20-Mar-2019,2,1,-1,-1,None,House,https://www.domain.com.au/29-carter-street-albert-park-vic-3206-2014983051,,0.3-0.9-1.7,3,Mar/2019/1175000.0/SOLD
35-reed-street-albert-park-vic-3206,1530000,23-Feb-2019,2,1,-1,-1,None,House,https://www.domain.com.au/35-reed-street-albert-park-vic-3206-2014920714,Air conditioning-Heating-Garden / Courtyard,0.1-0.7-1,3,Feb/2019/1530000.0/SOLD
29-little-page-street-albert-park-vic-3206,1185000,17-Nov-2018,2,1,-1,-1,None,House,https://www.domain.com.au/29-little-page-street-albert-park-vic-3206-2014727208,,0.5-0.6-1.4,3,Nov/2018/600.0/SOLD
112-danks-street-albert-park-vic-3206,1520000,31-Jul-2018,2,1,2,-1,None,House,https://www.domain.com.au/112-danks-street-albert-park-vic-3206-2014505082,Close to schools-Close to shops-Close to transport,0.2-0.6-1.2,3,Jul/2018/1520000.0/SOLD
6-erskine-street-albert-park-vic-3206,1705000,28-Jul-2018,2,1,-1,-1,None,House,https://www.domain.com.au/6-erskine-street-albert-park-vic-3206-2014479224,Close to schools-Close to shops-Close to transport,0.1-0.9-1.7,3,Jul/2018/850.0/SOLD
47-finlay-street-albert-park-vic-3206,2000000,30-Jun-2018,2,1,1,-1,None,House,https://www.domain.com.au/47-finlay-street-albert-park-vic-3206-2014421137,Close to schools-Close to shops-Close to transport,0.3-0.6-1.3,3,Jun/2018/2000000.0/SOLD-Feb/1996/231000.0/SOLD-Oct/1992/200000.0/SOLD
44-barrett-street-albert-park-vic-3206,1250000,30-May-2018,2,1,-1,-1,None,House,https://www.domain.com.au/44-barrett-street-albert-park-vic-3206-2014367472,,0.2-0.4-1,3,Sep/2019/1350000.0/SOLD-May/2018/1250000.0/SOLD
124-mills-street-albert-park-vic-3206,1720000,07-Apr-2018,2,1,-1,-1,None,House,https://www.domain.com.au/124-mills-street-albert-park-vic-3206-2014244573,Close to schools-Close to shops-Close to transport,0.1-0.9-1.8,3,Apr/2018/1720000.0/SOLD-Aug/2016/1575000.0/SOLD-Sep/2015/1410000.0/SOLD
73-ashworth-street-albert-park-vic-3206,1957500,19-Feb-2018,2,2,1,-1,None,House,https://www.domain.com.au/73-ashworth-street-albert-park-vic-3206-2014123466,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Secure Parking-Formal Lounge-Terrace-Balcony,0.4-0.8-1.7,3,Feb/2018/1957500.0/SOLD
24-merton-street-albert-park-vic-3206,1433000,19-Feb-2018,2,1,-1,-1,None,House,https://www.domain.com.au/24-merton-street-albert-park-vic-3206-2014123959,Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s),0.1-0.6-1.1,3,
28-draper-street-albert-park-vic-3206,1900000,31-Dec-2017,2,1,1,-1,None,House,https://www.domain.com.au/28-draper-street-albert-park-vic-3206-2013993851,,0.5-1-1.2,3,Dec/2017/1900000.0/SOLD
93-graham-street-albert-park-vic-3206,1360000,10-Dec-2017,2,1,-1,-1,None,House,https://www.domain.com.au/93-graham-street-albert-park-vic-3206-2014003771,,0.2-0.4-1.1,3,Dec/2017/1360000.0/SOLD-Jan/2016/1170000.0/SOLD
14-faussett-street-albert-park-vic-3206,1400000,05-Dec-2017,2,1,-1,-1,None,House,https://www.domain.com.au/14-faussett-street-albert-park-vic-3206-2013951130,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s),0.2-0.7-1.3,3,Nov/2019/2600000.0/SOLD-Dec/2017/1400000.0/SOLD-Aug/1976/38000.0/SOLD
38-herbert-place-albert-park-vic-3206,1550000,18-Nov-2017,2,2,-1,-1,None,House,https://www.domain.com.au/38-herbert-place-albert-park-vic-3206-2013953011,,0.4-0.9-1.6,3,Jun/2004/380.0/SOLD-Nov/2002/510000.0/SOLD
21-little-page-street-albert-park-vic-3206,1125000,23-Sep-2017,2,1,1,-1,None,House,https://www.domain.com.au/21-little-page-street-albert-park-vic-3206-2013793085,,0.4-0.5-1.3,3,Sep/2017/650.0/SOLD
