"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
14-railway-crescent-broadmeadows-vic-3047,500000,17-Mar-2018,1,1,1,193,m2,House,https://www.domain.com.au/14-railway-crescent-broadmeadows-vic-3047-2014183113,Close to schools-Close to shops-Close to transport-Secure Parking,0.6-0.7-0.3,3,
39-blair-street-broadmeadows-vic-3047,1035000,01-Aug-2017,1,1,1,-1,None,House,https://www.domain.com.au/39-blair-street-broadmeadows-vic-3047-2013685672,,0.2-1.1-0.5,3,Aug/2017/1034999.9999999999/SOLD-Dec/1996/67500.0/SOLD
7-berkeley-close-broadmeadows-vic-3047,290000,08-Jul-2014,1,1,1,-1,None,House,https://www.domain.com.au/7-berkeley-close-broadmeadows-vic-3047-2011219537,,0.7-2.5-1,3,Nov/2016/330000.0/SOLD-May/2014/290000.0/SOLD
2/28-elliott-avenue-broadmeadows-vic-3047,545000,29-Oct-2021,2,2,1,-1,None,House,https://www.domain.com.au/2-28-elliott-avenue-broadmeadows-vic-3047-2017374144,,0.6-1.4-0.5,3,
2/350-camp-road-broadmeadows-vic-3047,425000,28-Sep-2021,2,2,1,171,m2,House,https://www.domain.com.au/2-350-camp-road-broadmeadows-vic-3047-2016991348,Air conditioning*-Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Dishwasher*-Garden*,0.2-1.3-0.4,3,
46-gerbert-street-broadmeadows-vic-3047,615000,27-Sep-2021,2,1,2,-1,None,House,https://www.domain.com.au/46-gerbert-street-broadmeadows-vic-3047-2017175849,Garden*,0.1-1.5-0.5,3,Sep/2021/615000.0/SOLD
2-colin-court-broadmeadows-vic-3047,410000,24-Sep-2021,2,1,2,358,m2,House,https://www.domain.com.au/2-colin-court-broadmeadows-vic-3047-2017259786,Built in wardrobes,0.7-1.3-0.5,3,Sep/2021/410000.0/SOLD-Jun/2016/270000.0/SOLD-Aug/1986/48000.0/SOLD
329-camp-road-broadmeadows-vic-3047,460000,19-Jul-2021,2,1,1,-1,None,House,https://www.domain.com.au/329-camp-road-broadmeadows-vic-3047-2017116368,Garden*,0.1-1.4-0.5,3,Jul/2021/460000.0/SOLD
3/36-blair-street-broadmeadows-vic-3047,357500,29-Jun-2021,2,1,1,158,m2,Villa,https://www.domain.com.au/3-36-blair-street-broadmeadows-vic-3047-2016953269,,0.2-1.2-0.5,3,
15-waverley-street-broadmeadows-vic-3047,570000,14-Feb-2021,2,1,2,604,m2,House,https://www.domain.com.au/15-waverley-street-broadmeadows-vic-3047-2016575676,,1.1-1.5-0.5,3,Apr/2021/585000.0/SOLD
39-nepean-street-broadmeadows-vic-3047,600000,11-Jan-2021,2,1,-1,696,m2,House,https://www.domain.com.au/39-nepean-street-broadmeadows-vic-3047-2016671999,Garden*,0.1-1.3-0.5,3,Dec/2020/600000.0/SOLD-Oct/2016/475000.0/SOLD
3/10-avalon-avenue-broadmeadows-vic-3047,398000,07-Jan-2021,2,1,2,211,m2,Villa,https://www.domain.com.au/3-10-avalon-avenue-broadmeadows-vic-3047-2016677367,Internal Laundry*-Secure Parking*-Bath*-Heating*-Garden*-Balcony / Deck*-Built in wardrobes-Close to transport-Close to shops-Close to schools-Courtyard,0.7-1.1-0.1,3,
3/13-dunn-street-broadmeadows-vic-3047,430000,07-Mar-2020,2,2,1,-1,None,House,https://www.domain.com.au/3-13-dunn-street-broadmeadows-vic-3047-2015873474,Air conditioning-Built in wardrobes-Close to transport-Close to shops-Close to schools,1.1-1.3-0.4,3,
5-dacelo-avenue-broadmeadows-vic-3047,550000,20-Feb-2020,2,1,2,651,m2,House,https://www.domain.com.au/5-dacelo-avenue-broadmeadows-vic-3047-2016043344,,0.6-1-0.2,3,Feb/2020/550000.0/SOLD-Oct/1999/240.0/SOLD
1/86-lahinch-street-broadmeadows-vic-3047,346000,28-Jan-2020,2,1,1,278,m2,House,https://www.domain.com.au/1-86-lahinch-street-broadmeadows-vic-3047-2015345733,Close to schools-Close to shops-Close to transport-Fireplace(s)-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining,0.4-1.1-0.3,3,
15-holberry-street-broadmeadows-vic-3047,526000,14-Dec-2019,2,1,1,586,m2,House,https://www.domain.com.au/15-holberry-street-broadmeadows-vic-3047-2015882164,Air conditioning*-Internal Laundry*-Garden*,0.4-1.7-0.7,3,Dec/2019/526000.0/SOLD-Oct/2009/315000.0/SOLD
