"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
35-lygon-lane-carlton-vic-3053,595000,13-Apr-2019,1,1,-1,-1,None,House,https://www.domain.com.au/35-lygon-lane-carlton-vic-3053-2015027454,,0.4-1-0.8,3,Apr/2019/595000.0/SOLD-May/2013/466000.0/SOLD-Feb/2008/360000.0/SOLD
816/800-swanston-street-carlton-vic-3053,250000,23-Oct-2018,1,1,-1,-1,None,House,https://www.domain.com.au/816-800-swanston-street-carlton-vic-3053-2014658523,,0.4-0.8-1,3,
51-macarthur-place-south-carlton-vic-3053,900000,14-May-2018,1,1,-1,-1,None,House,https://www.domain.com.au/51-macarthur-place-south-carlton-vic-3053-2014305725,,0.3-1.4-0.6,3,May/2018/900000.0/SOLD
164-canning-street-carlton-vic-3053,1252000,17-Feb-2018,1,1,1,-1,None,House,https://www.domain.com.au/164-canning-street-carlton-vic-3053-2014118522,,0.4-1.4-0.4,3,Feb/2018/470.0/SOLD
18-macarthur-place-north-carlton-vic-3053,1465000,07-Aug-2017,1,1,-1,-1,None,House,https://www.domain.com.au/18-macarthur-place-north-carlton-vic-3053-2013730143,,0.3-1.5-0.7,3,Aug/2017/1465000.0/SOLD-Dec/2015/1117000.0/SOLD
93-kay-street-carlton-vic-3053,700000,23-Nov-2015,1,1,-1,-1,None,House,https://www.domain.com.au/93-kay-street-carlton-vic-3053-2012354578,,0.3-1.4-0.6,3,Nov/2015/370.0/SOLD-Feb/2014/700000.0/SOLD
23-owen-street-carlton-vic-3053,900000,16-May-2015,1,1,-1,-1,None,House,https://www.domain.com.au/23-owen-street-carlton-vic-3053-2011921778,,0.4-1.5-1.6,3,May/2015/900000.0/SOLD-Aug/2004/401000.0/SOLD
93-kay-street-carlton-vic-3053,700000,28-Feb-2014,1,1,-1,-1,None,House,https://www.domain.com.au/93-kay-street-carlton-vic-3053-2010973130,,0.3-1.4-0.6,3,Nov/2015/370.0/SOLD-Feb/2014/700000.0/SOLD
415/22-orr-street-carlton-vic-3053,172800,25-Jul-2012,1,1,-1,-1,None,House,https://www.domain.com.au/415-22-orr-street-carlton-vic-3053-2008912927,,0.6-1.3-0.7,3,
57/121-rathdowne-street-carlton-vic-3053,400000,28-Apr-2012,1,1,1,-1,None,House,https://www.domain.com.au/57-121-rathdowne-street-carlton-vic-3053-2009607447,,0.2-1.4-0.4,3,
28-rathdowne-street-carlton-vic-3053,595000,23-Sep-2011,1,1,-1,-1,None,House,https://www.domain.com.au/28-rathdowne-street-carlton-vic-3053-2009165324,,0.3-1.3-0.6,3,Sep/2011/720.0/SOLD
816/800-swanston-street-carlton-vic-3053,280000,25-Jan-2011,1,1,-1,-1,None,House,https://www.domain.com.au/816-800-swanston-street-carlton-vic-3053-2008559991,,0.4-0.8-1.1,3,
1508/570-lygon-street-carlton-vic-3053,210000,04-Dec-2010,1,1,-1,-1,None,House,https://www.domain.com.au/1508-570-lygon-street-carlton-vic-3053-2008594869,,0.3-1.2-0.6,3,
1306/570-lygon-street-carlton-vic-3053,212000,15-Jun-2009,1,1,1,-1,None,House,https://www.domain.com.au/1306-570-lygon-street-carlton-vic-3053-2007782321,,0.3-1.1-0.6,3,
250-rathdowne-street-carlton-vic-3053,1050000,27-Nov-2021,2,1,1,-1,None,House,https://www.domain.com.au/250-rathdowne-street-carlton-vic-3053-2017380084,,0.3-1.2-0.5,3,Nov/2021/1050000.0/SOLD
100-station-street-carlton-vic-3053,1110000,09-Oct-2021,2,1,-1,-1,None,House,https://www.domain.com.au/100-station-street-carlton-vic-3053-2017173352,,0.5-1.5-0.4,3,Oct/2021/1110000.0/SOLD
187-canning-street-carlton-vic-3053,1200000,12-Aug-2021,2,1,1,-1,None,House,https://www.domain.com.au/187-canning-street-carlton-vic-3053-2017118165,,0.4-1.4-0.4,3,Aug/2021/1200000.0/SOLD-Aug/2019/525.0/SOLD
33-elgin-street-carlton-vic-3053,1280000,07-Aug-2021,2,1,1,-1,None,House,https://www.domain.com.au/33-elgin-street-carlton-vic-3053-2017132792,,0.4-1.6-0.6,3,Aug/2021/1280000.0/SOLD-May/2006/550000.0/SOLD-Jul/2000/249000.0/SOLD
24-faraday-street-carlton-vic-3053,1270000,17-Jul-2021,2,1,-1,-1,None,House,https://www.domain.com.au/24-faraday-street-carlton-vic-3053-2017093943,,0.5-1.5-1.6,3,Jul/2021/590.0/SOLD
45-pitt-street-carlton-vic-3053,1115000,02-Jul-2021,2,1,-1,-1,None,House,https://www.domain.com.au/45-pitt-street-carlton-vic-3053-2016982031,,0.2-1.4-0.6,3,Jul/2021/1115000.0/SOLD
12-charles-street-carlton-vic-3053,1255000,29-May-2021,2,1,-1,112,m2,House,https://www.domain.com.au/12-charles-street-carlton-vic-3053-2016983341,,0.4-1.4-0.4,3,May/2021/1255000.0/SOLD-May/2000/256250.0/SOLD
266-elgin-street-carlton-vic-3053,1430000,27-Mar-2021,2,1,1,-1,None,House,https://www.domain.com.au/266-elgin-street-carlton-vic-3053-2016307455,,0.4-0.8-1.1,3,Mar/2021/1430000.0/SOLD-Oct/2005/625000.0/SOLD
43-pitt-street-carlton-vic-3053,1230000,05-Mar-2021,2,1,-1,-1,None,House,https://www.domain.com.au/43-pitt-street-carlton-vic-3053-2016825889,,0.2-1.4-0.6,3,Mar/2021/1230000.0/SOLD
97-princes-street-carlton-vic-3053,920000,15-Dec-2020,2,1,1,-1,None,House,https://www.domain.com.au/97-princes-street-carlton-vic-3053-2016679171,,0.2-1.2-0.4,3,Dec/2020/920000.0/SOLD-Apr/2011/630000.0/SOLD
38-macarthur-place-carlton-vic-3053,1490000,20-Nov-2020,2,2,-1,-1,None,House,https://www.domain.com.au/38-macarthur-place-carlton-vic-3053-2016620304,,0.3-1.4-0.7,3,
72-palmerston-street-carlton-vic-3053,880000,31-Oct-2020,2,1,-1,-1,None,House,https://www.domain.com.au/72-palmerston-street-carlton-vic-3053-2016544224,,0.3-1.5-0.6,3,Oct/2020/880000.0/SOLD
38-dorrit-street-carlton-vic-3053,1175000,19-Jun-2020,2,1,-1,89,m2,House,https://www.domain.com.au/38-dorrit-street-carlton-vic-3053-2016259353,,0.4-1-0.8,3,Jun/2020/1175000.0/SOLD-Feb/2001/312500.0/SOLD
113-kay-street-carlton-vic-3053,920000,15-Jun-2020,2,1,-1,-1,None,House,https://www.domain.com.au/113-kay-street-carlton-vic-3053-2016251230,ROW,0.2-1.4-0.6,3,Jun/2020/920000.0/SOLD
34-rathdowne-street-carlton-vic-3053,980000,26-May-2020,2,1,-1,-1,None,House,https://www.domain.com.au/34-rathdowne-street-carlton-vic-3053-2016234238,,0.3-1.3-0.6,3,May/2020/980000.0/SOLD
3-pagan-lane-carlton-vic-3053,1505000,11-Apr-2020,2,2,1,-1,None,House,https://www.domain.com.au/3-pagan-lane-carlton-vic-3053-2016146092,,0.4-1.5-0.3,3,Apr/2020/1505000.0/SOLD
31-keppel-street-carlton-vic-3053,1400000,25-Mar-2020,2,2,1,-1,None,House,https://www.domain.com.au/31-keppel-street-carlton-vic-3053-2016126818,,0.2-1-1,3,Mar/2020/1400000.0/SOLD-Apr/2008/740000.0/SOLD
51-neill-street-carlton-vic-3053,1415000,29-Feb-2020,2,1,1,148,m2,House,https://www.domain.com.au/51-neill-street-carlton-vic-3053-2016049695,,0.4-1.4-0.4,3,Feb/2020/750.0/SOLD
119-barkly-street-carlton-vic-3053,995000,15-Nov-2019,2,1,-1,-1,None,House,https://www.domain.com.au/119-barkly-street-carlton-vic-3053-2015679768,,0.3-1.4-0.5,3,Nov/2019/995000.0/SOLD
170-canning-street-carlton-vic-3053,1750000,12-Oct-2019,2,2,1,-1,None,House,https://www.domain.com.au/170-canning-street-carlton-vic-3053-2015632292,,0.4-1.4-0.4,3,Oct/2019/750.0/SOLD-Oct/1997/1750000.0/SOLD
87-princes-street-carlton-vic-3053,665000,07-Sep-2019,2,1,-1,-1,None,House,https://www.domain.com.au/87-princes-street-carlton-vic-3053-2015515905,,0.2-1.2-0.4,3,Sep/2019/665000.0/SOLD
187-canning-street-carlton-vic-3053,995000,17-Aug-2019,2,1,1,-1,None,House,https://www.domain.com.au/187-canning-street-carlton-vic-3053-2015467481,,0.4-1.4-0.4,3,Aug/2021/1200000.0/SOLD-Aug/2019/525.0/SOLD
245-nicholson-street-carlton-vic-3053,1125000,06-Jun-2019,2,1,-1,187,m2,House,https://www.domain.com.au/245-nicholson-street-carlton-vic-3053-2015216491,,0.4-1.5-0.3,3,
99-princes-street-carlton-vic-3053,860000,08-Mar-2019,2,1,1,-1,None,House,https://www.domain.com.au/99-princes-street-carlton-vic-3053-2014960318,,0.2-1.2-0.4,3,Mar/2019/860000.0/SOLD-Aug/2008/505000.0/SOLD-Jun/2001/274000.0/SOLD
16-barrup-street-carlton-vic-3053,1306000,02-Mar-2019,2,1,1,-1,None,House,https://www.domain.com.au/16-barrup-street-carlton-vic-3053-2014928663,,0.4-1.5-1.6,3,Mar/2019/1306000.0/SOLD-Jan/1987/430.0/SOLD
1115/570-lygon-street-carlton-vic-3053,325000,24-Feb-2019,2,1,-1,-1,None,House,https://www.domain.com.au/1115-570-lygon-street-carlton-vic-3053-2014780902,,0.3-1.1-0.7,3,
404-cardigan-street-carlton-vic-3053,765000,23-Feb-2019,2,1,1,-1,None,House,https://www.domain.com.au/404-cardigan-street-carlton-vic-3053-2014911837,,0.3-1-0.9,3,
114-kay-street-carlton-vic-3053,1310000,30-Jan-2019,2,2,1,-1,None,House,https://www.domain.com.au/114-kay-street-carlton-vic-3053-2014884791,,0.3-1.4-0.5,3,Jan/2019/1310000.0/SOLD-Mar/2013/782500.0/SOLD-Jul/2004/555000.0/SOLD
186-canning-street-carlton-vic-3053,1075000,06-Oct-2018,2,1,-1,-1,None,House,https://www.domain.com.au/186-canning-street-carlton-vic-3053-2014633202,,0.5-1.4-0.3,3,Oct/2018/650.0/SOLD
107-princes-street-carlton-vic-3053,818000,18-Aug-2018,2,1,1,-1,None,House,https://www.domain.com.au/107-princes-street-carlton-vic-3053-2014518103,,0.2-1.2-0.4,3,Aug/2018/818000.0/SOLD-Mar/1994/117000.0/SOLD-Jul/1986/67000.0/SOLD
10-charles-street-carlton-vic-3053,935000,30-Jun-2018,2,1,-1,-1,None,House,https://www.domain.com.au/10-charles-street-carlton-vic-3053-2014423529,Courtyard-Fully fenced,0.4-1.4-0.4,3,Jun/2018/935000.0/SOLD
28-dorrit-street-carlton-vic-3053,1155000,23-Jun-2018,2,1,-1,-1,None,House,https://www.domain.com.au/28-dorrit-street-carlton-vic-3053-2014412710,,0.4-1-0.8,3,Jun/2018/1155000.0/SOLD-Dec/1992/188500.0/SOLD-Jan/1992/188500.0/SOLD
75-station-street-carlton-vic-3053,1160000,12-Jun-2018,2,1,-1,-1,None,House,https://www.domain.com.au/75-station-street-carlton-vic-3053-2014332840,,0.4-1.6-0.5,3,Jun/2018/1160000.0/SOLD-Feb/1987/92500.0/SOLD
39-nicholson-street-carlton-vic-3053,917000,28-Apr-2018,2,1,-1,-1,None,House,https://www.domain.com.au/39-nicholson-street-carlton-vic-3053-2014286011,,0.5-1.5-1.7,3,Apr/2018/917000.0/SOLD
162-canning-street-carlton-vic-3053,1410000,19-Mar-2018,2,2,-1,-1,None,House,https://www.domain.com.au/162-canning-street-carlton-vic-3053-2014193947,,0.4-1.5-0.4,3,
2-challis-lane-carlton-vic-3053,840000,14-Oct-2017,2,1,-1,-1,None,House,https://www.domain.com.au/2-challis-lane-carlton-vic-3053-2013868511,,0.3-1.1-0.8,3,Nov/2020/892500.0/SOLD-Dec/2017/840000.0/SOLD-Oct/2014/805513.0/SOLD
