"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
beachbox-44-mccrae-vic-3938,124776,02-Mar-2021,1,1,-1,-1,None,House,https://www.domain.com.au/beachbox-44-mccrae-vic-3938-2016749634,Garden*,2.2-4.2-3,3,
boat-shed-66-mccrae-vic-3938,190000,12-Jan-2021,1,1,-1,-1,None,House,https://www.domain.com.au/boat-shed-66-mccrae-vic-3938-2016644921,Shed*-Garden*-Solar panels*-Balcony / Deck-Water Views,1.3-3.6-2.7,3,
boatshed-f61-mccrae-vic-3938,300000,24-Nov-2020,1,1,-1,-1,None,House,https://www.domain.com.au/boatshed-f61-mccrae-vic-3938-2016619553,Garden*-Water Views,2.1-4.2-3.1,3,
58-flinders-street-mccrae-vic-3938,795000,29-Oct-2019,1,1,-1,1601,m2,House,https://www.domain.com.au/58-flinders-street-mccrae-vic-3938-2015694899,,2.1-4.2-3,3,Oct/2019/795000.0/SOLD
beachbox-f11-mccrae-foreshore-mccrae-vic-3938,80000,26-Jul-2018,1,1,-1,15,m2,House,https://www.domain.com.au/beachbox-f11-mccrae-foreshore-mccrae-vic-3938-2014093189,Floorboards-Water Views,2.1-4.4-3.6,3,
f12-boat-shed-mccrae-foreshore-mccrae-vic-3938,280000,08-Mar-2018,1,1,-1,-1,None,House,https://www.domain.com.au/f12-boat-shed-mccrae-foreshore-mccrae-vic-3938-2014088019,,2.1-4.3-3.1,3,
1a-william-street-mccrae-vic-3938,325000,08-May-2015,1,1,2,298,m2,House,https://www.domain.com.au/1a-william-street-mccrae-vic-3938-2011883356,Heating-Garden / Courtyard-Dishwasher,1.8-4.1-3.1,3,
3-talbot-grove-mccrae-vic-3938,337000,12-Apr-2014,1,1,-1,1174,m2,House,https://www.domain.com.au/3-talbot-grove-mccrae-vic-3938-2011052640,,1.8-3.5-2,3,Apr/2014/337000.0/SOLD
32-wattle-road-mccrae-vic-3938,870000,26-Oct-2021,2,1,2,644,m2,House,https://www.domain.com.au/32-wattle-road-mccrae-vic-3938-2017223163,Internal Laundry*-Deck-Fully fenced-Shed-Floorboards-Gas Heating,1.3-3.3-2.2,3,Oct/2021/870000.0/SOLD
1/20-catherine-street-mccrae-vic-3938,716000,12-Sep-2021,2,1,1,165,m2,House,https://www.domain.com.au/1-20-catherine-street-mccrae-vic-3938-2017175877,Heating*-Fully fenced*-Air conditioning-Built in wardrobes-Secure Parking-Garden / Courtyard-Close to beach,1.7-3.9-3,3,
41a-hillman-avenue-mccrae-vic-3938,682000,13-Jan-2021,2,2,2,-1,None,House,https://www.domain.com.au/41a-hillman-avenue-mccrae-vic-3938-2016927782,,1.5-2.9-1.5,3,Jan/2021/682000.0/SOLD
7-catherine-street-mccrae-vic-3938,947500,08-Jan-2021,2,1,1,507,m2,House,https://www.domain.com.au/7-catherine-street-mccrae-vic-3938-2016708077,Built in wardrobes*-Gas*-Bath*-Heating*-Dishwasher*-Garden*,1.8-4-3.1,3,Jan/2021/947500.0/SOLD-Oct/2014/475000.0/SOLD-Mar/2007/450000.0/SOLD
257-bayview-road-mccrae-vic-3938,550000,03-Dec-2020,2,1,-1,1000,m2,House,https://www.domain.com.au/257-bayview-road-mccrae-vic-3938-2016509044,,1.3-2.8-1.5,3,Nov/2020/550000.0/SOLD
11-arthurs-avenue-mccrae-vic-3938,630000,18-Feb-2020,2,1,2,919,m2,House,https://www.domain.com.au/11-arthurs-avenue-mccrae-vic-3938-2015206235,Floorboards-Balcony / Deck-Fireplace(s)-Garden,1.9-5.1-3.9,3,Feb/2020/630000.0/SOLD-Feb/2016/495100.0/SOLD
8-marjorie-court-mccrae-vic-3938,590000,06-Dec-2019,2,1,4,1022,m2,House,https://www.domain.com.au/8-marjorie-court-mccrae-vic-3938-2015612279,Air conditioning-Gas Heating,1.5-3.5-2.3,3,Dec/2020/1450000.0/SOLD-Nov/2019/590000.0/SOLD-Dec/1995/90500.0/SOLD
58-armstrong-road-mccrae-vic-3938,562500,21-Oct-2019,2,1,2,385,m2,House,https://www.domain.com.au/58-armstrong-road-mccrae-vic-3938-2015761403,,1.3-2.8-1.4,3,Jan/2020/562500.0/SOLD-May/2009/335000.0/SOLD-Feb/2007/207500.0/SOLD
49-somers-avenue-mccrae-vic-3938,725000,01-Sep-2019,2,2,1,811,m2,House,https://www.domain.com.au/49-somers-avenue-mccrae-vic-3938-2014942927,,1.9-3.8-2.4,3,Sep/2019/725000.0/SOLD
55-armstrong-road-mccrae-vic-3938,582500,27-May-2019,2,1,1,955,m2,House,https://www.domain.com.au/55-armstrong-road-mccrae-vic-3938-2015136184,Balcony / Deck-Floorboards-Fully fenced-Shed,1.4-2.8-1.4,3,Oct/2020/310000.0/SOLD-May/2019/582500.0/SOLD
