"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
3/102-mcmahon-road-reservoir-vic-3073,390000,20-Mar-2021,1,1,1,-1,None,House,https://www.domain.com.au/3-102-mcmahon-road-reservoir-vic-3073-2016823539,Internal Laundry*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden,0.8-1.8-0.3,3,
45-shand-road-reservoir-vic-3073,840000,12-Mar-2021,1,1,-1,641,m2,House,https://www.domain.com.au/45-shand-road-reservoir-vic-3073-2016721986,Garden*,0.2-0.9-5.6,3,Feb/2021/840000.0/SOLD-Sep/1986/280.0/SOLD
1/154-north-road-reservoir-vic-3073,410000,19-Nov-2020,1,1,1,-1,None,House,https://www.domain.com.au/1-154-north-road-reservoir-vic-3073-2016606008,Secure Parking-Garden / Courtyard,0.8-1.6-5.1,3,
3/165-edwardes-street-reservoir-vic-3073,370000,11-May-2020,1,1,1,-1,None,Villa,https://www.domain.com.au/3-165-edwardes-street-reservoir-vic-3073-2016204384,Courtyard-Built in wardrobes-Floorboards,0.9-2.3-5.4,3,
1/194-purinuan-road-reservoir-vic-3073,233000,12-Sep-2019,1,1,1,-1,None,House,https://www.domain.com.au/1-194-purinuan-road-reservoir-vic-3073-2015544550,Built in wardrobes-Close to schools-Close to shops-Floorboards,0.6-1.4-0.8,3,
15a-churchill-avenue-reservoir-vic-3073,380000,18-May-2019,1,1,1,-1,None,House,https://www.domain.com.au/15a-churchill-avenue-reservoir-vic-3073-2015187742,,0.9-1.1-7.9,3,May/2019/380000.0/SOLD-Feb/2014/295000.0/SOLD
53-ayr-street-reservoir-vic-3073,810000,04-Nov-2017,1,1,1,800,m2,House,https://www.domain.com.au/53-ayr-street-reservoir-vic-3073-2013652795,,1-2.1-1.2,3,Nov/2017/810000.0/SOLD
12/13-elsey-road-reservoir-vic-3073,360000,13-Sep-2017,1,1,1,-1,None,House,https://www.domain.com.au/12-13-elsey-road-reservoir-vic-3073-2013752280,,0.8-1.4-0.5,3,
24-daleglen-street-reservoir-vic-3073,351000,07-Jul-2017,1,1,1,-1,None,House,https://www.domain.com.au/24-daleglen-street-reservoir-vic-3073-2013653047,,0.8-1.7-0.7,3,
915-high-street-reservoir-vic-3073,2052000,22-Jun-2017,1,1,-1,855,m2,House,https://www.domain.com.au/915-high-street-reservoir-vic-3073-2013622038,Close to schools-Close to shops-Close to transport,0.3-2.1-5.9,3,
2/15-macartney-street-reservoir-vic-3073,369000,27-May-2017,1,1,1,-1,None,House,https://www.domain.com.au/2-15-macartney-street-reservoir-vic-3073-2013544182,,0.2-1.9-0.7,3,
9-laurie-street-reservoir-vic-3073,820000,10-Mar-2017,1,1,-1,746,m2,House,https://www.domain.com.au/9-laurie-street-reservoir-vic-3073-2013366628,Close to schools-Close to shops-Close to transport,0.6-1.6-0.9,3,Mar/2017/820000.0/SOLD-Nov/1981/29000.0/SOLD
1/40-godley-street-reservoir-vic-3073,285000,21-Jun-2016,1,1,1,-1,None,House,https://www.domain.com.au/1-40-godley-street-reservoir-vic-3073-2012721261,,1.4-1.5-6.8,3,
1/89-purinuan-road-reservoir-vic-3073,300000,20-Nov-2015,1,1,1,-1,None,House,https://www.domain.com.au/1-89-purinuan-road-reservoir-vic-3073-2012344967,Close to schools-Close to shops-Close to transport,0.5-1.5-0.6,3,
6-bryan-street-reservoir-vic-3073,560000,13-Jun-2015,1,1,1,476,m2,House,https://www.domain.com.au/6-bryan-street-reservoir-vic-3073-2011980289,Close to schools-Close to shops-Close to transport,0.5-2.1-2.3,3,Jun/2015/560000.0/SOLD-Oct/2007/362000.0/SOLD-Feb/2001/152500.0/SOLD
3-mackenzie-street-reservoir-vic-3073,393000,18-Mar-2015,1,1,-1,516,m2,House,https://www.domain.com.au/3-mackenzie-street-reservoir-vic-3073-2011708718,Close to schools-Close to shops-Close to transport,1.3-1.7-6.6,3,Mar/2015/393000.0/SOLD-Sep/1995/70000.0/SOLD
2/2-bernard-street-reservoir-vic-3073,300000,16-Mar-2015,1,1,1,-1,None,House,https://www.domain.com.au/2-2-bernard-street-reservoir-vic-3073-2011744952,,0.9-1.7-5.4,3,
5/43-chaleyer-street-reservoir-vic-3073,310000,07-Jan-2015,1,1,1,-1,None,Villa,https://www.domain.com.au/5-43-chaleyer-street-reservoir-vic-3073-2011629458,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Floorboards,0.9-0.9-5,3,
36-elinda-place-reservoir-vic-3073,253000,29-Nov-2014,1,1,2,-1,None,House,https://www.domain.com.au/36-elinda-place-reservoir-vic-3073-2011543443,,0.8-1.9-0.8,3,Nov/2014/280.0/SOLD-Nov/2001/253000.0/SOLD
148-gremel-road-reservoir-vic-3073,53000,12-May-2014,1,1,1,-1,None,House,https://www.domain.com.au/148-gremel-road-reservoir-vic-3073-2010994754,,0.2-0.9-5.8,3,
8-elinda-place-reservoir-vic-3073,265000,10-May-2014,1,1,1,-1,None,House,https://www.domain.com.au/8-elinda-place-reservoir-vic-3073-2011123585,Air conditioning-Built in wardrobes-Close to transport-Terrace-Balcony,0.9-1.8-0.8,3,Jan/2020/365000.0/SOLD-May/2014/265000.0/SOLD
43-mahoneys-road-reservoir-vic-3073,571000,01-Mar-2014,1,2,-1,-1,None,House,https://www.domain.com.au/43-mahoneys-road-reservoir-vic-3073-2010955644,,0.2-0.3-7.9,3,
